weights,q_inv_angstrom,intensity
16.154450-0.005532i,0.000000,954667337.619821
16.154450-0.005532i,0.020000,934672011.223397
16.154450-0.005532i,0.040000,876624009.408003
16.154450-0.005532i,0.060000,786086018.715277
16.154450-0.005532i,0.080000,671529610.770502
16.154450-0.005532i,0.100000,543262304.019159
16.154450-0.005532i,0.120000,412156782.203769
16.154450-0.005532i,0.140000,288367276.989390
16.154450-0.005532i,0.160000,180214011.816525
16.154450-0.005532i,0.180000,93384035.459729
16.154450-0.005532i,0.200000,30541958.698596
16.154450-0.005532i,0.220000,-8623118.269222
16.154450-0.005532i,0.240000,-26956203.818840
16.154450-0.005532i,0.260000,-29099710.737561
16.154450-0.005532i,0.280000,-20598499.915771
16.154450-0.005532i,0.300000,-6996790.219545
16.154450-0.005532i,0.320000,6935354.971617
16.154450-0.005532i,0.340000,17742338.248450
16.154450-0.005532i,0.360000,23534909.536742
16.154450-0.005532i,0.380000,23951702.394900
16.154450-0.005532i,0.400000,19877092.420993
16.154450-0.005532i,0.420000,12997793.901259
16.154450-0.005532i,0.440000,5298328.055410
16.154450-0.005532i,0.460000,-1406348.746319
16.154450-0.005532i,0.480000,-5822013.449847
16.154450-0.005532i,0.500000,-7362558.775534
