weights,q_inv_angstrom,intensity
208978421.729782+116741.013257i,0.000000,2768117657.499056
208978421.729782+116741.013257i,0.020000,2456694755.103762
208978421.729782+116741.013257i,0.040000,1740542748.460857
208978421.729782+116741.013257i,0.060000,1034499640.715937
208978421.729782+116741.013257i,0.080000,568229063.966197
208978421.729782+116741.013257i,0.100000,319203637.901145
208978421.729782+116741.013257i,0.120000,189690728.663790
208978421.729782+116741.013257i,0.140000,119759900.834497
208978421.729782+116741.013257i,0.160000,80397951.845429
208978421.729782+116741.013257i,0.180000,53687358.089870
208978421.729782+116741.013257i,0.200000,32337464.961789
208978421.729782+116741.013257i,0.220000,17046930.327125
208978421.729782+116741.013257i,0.240000,9258804.634757
208978421.729782+116741.013257i,0.260000,7038658.617733
208978421.729782+116741.013257i,0.280000,6744159.071656
208978421.729782+116741.013257i,0.300000,6371234.709857
208978421.729782+116741.013257i,0.320000,5554519.192913
208978421.729782+116741.013257i,0.340000,4374034.320349
208978421.729782+116741.013257i,0.360000,3385241.438145
208978421.729782+116741.013257i,0.380000,3020043.074571
208978421.729782+116741.013257i,0.400000,2994270.755190
208978421.729782+116741.013257i,0.420000,2992327.954084
208978421.729782+116741.013257i,0.440000,2949686.716571
208978421.729782+116741.013257i,0.460000,2778161.443298
208978421.729782+116741.013257i,0.480000,2535537.076369
208978421.729782+116741.013257i,0.500000,2364121.156789
