q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,6185588522.830544,1492809047.834581,784990692.440024+417511.267455i,1.900647-0.000051i
0.02,5099801321.465743,1231276864.716748,784990692.440024+417511.267455i,1.900647-0.000051i
0.04,2992741428.321616,723663410.500257,784990692.440024+417511.267455i,1.900647-0.000051i
0.06,1637741640.901981,397297754.049098,784990692.440024+417511.267455i,1.900647-0.000051i
0.08,1247075497.063403,303608824.482831,784990692.440024+417511.267455i,1.900647-0.000051i
0.1,1004053458.054782,245379949.052542,784990692.440024+417511.267455i,1.900647-0.000051i
0.12,593696354.588459,146119457.769355,784990692.440024+417511.267455i,1.900647-0.000051i
0.14,250457184.658523,62631906.36449,784990692.440024+417511.267455i,1.900647-0.000051i
0.16,87568407.455711,22748037.087316,784990692.440024+417511.267455i,1.900647-0.000051i
0.18,27298897.611941,7761768.09867,784990692.440024+417511.267455i,1.900647-0.000051i
0.2,11159633.209843,3547786.281475,784990692.440024+417511.267455i,1.900647-0.000051i
0.22,15044815.071045,4379437.509704,784990692.440024+417511.267455i,1.900647-0.000051i
0.24,19082205.793559,5360052.793134,784990692.440024+417511.267455i,1.900647-0.000051i
0.26,18358099.678256,5182473.53303,784990692.440024+417511.267455i,1.900647-0.000051i
0.28,14838891.016842,4343435.160291,784990692.440024+417511.267455i,1.900647-0.000051i
0.3,9845502.851101,3148441.267887,784990692.440024+417511.267455i,1.900647-0.000051i
0.32,6141282.508065,2226464.731829,784990692.440024+417511.267455i,1.900647-0.000051i
0.34,4459251.997962,1786067.678129,784990692.440024+417511.267455i,1.900647-0.000051i
0.36,3777997.779432,1599498.213754,784990692.440024+417511.267455i,1.900647-0.000051i
0.38,3979289.189498,1628891.421593,784990692.440024+417511.267455i,1.900647-0.000051i
0.4,4491063.593505,1743161.250342,784990692.440024+417511.267455i,1.900647-0.000051i
0.42,4467992.34967,1734584.117337,784990692.440024+417511.267455i,1.900647-0.000051i
0.44,3961048.245544,1612916.886111,784990692.440024+417511.267455i,1.900647-0.000051i
0.46,3303128.994318,1468458.385806,784990692.440024+417511.267455i,1.900647-0.000051i
0.48,2800500.97471,1357507.008436,784990692.440024+417511.267455i,1.900647-0.000051i
0.5,2588174.491277,1296530.351217,784990692.440024+417511.267455i,1.900647-0.000051i
