q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,1256524.662239,25337906.732632,151327.981233+63.759362i,168.595459-0.006506i
0.02,1251873.065134,25241062.290037,151327.981233+63.759362i,168.595459-0.006506i
0.04,1238018.53643,24952647.05474,151327.981233+63.759362i,168.595459-0.006506i
0.06,1215258.415743,24478941.909595,151327.981233+63.759362i,168.595459-0.006506i
0.08,1184076.93385,23830173.732906,151327.981233+63.759362i,168.595459-0.006506i
0.1,1145128.756724,23020165.178666,151327.981233+63.759362i,168.595459-0.006506i
0.12,1099217.009264,22065867.031912,151327.981233+63.759362i,168.595459-0.006506i
0.14,1047266.76887,20986794.268168,151327.981233+63.759362i,168.595459-0.006506i
0.16,990295.204503,19804390.904007,151327.981233+63.759362i,168.595459-0.006506i
0.18,929379.658059,18541351.313141,151327.981233+63.759362i,168.595459-0.006506i
0.2,865625.0166,17220926.78658,151327.981233+63.759362i,168.595459-0.006506i
0.22,800131.705304,15866245.716751,151327.981233+63.759362i,168.595459-0.006506i
0.24,733965.545289,14499673.956172,151327.981233+63.759362i,168.595459-0.006506i
0.26,668130.575162,13142238.798124,151327.981233+63.759362i,168.595459-0.006506i
0.28,603545.740901,11813135.877838,151327.981233+63.759362i,168.595459-0.006506i
0.3,541026.128823,10529333.380211,151327.981233+63.759362i,168.595459-0.006506i
0.32,481269.165612,9305282.579281,151327.981233+63.759362i,168.595459-0.006506i
0.34,424845.953144,8152738.252197,151327.981233+63.759362i,168.595459-0.006506i
0.36,372197.658775,7080687.221957,151327.981233+63.759362i,168.595459-0.006506i
0.38,323636.657324,6095378.47353,151327.981233+63.759362i,168.595459-0.006506i
0.4,279351.930178,5200444.19401,151327.981233+63.759362i,168.595459-0.006506i
0.42,239418.077949,4397097.885718,151327.981233+63.759362i,168.595459-0.006506i
0.44,203807.20103,3684393.499785,151327.981233+63.759362i,168.595459-0.006506i
0.46,172402.848769,3059528.374708,151327.981233+63.759362i,168.595459-0.006506i
0.48,145015.231405,2518172.609715,151327.981233+63.759362i,168.595459-0.006506i
0.5,121396.925019,2054808.266528,151327.981233+63.759362i,168.595459-0.006506i
