q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,108646744.368261,720551146.274189,8046843.819172+5083.782999i,89.641927-0.032534i
0.02,105692261.246096,701071577.245667,8046843.819172+5083.782999i,89.641927-0.032534i
0.04,97326615.81661,645895170.296446,8046843.819172+5083.782999i,89.641927-0.032534i
0.06,84909091.141024,563933325.602739,8046843.819172+5083.782999i,89.641927-0.032534i
0.08,70304846.903545,467424695.226159,8046843.819172+5083.782999i,89.641927-0.032534i
0.1,55429030.611754,368956322.853186,8046843.819172+5083.782999i,89.641927-0.032534i
0.12,41837464.701826,278784855.11589,8046843.819172+5083.782999i,89.641927-0.032534i
0.14,30480095.089863,203216003.304557,8046843.819172+5083.782999i,89.641927-0.032534i
0.16,21663123.055789,144343680.917089,8046843.819172+5083.782999i,89.641927-0.032534i
0.18,15187957.306892,100943997.591951,8046843.819172+5083.782999i,89.641927-0.032534i
0.2,10581612.97891,69970326.543765,8046843.819172+5083.782999i,89.641927-0.032534i
0.22,7321413.351858,48017764.584401,8046843.819172+5083.782999i,89.641927-0.032534i
0.24,4984032.064798,32300718.256441,8046843.819172+5083.782999i,89.641927-0.032534i
0.26,3296214.805976,20993976.704266,8046843.819172+5083.782999i,89.641927-0.032534i
0.28,2108111.63525,13070761.959232,8046843.819172+5083.782999i,89.641927-0.032534i
0.3,1332832.873808,7919057.425302,8046843.819172+5083.782999i,89.641927-0.032534i
0.32,893515.537238,5003206.045091,8046843.819172+5083.782999i,89.641927-0.032534i
0.34,699911.257701,3713472.735029,8046843.819172+5083.782999i,89.641927-0.032534i
0.36,653940.079586,3400523.165866,8046843.819172+5083.782999i,89.641927-0.032534i
0.38,669235.603487,3498730.378561,8046843.819172+5083.782999i,89.641927-0.032534i
0.4,687723.835084,3629622.326447,8046843.819172+5083.782999i,89.641927-0.032534i
0.42,683682.044222,3624764.835252,8046843.819172+5083.782999i,89.641927-0.032534i
0.44,655686.28865,3471611.036865,8046843.819172+5083.782999i,89.641927-0.032534i
0.46,613330.963691,3227214.395015,8046843.819172+5083.782999i,89.641927-0.032534i
0.48,566253.148503,2948251.364679,8046843.819172+5083.782999i,89.641927-0.032534i
0.5,519340.782472,2661662.521246,8046843.819172+5083.782999i,89.641927-0.032534i
