q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,1735834756.946826,2845077809.828296,129614660.881273+75276.813010i,21.952879-0.007884i
0.02,1612564094.110274,2642686296.298251,129614660.881273+75276.813010i,21.952879-0.007884i
0.04,1296279706.798668,2123539309.769803,129614660.881273+75276.813010i,21.952879-0.007884i
0.06,911446250.600685,1492285360.35705,129614660.881273+75276.813010i,21.952879-0.007884i
0.08,575937871.505073,942609113.305233,129614660.881273+75276.813010i,21.952879-0.007884i
0.1,344140657.779591,563600253.344419,129614660.881273+75276.813010i,21.952879-0.007884i
0.12,205851270.690978,338013293.507862,129614660.881273+75276.813010i,21.952879-0.007884i
0.14,124153486.44926,204771568.024366,129614660.881273+75276.813010i,21.952879-0.007884i
0.16,70774305.400903,117316522.266214,129614660.881273+75276.813010i,21.952879-0.007884i
0.18,35241966.00485,58674694.196654,129614660.881273+75276.813010i,21.952879-0.007884i
0.2,15253855.629493,25414007.017549,129614660.881273+75276.813010i,21.952879-0.007884i
0.22,7226338.23224,11879779.20415,129614660.881273+75276.813010i,21.952879-0.007884i
0.24,5464395.506426,8767307.774972,129614660.881273+75276.813010i,21.952879-0.007884i
0.26,5506158.964623,8709779.800093,129614660.881273+75276.813010i,21.952879-0.007884i
0.28,5524385.686051,8676821.546156,129614660.881273+75276.813010i,21.952879-0.007884i
0.3,5184413.361559,8109464.792235,129614660.881273+75276.813010i,21.952879-0.007884i
0.32,4468659.057265,6958458.780801,129614660.881273+75276.813010i,21.952879-0.007884i
0.34,3519707.178818,5424119.793447,129614660.881273+75276.813010i,21.952879-0.007884i
0.36,2690032.671486,4064718.543097,129614660.881273+75276.813010i,21.952879-0.007884i
0.38,2247199.790558,3325129.374543,129614660.881273+75276.813010i,21.952879-0.007884i
0.4,2132980.476161,3125653.321126,129614660.881273+75276.813010i,21.952879-0.007884i
0.42,2115973.060495,3093508.874274,129614660.881273+75276.813010i,21.952879-0.007884i
0.44,2062813.905693,3006523.092672,129614660.881273+75276.813010i,21.952879-0.007884i
0.46,1979868.255665,2871135.839047,129614660.881273+75276.813010i,21.952879-0.007884i
0.48,1887396.29203,2721030.942776,129614660.881273+75276.813010i,21.952879-0.007884i
0.5,1763502.777332,2522479.920484,129614660.881273+75276.813010i,21.952879-0.007884i
