q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,262804059.329236,927992682.108068,20150559.534891+9974.624478i,46.079302-0.015095i
0.02,252192609.005185,890495672.894512,20150559.534891+9974.624478i,46.079302-0.015095i
0.04,222745720.03188,786440429.627903,20150559.534891+9974.624478i,46.079302-0.015095i
0.06,180815616.020363,638272752.834543,20150559.534891+9974.624478i,46.079302-0.015095i
0.08,134637842.892882,475095967.120413,20150559.534891+9974.624478i,46.079302-0.015095i
0.1,91849531.109199,323902512.690076,20150559.534891+9974.624478i,46.079302-0.015095i
0.12,57571287.814358,202793915.467953,20150559.534891+9974.624478i,46.079302-0.015095i
0.14,33665185.987011,118354046.646504,20150559.534891+9974.624478i,46.079302-0.015095i
0.16,19201923.795382,67295558.631743,20150559.534891+9974.624478i,46.079302-0.015095i
0.18,11672922.292786,40742366.669119,20150559.534891+9974.624478i,46.079302-0.015095i
0.2,8292607.074158,28835663.298753,20150559.534891+9974.624478i,46.079302-0.015095i
0.22,6882406.169582,23864736.562772,20150559.534891+9974.624478i,46.079302-0.015095i
0.24,6162876.875609,21305241.335517,20150559.534891+9974.624478i,46.079302-0.015095i
0.26,5591971.908311,19249197.333842,20150559.534891+9974.624478i,46.079302-0.015095i
0.28,5029262.378057,17214752.606251,20150559.534891+9974.624478i,46.079302-0.015095i
0.3,4461291.023446,15168992.947074,20150559.534891+9974.624478i,46.079302-0.015095i
0.32,3880155.470512,13092944.191465,20150559.534891+9974.624478i,46.079302-0.015095i
0.34,3279002.612404,10963281.230539,20150559.534891+9974.624478i,46.079302-0.015095i
0.36,2679806.001018,8852207.354248,20150559.534891+9974.624478i,46.079302-0.015095i
0.38,2135381.257831,6938670.714679,20150559.534891+9974.624478i,46.079302-0.015095i
0.4,1700432.050367,5409952.438868,20150559.534891+9974.624478i,46.079302-0.015095i
0.42,1399180.693749,4349179.475273,20150559.534891+9974.624478i,46.079302-0.015095i
0.44,1214924.390617,3698040.150913,20150559.534891+9974.624478i,46.079302-0.015095i
0.46,1104722.625312,3307011.871865,20150559.534891+9974.624478i,46.079302-0.015095i
0.48,1024086.677863,3020945.635017,20150559.534891+9974.624478i,46.079302-0.015095i
0.5,944451.677224,2739962.170135,20150559.534891+9974.624478i,46.079302-0.015095i
