q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,190916539977.5622,28768333815.176933,14363088540.774158+8353894.4764,2.002580-0.000691i
0.02,110374969447.4691,16632023236.479795,14363088540.774158+8353894.4764,2.002580-0.000691i
0.04,17164500528.804651,2589837793.13173,14363088540.774158+8353894.4764,2.002580-0.000691i
0.06,1798667925.838146,276732061.932899,14363088540.774158+8353894.4764,2.002580-0.000691i
0.08,1789689306.712791,275056782.852605,14363088540.774158+8353894.4764,2.002580-0.000691i
0.1,1085926598.343774,169564103.642339,14363088540.774158+8353894.4764,2.002580-0.000691i
0.12,870232795.74586,137242244.394806,14363088540.774158+8353894.4764,2.002580-0.000691i
0.14,837198322.678984,132089830.652421,14363088540.774158+8353894.4764,2.002580-0.000691i
0.16,602960097.76014,96420352.853495,14363088540.774158+8353894.4764,2.002580-0.000691i
0.18,438201915.164075,71294614.77248,14363088540.774158+8353894.4764,2.002580-0.000691i
0.2,318123887.619923,52911721.551336,14363088540.774158+8353894.4764,2.002580-0.000691i
0.22,237654070.559203,40666125.503027,14363088540.774158+8353894.4764,2.002580-0.000691i
0.24,163279211.030855,29505312.501247,14363088540.774158+8353894.4764,2.002580-0.000691i
0.26,120606396.882503,23117368.005263,14363088540.774158+8353894.4764,2.002580-0.000691i
0.28,107616841.220078,21117744.301505,14363088540.774158+8353894.4764,2.002580-0.000691i
0.3,89355826.390914,18375502.805896,14363088540.774158+8353894.4764,2.002580-0.000691i
0.32,57153105.437401,13581016.111788,14363088540.774158+8353894.4764,2.002580-0.000691i
0.34,41722409.896699,11255905.510312,14363088540.774158+8353894.4764,2.002580-0.000691i
0.36,34644101.993638,10217256.580411,14363088540.774158+8353894.4764,2.002580-0.000691i
0.38,28775880.401341,9372208.072358,14363088540.774158+8353894.4764,2.002580-0.000691i
0.4,26065314.855205,8959244.154851,14363088540.774158+8353894.4764,2.002580-0.000691i
0.42,22018060.960064,8345843.802469,14363088540.774158+8353894.4764,2.002580-0.000691i
0.44,21041633.179427,8210233.611593,14363088540.774158+8353894.4764,2.002580-0.000691i
0.46,21380120.319441002,8276028.67634,14363088540.774158+8353894.4764,2.002580-0.000691i
0.48,20666639.231944,8173923.331836,14363088540.774158+8353894.4764,2.002580-0.000691i
0.5,19745541.626217,8040413.084453,14363088540.774158+8353894.4764,2.002580-0.000691i
