q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,2768117657.499056,3375797450.84827,208978421.729782+116741.013257i,16.154450-0.005532i
0.02,2456694755.103762,2995789299.935581,208978421.729782+116741.013257i,16.154450-0.005532i
0.04,1740542748.460857,2122076803.913688,208978421.729782+116741.013257i,16.154450-0.005532i
0.06,1034499640.715937,1261052489.699737,208978421.729782+116741.013257i,16.154450-0.005532i
0.08,568229063.966197,692826322.36867094,208978421.729782+116741.013257i,16.154450-0.005532i
0.1,319203637.901145,389580481.934754,208978421.729782+116741.013257i,16.154450-0.005532i
0.12,189690728.66379,231883550.601063,208978421.729782+116741.013257i,16.154450-0.005532i
0.14,119759900.834497,146659681.514057,208978421.729782+116741.013257i,16.154450-0.005532i
0.16,80397951.845429,98611632.411289,208978421.729782+116741.013257i,16.154450-0.005532i
0.18,53687358.08987,65915913.878577,208978421.729782+116741.013257i,16.154450-0.005532i
0.2,32337464.961789,39695448.470997,208978421.729782+116741.013257i,16.154450-0.005532i
0.22,17046930.327125,20860415.766812,208978421.729782+116741.013257i,16.154450-0.005532i
0.24,9258804.634757,11229625.7757,208978421.729782+116741.013257i,16.154450-0.005532i
0.26,7038658.617733,8453643.642952,208978421.729782+116741.013257i,16.154450-0.005532i
0.28,6744159.071656,8071820.248401,208978421.729782+116741.013257i,16.154450-0.005532i
0.3,6371234.709857,7618660.796916,208978421.729782+116741.013257i,16.154450-0.005532i
0.32,5554519.192913,6625696.99047,208978421.729782+116741.013257i,16.154450-0.005532i
0.34,4374034.320349,5179831.919516,208978421.729782+116741.013257i,16.154450-0.005532i
0.36,3385241.438145,3965782.510472,208978421.729782+116741.013257i,16.154450-0.005532i
0.38,3020043.074571,3517860.605637,208978421.729782+116741.013257i,16.154450-0.005532i
0.4,2994270.75519,3489204.773334,208978421.729782+116741.013257i,16.154450-0.005532i
0.42,2992327.954084,3490594.151551,208978421.729782+116741.013257i,16.154450-0.005532i
0.44,2949686.716571,3437787.837664,208978421.729782+116741.013257i,16.154450-0.005532i
0.46,2778161.443298,3222841.263943,208978421.729782+116741.013257i,16.154450-0.005532i
0.48,2535537.076369,2921513.673967,208978421.729782+116741.013257i,16.154450-0.005532i
0.5,2364121.156789,2710175.855536,208978421.729782+116741.013257i,16.154450-0.005532i
