q_inverse_angstroms,intensity_debye,intensity_prop,weight_debye,weight_prop
0,127782649.295148,842816091.576003,9348486.699692+7481.619320i,90.247295-0.036233i
0.02,125003439.497127,824616824.915454,9348486.699692+7481.619320i,90.247295-0.036233i
0.04,116995507.067326,772162560.753413,9348486.699692+7481.619320i,90.247295-0.036233i
0.06,104688918.97104,691502488.61459,9348486.699692+7481.619320i,90.247295-0.036233i
0.08,89450504.368949,591533739.442864,9348486.699692+7481.619320i,90.247295-0.036233i
0.1,72852439.621628,482503880.331283,9348486.699692+7481.619320i,90.247295-0.036233i
0.12,56423362.71752,374397665.406546,9348486.699692+7481.619320i,90.247295-0.036233i
0.14,41432938.909187,275536510.324223,9348486.699692+7481.619320i,90.247295-0.036233i
0.16,28748972.306525,191643866.562134,9348486.699692+7481.619320i,90.247295-0.036233i
0.18,18785921.026041,125500086.119567,9348486.699692+7481.619320i,90.247295-0.036233i
0.2,11541071.43629,77165059.536184,9348486.699692+7481.619320i,90.247295-0.036233i
0.22,6695809.050586,44625281.811137,9348486.699692+7481.619320i,90.247295-0.036233i
0.24,3748823.430301,24652665.351598,9348486.699692+7481.619320i,90.247295-0.036233i
0.26,2147299.412188,13655971.622733,9348486.699692+7481.619320i,90.247295-0.036233i
0.28,1389812.097604,8353825.526228,9348486.699692+7481.619320i,90.247295-0.036233i
0.3,1087236.88751,6178637.057427,9348486.699692+7481.619320i,90.247295-0.036233i
0.32,981198.495818,5405844.390428,9348486.699692+7481.619320i,90.247295-0.036233i
0.34,929730.217887,5068936.828459,9348486.699692+7481.619320i,90.247295-0.036233i
0.36,874832.539848,4754137.56999,9348486.699692+7481.619320i,90.247295-0.036233i
0.38,806377.539109,4368182.545695,9348486.699692+7481.619320i,90.247295-0.036233i
0.4,732746.957528,3947266.099164,9348486.699692+7481.619320i,90.247295-0.036233i
0.42,662944.982949,3539091.554341,9348486.699692+7481.619320i,90.247295-0.036233i
0.44,599821.82372,3156810.150183,9348486.699692+7481.619320i,90.247295-0.036233i
0.46,540859.105934,2782536.84137,9348486.699692+7481.619320i,90.247295-0.036233i
0.48,482075.669328,2391779.416007,9348486.699692+7481.619320i,90.247295-0.036233i
0.5,421527.204535,1975621.824591,9348486.699692+7481.619320i,90.247295-0.036233i
