q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,68.945112,3292.171847,-3223.226735,151327.981233+63.759362i,16844.759902-0.650007i
0.02,68.68988,3279.582051,-3210.892171,151327.981233+63.759362i,16844.759902-0.650007i
0.04,67.929686,3242.088014,-3174.158328,151327.981233+63.759362i,16844.759902-0.650007i
0.06,66.680846,3180.506253,-3113.825407,151327.981233+63.759362i,16844.759902-0.650007i
0.08,64.969928,3096.166265,-3031.196337,151327.981233+63.759362i,16844.759902-0.650007i
0.1,62.832854,2990.864995,-2928.0321409999997,151327.981233+63.759362i,16844.759902-0.650007i
0.12,60.31369,2866.806051,-2806.492361,151327.981233+63.759362i,16844.759902-0.650007i
0.14,57.463197,2726.526382,-2669.063185,151327.981233+63.759362i,16844.759902-0.650007i
0.16,54.337185,2572.813715,-2518.47653,151327.981233+63.759362i,16844.759902-0.650007i
0.18,50.994769,2408.618323,-2357.6235540000002,151327.981233+63.759362i,16844.759902-0.650007i
0.2,47.496572,2236.962878,-2189.466306,151327.981233+63.759362i,16844.759902-0.650007i
0.22,43.902974,2060.854076,-2016.951102,151327.981233+63.759362i,16844.759902-0.650007i
0.24,40.272458,1883.199482,-1842.927024,151327.981233+63.759362i,16844.759902-0.650007i
0.26,36.660114,1706.732648,-1670.072534,151327.981233+63.759362i,16844.759902-0.650007i
0.28,33.116364,1533.94901,-1500.832646,151327.981233+63.759362i,16844.759902-0.650007i
0.3,29.685933,1367.054437,-1337.368504,151327.981233+63.759362i,16844.759902-0.650007i
0.32,26.407087,1207.927595,-1181.520508,151327.981233+63.759362i,16844.759902-0.650007i
0.34,23.311163,1058.096609,-1034.7854459999999,151327.981233+63.759362i,16844.759902-0.650007i
0.36,20.422368,918.729767,-898.307399,151327.981233+63.759362i,16844.759902-0.650007i
0.38,17.757841,790.639438,-772.881597,151327.981233+63.759362i,16844.759902-0.650007i
0.4,15.327952,674.297808,-658.969856,151327.981233+63.759362i,16844.759902-0.650007i
0.42,13.136794,569.862632,-556.725838,151327.981233+63.759362i,16844.759902-0.650007i
0.44,11.182837,477.210923,-466.028086,151327.981233+63.759362i,16844.759902-0.650007i
0.46,9.45969,395.978336,-386.518646,151327.981233+63.759362i,16844.759902-0.650007i
0.48,7.95694,325.601981,-317.64504100000005,151327.981233+63.759362i,16844.759902-0.650007i
0.5,6.661011,265.364527,-258.70351600000004,151327.981233+63.759362i,16844.759902-0.650007i
