q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,182.298089,6851.920944,-6669.6228550000005,8046843.819172+5083.782999i,8959.585648-3.251769i
0.02,177.34077,6666.645934,-6489.305164,8046843.819172+5083.782999i,8959.585648-3.251769i
0.04,163.304075,6141.849449,-5978.545374,8046843.819172+5083.782999i,8959.585648-3.251769i
0.06,142.468743,5362.290027,-5219.821284,8046843.819172+5083.782999i,8959.585648-3.251769i
0.08,117.964319,4444.37252,-4326.408201,8046843.819172+5083.782999i,8959.585648-3.251769i
0.1,93.004226,3507.81542,-3414.811194,8046843.819172+5083.782999i,8959.585648-3.251769i
0.12,70.198973,2650.172238,-2579.973265,8046843.819172+5083.782999i,8959.585648-3.251769i
0.14,51.142472,1931.418155,-1880.275683,8046843.819172+5083.782999i,8959.585648-3.251769i
0.16,36.348498,1371.468903,-1335.120405,8046843.819172+5083.782999i,8959.585648-3.251769i
0.18,25.483834,958.683757,-933.199923,8046843.819172+5083.782999i,8959.585648-3.251769i
0.2,17.754861,664.085493,-646.330632,8046843.819172+5083.782999i,8959.585648-3.251769i
0.22,12.28458,455.289234,-443.004654,8046843.819172+5083.782999i,8959.585648-3.251769i
0.24,8.362694,305.800511,-297.437817,8046843.819172+5083.782999i,8959.585648-3.251769i
0.26,5.53071,198.259289,-192.728579,8046843.819172+5083.782999i,8959.585648-3.251769i
0.28,3.537195,122.899629,-119.36243400000001,8046843.819172+5083.782999i,8959.585648-3.251769i
0.3,2.236357,73.90049,-71.664133,8046843.819172+5083.782999i,8959.585648-3.251769i
0.32,1.499227,46.167105,-44.667878,8046843.819172+5083.782999i,8959.585648-3.251769i
0.34,1.174379,33.900132,-32.725753,8046843.819172+5083.782999i,8959.585648-3.251769i
0.36,1.097244,30.923591,-29.826347,8046843.819172+5083.782999i,8959.585648-3.251769i
0.38,1.122909,31.857664,-30.734755,8046843.819172+5083.782999i,8959.585648-3.251769i
0.4,1.15393,33.10261,-31.94868,8046843.819172+5083.782999i,8959.585648-3.251769i
0.42,1.147148,33.056409,-31.909261,8046843.819172+5083.782999i,8959.585648-3.251769i
0.44,1.100174,31.599725,-30.499551,8046843.819172+5083.782999i,8959.585648-3.251769i
0.46,1.029106,29.275208,-28.246102,8046843.819172+5083.782999i,8959.585648-3.251769i
0.48,0.950115,26.621922,-25.671807,8046843.819172+5083.782999i,8959.585648-3.251769i
0.5,0.871401,23.896104,-23.024703000000002,8046843.819172+5083.782999i,8959.585648-3.251769i
