q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,179.352881,3346.038207,-3166.6853260000003,129614660.881273+75276.813010i,2195.207613-0.788421i
0.02,166.616099,3107.961867,-2941.345768,129614660.881273+75276.813010i,2195.207613-0.788421i
0.04,133.936424,2497.281052,-2363.344628,129614660.881273+75276.813010i,2195.207613-0.788421i
0.06,94.174005,1754.727044,-1660.553039,129614660.881273+75276.813010i,2195.207613-0.788421i
0.08,59.508036,1108.134177,-1048.626141,129614660.881273+75276.813010i,2195.207613-0.788421i
0.1,35.557888,662.300058,-626.74217,129614660.881273+75276.813010i,2195.207613-0.788421i
0.12,21.269316,396.938547,-375.669231,129614660.881273+75276.813010i,2195.207613-0.788421i
0.14,12.827998,240.204197,-227.37619899999999,129614660.881273+75276.813010i,2195.207613-0.788421i
0.16,7.312664,137.329443,-130.01677899999999,129614660.881273+75276.813010i,2195.207613-0.788421i
0.18,3.641331,68.348133,-64.70680200000001,129614660.881273+75276.813010i,2195.207613-0.788421i
0.2,1.576085,29.22306,-27.646975,129614660.881273+75276.813010i,2195.207613-0.788421i
0.22,0.746652,13.302534,-12.555882,129614660.881273+75276.813010i,2195.207613-0.788421i
0.24,0.564602,9.641285,-9.076683,129614660.881273+75276.813010i,2195.207613-0.788421i
0.26,0.568917,9.573614,-9.004696999999998,129614660.881273+75276.813010i,2195.207613-0.788421i
0.28,0.5708,9.534844,-8.964044,129614660.881273+75276.813010i,2195.207613-0.788421i
0.3,0.535673,8.867454,-8.331781000000001,129614660.881273+75276.813010i,2195.207613-0.788421i
0.32,0.461718,7.513507,-7.051788999999999,129614660.881273+75276.813010i,2195.207613-0.788421i
0.34,0.363669,5.70864,-5.344971,129614660.881273+75276.813010i,2195.207613-0.788421i
0.36,0.277944,4.109555,-3.831611,129614660.881273+75276.813010i,2195.207613-0.788421i
0.38,0.232189,3.239564,-3.007375,129614660.881273+75276.813010i,2195.207613-0.788421i
0.4,0.220387,3.004917,-2.7845299999999997,129614660.881273+75276.813010i,2195.207613-0.788421i
0.42,0.21863,2.967105,-2.748475,129614660.881273+75276.813010i,2195.207613-0.788421i
0.44,0.213138,2.864783,-2.6516450000000003,129614660.881273+75276.813010i,2195.207613-0.788421i
0.46,0.204567,2.705524,-2.500957,129614660.881273+75276.813010i,2195.207613-0.788421i
0.48,0.195013,2.528954,-2.3339410000000003,129614660.881273+75276.813010i,2195.207613-0.788421i
0.5,0.182212,2.295395,-2.1131830000000003,129614660.881273+75276.813010i,2195.207613-0.788421i
