q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,170.09432,4319.712325,-4149.618005,20150559.534891+9974.624478i,4606.063545-1.508931i
0.02,163.226285,4145.127332,-3981.901047,20150559.534891+9974.624478i,4606.063545-1.508931i
0.04,144.167415,3660.649122,-3516.481707,20150559.534891+9974.624478i,4606.063545-1.508931i
0.06,117.02905,2970.784695,-2853.7556449999997,20150559.534891+9974.624478i,4606.063545-1.508931i
0.08,87.141471,2211.03829,-2123.896819,20150559.534891+9974.624478i,4606.063545-1.508931i
0.1,59.447649,1507.085929,-1447.6382800000001,20150559.534891+9974.624478i,4606.063545-1.508931i
0.12,37.261788,943.207795,-905.946007,20150559.534891+9974.624478i,4606.063545-1.508931i
0.14,21.789073,550.058203,-528.26913,20150559.534891+9974.624478i,4606.063545-1.508931i
0.16,12.428035,312.331356,-299.903321,20150559.534891+9974.624478i,4606.063545-1.508931i
0.18,7.55505,188.700461,-181.145411,20150559.534891+9974.624478i,4606.063545-1.508931i
0.2,5.367213,133.263193,-127.89598000000001,20150559.534891+9974.624478i,4606.063545-1.508931i
0.22,4.454491,110.118702,-105.664211,20150559.534891+9974.624478i,4606.063545-1.508931i
0.24,3.988791,98.201766,-94.212975,20150559.534891+9974.624478i,4606.063545-1.508931i
0.26,3.619285,88.628884,-85.009599,20150559.534891+9974.624478i,4606.063545-1.508931i
0.28,3.255083,79.156569,-75.901486,20150559.534891+9974.624478i,4606.063545-1.508931i
0.3,2.887475,69.631571,-66.744096,20150559.534891+9974.624478i,4606.063545-1.508931i
0.32,2.511348,59.965547,-57.454199,20150559.534891+9974.624478i,4606.063545-1.508931i
0.34,2.122264,50.049898,-47.927634,20150559.534891+9974.624478i,4606.063545-1.508931i
0.36,1.734447,40.220799,-38.486352,20150559.534891+9974.624478i,4606.063545-1.508931i
0.38,1.38208,31.311428,-29.929348,20150559.534891+9974.624478i,4606.063545-1.508931i
0.4,1.100568,24.19376,-23.093192000000002,20150559.534891+9974.624478i,4606.063545-1.508931i
0.42,0.90559,19.254831,-18.349241,20150559.534891+9974.624478i,4606.063545-1.508931i
0.44,0.786334,16.223145,-15.436810999999999,20150559.534891+9974.624478i,4606.063545-1.508931i
0.46,0.715008,14.402529,-13.687521,20150559.534891+9974.624478i,4606.063545-1.508931i
0.48,0.662818,13.070613,-12.407795,20150559.534891+9974.624478i,4606.063545-1.508931i
0.5,0.611276,11.762362,-11.151086,20150559.534891+9974.624478i,4606.063545-1.508931i
