q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,175.455128,2752.130786,-2576.675658,208978421.729782+116741.013257i,1615.497331-0.553233i
0.02,155.715814,2442.262794,-2286.54698,208978421.729782+116741.013257i,1615.497331-0.553233i
0.04,110.323038,1729.816138,-1619.4931,208978421.729782+116741.013257i,1615.497331-0.553233i
0.06,65.571009,1027.715738,-962.1447290000001,208978421.729782+116741.013257i,1615.497331-0.553233i
0.08,36.016787,564.370147,-528.35336,208978421.729782+116741.013257i,1615.497331-0.553233i
0.1,20.232491,317.096031,-296.86354,208978421.729782+116741.013257i,1615.497331-0.553233i
0.12,12.023409,188.506075,-176.48266600000002,208978421.729782+116741.013257i,1615.497331-0.553233i
0.14,7.590894,119.012436,-111.42154199999999,208978421.729782+116741.013257i,1615.497331-0.553233i
0.16,5.095966,79.832875,-74.736909,208978421.729782+116741.013257i,1615.497331-0.553233i
0.18,3.402934,53.171982,-49.769048,208978421.729782+116741.013257i,1615.497331-0.553233i
0.2,2.049687,31.79117,-29.741483000000002,208978421.729782+116741.013257i,1615.497331-0.553233i
0.22,1.080507,16.432621,-15.352114,208978421.729782+116741.013257i,1615.497331-0.553233i
0.24,0.586863,8.579438,-7.9925749999999995,208978421.729782+116741.013257i,1615.497331-0.553233i
0.26,0.44614,6.315834,-5.869694,208978421.729782+116741.013257i,1615.497331-0.553233i
0.28,0.427474,6.004486,-5.577012,208978421.729782+116741.013257i,1615.497331-0.553233i
0.3,0.403836,5.634968,-5.231132,208978421.729782+116741.013257i,1615.497331-0.553233i
0.32,0.352069,4.825281,-4.473212,208978421.729782+116741.013257i,1615.497331-0.553233i
0.34,0.277245,3.646287,-3.369042,208978421.729782+116741.013257i,1615.497331-0.553233i
0.36,0.214571,2.656322,-2.441751,208978421.729782+116741.013257i,1615.497331-0.553233i
0.38,0.191423,2.291075,-2.0996520000000003,208978421.729782+116741.013257i,1615.497331-0.553233i
0.4,0.18979,2.267708,-2.077918,208978421.729782+116741.013257i,1615.497331-0.553233i
0.42,0.189667,2.268841,-2.079174,208978421.729782+116741.013257i,1615.497331-0.553233i
0.44,0.186964,2.225782,-2.038818,208978421.729782+116741.013257i,1615.497331-0.553233i
0.46,0.176092,2.050509,-1.874417,208978421.729782+116741.013257i,1615.497331-0.553233i
0.48,0.160713,1.804799,-1.6440860000000002,208978421.729782+116741.013257i,1615.497331-0.553233i
0.5,0.149848,1.632469,-1.482621,208978421.729782+116741.013257i,1615.497331-0.553233i
