q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,186.836133,7235.710755,-7048.874622,9348486.699692+7481.619320i,9029.216336-3.625052i
0.02,182.772539,7079.43771,-6896.665171000001,9348486.699692+7481.619320i,9029.216336-3.625052i
0.04,171.06382,6629.02464,-6457.960819999999,9348486.699692+7481.619320i,9029.216336-3.625052i
0.06,153.069864,5936.414586,-5783.344722,9348486.699692+7481.619320i,9029.216336-3.625052i
0.08,130.789167,5078.005227,-4947.21606,9348486.699692+7481.619320i,9029.216336-3.625052i
0.1,106.520472,4141.790138,-4035.269666,9348486.699692+7481.619320i,9029.216336-3.625052i
0.12,82.49886,3213.506176,-3131.0073159999997,9348486.699692+7481.619320i,9029.216336-3.625052i
0.14,60.58076,2364.607481,-2304.026721,9348486.699692+7481.619320i,9029.216336-3.625052i
0.16,42.035025,1644.240055,-1602.20503,9348486.699692+7481.619320i,9029.216336-3.625052i
0.18,27.467648,1076.278161,-1048.810513,9348486.699692+7481.619320i,9029.216336-3.625052i
0.2,16.874663,661.236065,-644.361402,9348486.699692+7481.619320i,9029.216336-3.625052i
0.22,9.790211,381.82425,-372.034039,9348486.699692+7481.619320i,9029.216336-3.625052i
0.24,5.481305,210.323846,-204.842541,9348486.699692+7481.619320i,9029.216336-3.625052i
0.26,3.139653,115.897689,-112.758036,9348486.699692+7481.619320i,9029.216336-3.625052i
0.28,2.0321,70.369342,-68.337242,9348486.699692+7481.619320i,9029.216336-3.625052i
0.3,1.589693,51.691484,-50.101791000000006,9348486.699692+7481.619320i,9029.216336-3.625052i
0.32,1.43465,45.055686,-43.621036000000004,9348486.699692+7481.619320i,9029.216336-3.625052i
0.34,1.359396,42.162736,-40.803340000000006,9348486.699692+7481.619320i,9029.216336-3.625052i
0.36,1.279128,39.459624,-38.180496,9348486.699692+7481.619320i,9029.216336-3.625052i
0.38,1.179037,36.145515,-34.966478,9348486.699692+7481.619320i,9029.216336-3.625052i
0.4,1.071379,32.531199,-31.45982,9348486.699692+7481.619320i,9029.216336-3.625052i
0.42,0.969318,29.026295,-28.056977,9348486.699692+7481.619320i,9029.216336-3.625052i
0.44,0.877024,25.74373,-24.866706,9348486.699692+7481.619320i,9029.216336-3.625052i
0.46,0.790812,22.529929,-21.739117,9348486.699692+7481.619320i,9029.216336-3.625052i
0.48,0.704862,19.174582,-18.469720000000002,9348486.699692+7481.619320i,9029.216336-3.625052i
0.5,0.616332,15.601129,-14.984797,9348486.699692+7481.619320i,9029.216336-3.625052i
