q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,174.979838,2206.643875,-2031.6640370000002,476207725.587845+269615.641588i,1055.230480-0.358015i
0.02,150.234398,1894.790309,-1744.555911,476207725.587845+269615.641588i,1055.230480-0.358015i
0.04,96.543608,1218.063271,-1121.519663,476207725.587845+269615.641588i,1055.230480-0.358015i
0.06,49.380526,623.420044,-574.0395179999999,476207725.587845+269615.641588i,1055.230480-0.358015i
0.08,22.782066,287.859994,-265.077928,476207725.587845+269615.641588i,1055.230480-0.358015i
0.1,10.530964,133.157199,-122.626235,476207725.587845+269615.641588i,1055.230480-0.358015i
0.12,4.826013,60.992637,-56.166624,476207725.587845+269615.641588i,1055.230480-0.358015i
0.14,2.25492,28.364295,-26.109375,476207725.587845+269615.641588i,1055.230480-0.358015i
0.16,1.308624,16.312066,-15.003442000000001,476207725.587845+269615.641588i,1055.230480-0.358015i
0.18,1.05874,13.112511,-12.053771,476207725.587845+269615.641588i,1055.230480-0.358015i
0.2,0.940672,11.578858,-10.638186000000001,476207725.587845+269615.641588i,1055.230480-0.358015i
0.22,0.779459,9.499627,-8.720168000000001,476207725.587845+269615.641588i,1055.230480-0.358015i
0.24,0.644375,7.766903,-7.122528,476207725.587845+269615.641588i,1055.230480-0.358015i
0.26,0.519287,6.177395,-5.6581079999999995,476207725.587845+269615.641588i,1055.230480-0.358015i
0.28,0.373081,4.333191,-3.9601100000000002,476207725.587845+269615.641588i,1055.230480-0.358015i
0.3,0.276544,3.116489,-2.839945,476207725.587845+269615.641588i,1055.230480-0.358015i
0.32,0.257561,2.876567,-2.619006,476207725.587845+269615.641588i,1055.230480-0.358015i
0.34,0.250452,2.788847,-2.538395,476207725.587845+269615.641588i,1055.230480-0.358015i
0.36,0.214077,2.329377,-2.1153,476207725.587845+269615.641588i,1055.230480-0.358015i
0.38,0.177942,1.870337,-1.6923949999999999,476207725.587845+269615.641588i,1055.230480-0.358015i
0.4,0.162375,1.672262,-1.509887,476207725.587845+269615.641588i,1055.230480-0.358015i
0.42,0.154677,1.571902,-1.417225,476207725.587845+269615.641588i,1055.230480-0.358015i
0.44,0.153249,1.550472,-1.397223,476207725.587845+269615.641588i,1055.230480-0.358015i
0.46,0.151613,1.530864,-1.379251,476207725.587845+269615.641588i,1055.230480-0.358015i
0.48,0.134278,1.315515,-1.1812369999999999,476207725.587845+269615.641588i,1055.230480-0.358015i
0.5,0.111047,1.025583,-0.9145359999999999,476207725.587845+269615.641588i,1055.230480-0.358015i
