q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,175.455128,458.648208,-283.19308,208978421.729782+116741.013257i,44.867659-0.015365i
0.02,155.715814,407.011906,-251.29609200000002,208978421.729782+116741.013257i,44.867659-0.015365i
0.04,110.323038,288.290026,-177.96698800000001,208978421.729782+116741.013257i,44.867659-0.015365i
0.06,65.571009,171.292243,-105.72123400000001,208978421.729782+116741.013257i,44.867659-0.015365i
0.08,36.016787,94.080484,-58.063697,208978421.729782+116741.013257i,44.867659-0.015365i
0.1,20.232491,52.874805,-32.642314,208978421.729782+116741.013257i,44.867659-0.015365i
0.12,12.023409,31.446617,-19.423208000000002,208978421.729782+116741.013257i,44.867659-0.015365i
0.14,7.590894,19.866219,-12.275325000000002,208978421.729782+116741.013257i,44.867659-0.015365i
0.16,5.095966,13.33735,-8.241384,208978421.729782+116741.013257i,44.867659-0.015365i
0.18,3.402934,8.894587,-5.4916529999999995,208978421.729782+116741.013257i,44.867659-0.015365i
0.2,2.049687,5.331696,-3.282009,208978421.729782+116741.013257i,44.867659-0.015365i
0.22,1.080507,2.772352,-1.691845,208978421.729782+116741.013257i,44.867659-0.015365i
0.24,0.586863,1.4637,-0.876837,208978421.729782+116741.013257i,44.867659-0.015365i
0.26,0.44614,1.086494,-0.6403540000000001,208978421.729782+116741.013257i,44.867659-0.015365i
0.28,0.427474,1.034611,-0.6071369999999999,208978421.729782+116741.013257i,44.867659-0.015365i
0.3,0.403836,0.973035,-0.569199,208978421.729782+116741.013257i,44.867659-0.015365i
0.32,0.352069,0.838109,-0.48603999999999997,208978421.729782+116741.013257i,44.867659-0.015365i
0.34,0.277245,0.641641,-0.364396,208978421.729782+116741.013257i,44.867659-0.015365i
0.36,0.214571,0.476674,-0.262103,208978421.729782+116741.013257i,44.867659-0.015365i
0.38,0.191423,0.415809,-0.22438599999999997,208978421.729782+116741.013257i,44.867659-0.015365i
0.4,0.18979,0.411916,-0.22212600000000002,208978421.729782+116741.013257i,44.867659-0.015365i
0.42,0.189667,0.412104,-0.22243700000000002,208978421.729782+116741.013257i,44.867659-0.015365i
0.44,0.186964,0.404929,-0.217965,208978421.729782+116741.013257i,44.867659-0.015365i
0.46,0.176092,0.375722,-0.19963,208978421.729782+116741.013257i,44.867659-0.015365i
0.48,0.160713,0.334776,-0.17406300000000002,208978421.729782+116741.013257i,44.867659-0.015365i
0.5,0.149848,0.306059,-0.15621100000000002,208978421.729782+116741.013257i,44.867659-0.015365i
