q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,68.945112,299.219492,-230.27438,151327.981233+63.759362i,139.212763-0.005372i
0.02,68.68988,298.075971,-229.38609099999996,151327.981233+63.759362i,139.212763-0.005372i
0.04,67.929686,294.670416,-226.74072999999999,151327.981233+63.759362i,139.212763-0.005372i
0.06,66.680846,289.076992,-222.39614600000002,151327.981233+63.759362i,139.212763-0.005372i
0.08,64.969928,281.416456,-216.446528,151327.981233+63.759362i,139.212763-0.005372i
0.1,62.832854,271.852022,-209.01916799999998,151327.981233+63.759362i,139.212763-0.005372i
0.12,60.31369,260.583843,-200.270153,151327.981233+63.759362i,139.212763-0.005372i
0.14,57.463197,247.842348,-190.37915099999998,151327.981233+63.759362i,139.212763-0.005372i
0.16,54.337185,233.880744,-179.543559,151327.981233+63.759362i,139.212763-0.005372i
0.18,50.994769,218.967003,-167.97223400000001,151327.981233+63.759362i,139.212763-0.005372i
0.2,47.496572,203.37567,-155.879098,151327.981233+63.759362i,139.212763-0.005372i
0.22,43.902974,187.379843,-143.476869,151327.981233+63.759362i,139.212763-0.005372i
0.24,40.272458,171.243612,-130.971154,151327.981233+63.759362i,139.212763-0.005372i
0.26,36.660114,155.215264,-118.55515,151327.981233+63.759362i,139.212763-0.005372i
0.28,33.116364,139.521459,-106.40509499999999,151327.981233+63.759362i,139.212763-0.005372i
0.3,29.685933,124.362553,-94.67662000000001,151327.981233+63.759362i,139.212763-0.005372i
0.32,26.407087,109.909184,-83.50209699999999,151327.981233+63.759362i,139.212763-0.005372i
0.34,23.311163,96.30015,-72.98898700000001,151327.981233+63.759362i,139.212763-0.005372i
0.36,20.422368,83.641566,-63.219198,151327.981233+63.759362i,139.212763-0.005372i
0.38,17.757841,72.00722,-54.249379000000005,151327.981233+63.759362i,139.212763-0.005372i
0.4,15.327952,61.439999,-46.112047000000004,151327.981233+63.759362i,139.212763-0.005372i
0.42,13.136794,51.954232,-38.817437999999996,151327.981233+63.759362i,139.212763-0.005372i
0.44,11.182837,43.538748,-32.355911,151327.981233+63.759362i,139.212763-0.005372i
0.46,9.45969,36.160454,-26.700764,151327.981233+63.759362i,139.212763-0.005372i
0.48,7.95694,29.768224,-21.811284,151327.981233+63.759362i,139.212763-0.005372i
0.5,6.661011,24.296902,-17.635891,151327.981233+63.759362i,139.212763-0.005372i
