q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,179.352881,128.756921,50.59595999999999,129614660.881273+75276.813010i,3.244615-0.001165i
0.02,166.616099,119.608181,47.00791799999999,129614660.881273+75276.813010i,3.244615-0.001165i
0.04,133.936424,96.141088,37.79533599999999,129614660.881273+75276.813010i,3.244615-0.001165i
0.06,94.174005,67.606404,26.567600999999996,129614660.881273+75276.813010i,3.244615-0.001165i
0.08,59.508036,42.759291,16.748745,129614660.881273+75276.813010i,3.244615-0.001165i
0.1,35.557888,25.626887,9.931000999999998,129614660.881273+75276.813010i,3.244615-0.001165i
0.12,21.269316,15.429639,5.839677,129614660.881273+75276.813010i,3.244615-0.001165i
0.14,12.827998,9.40669,3.421308,129614660.881273+75276.813010i,3.244615-0.001165i
0.16,7.312664,5.453444,1.8592199999999997,129614660.881273+75276.813010i,3.244615-0.001165i
0.18,3.641331,2.802647,0.8386840000000002,129614660.881273+75276.813010i,3.244615-0.001165i
0.2,1.576085,1.299158,0.2769269999999999,129614660.881273+75276.813010i,3.244615-0.001165i
0.22,0.746652,0.687368,0.059284,129614660.881273+75276.813010i,3.244615-0.001165i
0.24,0.564602,0.546675,0.017927000000000026,129614660.881273+75276.813010i,3.244615-0.001165i
0.26,0.568917,0.544074,0.02484300000000006,129614660.881273+75276.813010i,3.244615-0.001165i
0.28,0.5708,0.542584,0.02821600000000002,129614660.881273+75276.813010i,3.244615-0.001165i
0.3,0.535673,0.516938,0.018734999999999946,129614660.881273+75276.813010i,3.244615-0.001165i
0.32,0.461718,0.464909,-0.0031909999999999994,129614660.881273+75276.813010i,3.244615-0.001165i
0.34,0.363669,0.395552,-0.031882999999999995,129614660.881273+75276.813010i,3.244615-0.001165i
0.36,0.277944,0.334103,-0.05615899999999996,129614660.881273+75276.813010i,3.244615-0.001165i
0.38,0.232189,0.300671,-0.06848200000000002,129614660.881273+75276.813010i,3.244615-0.001165i
0.4,0.220387,0.291654,-0.07126700000000002,129614660.881273+75276.813010i,3.244615-0.001165i
0.42,0.21863,0.290201,-0.071571,129614660.881273+75276.813010i,3.244615-0.001165i
0.44,0.213138,0.286269,-0.073131,129614660.881273+75276.813010i,3.244615-0.001165i
0.46,0.204567,0.280149,-0.07558199999999998,129614660.881273+75276.813010i,3.244615-0.001165i
0.48,0.195013,0.273364,-0.078351,129614660.881273+75276.813010i,3.244615-0.001165i
0.5,0.182212,0.264388,-0.082176,129614660.881273+75276.813010i,3.244615-0.001165i
