q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,182.298089,221.440615,-39.142526000000004,8046843.819172+5083.782999i,9.340995-0.003390i
0.02,177.34077,215.46488,-38.12411,8046843.819172+5083.782999i,9.340995-0.003390i
0.04,163.304075,198.538448,-35.23437299999998,8046843.819172+5083.782999i,9.340995-0.003390i
0.06,142.468743,173.395065,-30.926322,8046843.819172+5083.782999i,9.340995-0.003390i
0.08,117.964319,143.789174,-25.824855,8046843.819172+5083.782999i,9.340995-0.003390i
0.1,93.004226,113.582094,-20.577867999999995,8046843.819172+5083.782999i,9.340995-0.003390i
0.12,70.198973,85.92025,-15.721277,8046843.819172+5083.782999i,9.340995-0.003390i
0.14,51.142472,62.738042,-11.595570000000002,8046843.819172+5083.782999i,9.340995-0.003390i
0.16,36.348498,44.677817,-8.329318999999998,8046843.819172+5083.782999i,9.340995-0.003390i
0.18,25.483834,31.364123,-5.880288999999998,8046843.819172+5083.782999i,9.340995-0.003390i
0.2,17.754861,21.86235,-4.107489000000001,8046843.819172+5083.782999i,9.340995-0.003390i
0.22,12.28458,15.127976,-2.8433960000000003,8046843.819172+5083.782999i,9.340995-0.003390i
0.24,8.362694,10.306468,-1.9437740000000012,8046843.819172+5083.782999i,9.340995-0.003390i
0.26,5.53071,6.837906,-1.3071960000000002,8046843.819172+5083.782999i,9.340995-0.003390i
0.28,3.537195,4.407307,-0.8701120000000002,8046843.819172+5083.782999i,9.340995-0.003390i
0.3,2.236357,2.826922,-0.5905650000000002,8046843.819172+5083.782999i,9.340995-0.003390i
0.32,1.499227,1.932428,-0.43320099999999995,8046843.819172+5083.782999i,9.340995-0.003390i
0.34,1.174379,1.536777,-0.362398,8046843.819172+5083.782999i,9.340995-0.003390i
0.36,1.097244,1.440774,-0.3435299999999999,8046843.819172+5083.782999i,9.340995-0.003390i
0.38,1.122909,1.470901,-0.3479920000000001,8046843.819172+5083.782999i,9.340995-0.003390i
0.4,1.15393,1.511054,-0.357124,8046843.819172+5083.782999i,9.340995-0.003390i
0.42,1.147148,1.509564,-0.36241599999999985,8046843.819172+5083.782999i,9.340995-0.003390i
0.44,1.100174,1.462581,-0.3624069999999999,8046843.819172+5083.782999i,9.340995-0.003390i
0.46,1.029106,1.387608,-0.3585019999999999,8046843.819172+5083.782999i,9.340995-0.003390i
0.48,0.950115,1.302031,-0.3519159999999999,8046843.819172+5083.782999i,9.340995-0.003390i
0.5,0.871401,1.214114,-0.34271299999999993,8046843.819172+5083.782999i,9.340995-0.003390i
