q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,170.09432,139.624131,30.470189000000005,20150559.534891+9974.624478i,4.799093-0.001572i
0.02,163.226285,133.993662,29.23262299999999,20150559.534891+9974.624478i,4.799093-0.001572i
0.04,144.167415,118.368952,25.798463000000012,20150559.534891+9974.624478i,4.799093-0.001572i
0.06,117.02905,96.120415,20.908635000000004,20150559.534891+9974.624478i,4.799093-0.001572i
0.08,87.141471,71.618142,15.52332899999999,20150559.534891+9974.624478i,4.799093-0.001572i
0.1,59.447649,48.915261,10.532387999999997,20150559.534891+9974.624478i,4.799093-0.001572i
0.12,37.261788,30.729856,6.531932000000001,20150559.534891+9974.624478i,4.799093-0.001572i
0.14,21.789073,18.050549,3.738523999999998,20150559.534891+9974.624478i,4.799093-0.001572i
0.16,12.428035,10.383717,2.0443179999999987,20150559.534891+9974.624478i,4.799093-0.001572i
0.18,7.55505,6.396547,1.1585029999999996,20150559.534891+9974.624478i,4.799093-0.001572i
0.2,5.367213,4.608662,0.7585509999999998,20150559.534891+9974.624478i,4.799093-0.001572i
0.22,4.454491,3.862239,0.5922519999999998,20150559.534891+9974.624478i,4.799093-0.001572i
0.24,3.988791,3.47791,0.5108809999999999,20150559.534891+9974.624478i,4.799093-0.001572i
0.26,3.619285,3.169179,0.4501059999999999,20150559.534891+9974.624478i,4.799093-0.001572i
0.28,3.255083,2.863691,0.39139199999999974,20150559.534891+9974.624478i,4.799093-0.001572i
0.3,2.887475,2.556505,0.33096999999999976,20150559.534891+9974.624478i,4.799093-0.001572i
0.32,2.511348,2.24477,0.266578,20150559.534891+9974.624478i,4.799093-0.001572i
0.34,2.122264,1.924984,0.1972799999999999,20150559.534891+9974.624478i,4.799093-0.001572i
0.36,1.734447,1.60799,0.12645700000000004,20150559.534891+9974.624478i,4.799093-0.001572i
0.38,1.38208,1.320657,0.061423000000000005,20150559.534891+9974.624478i,4.799093-0.001572i
0.4,1.100568,1.091108,0.009460000000000024,20150559.534891+9974.624478i,4.799093-0.001572i
0.42,0.90559,0.931825,-0.02623500000000001,20150559.534891+9974.624478i,4.799093-0.001572i
0.44,0.786334,0.834051,-0.04771700000000001,20150559.534891+9974.624478i,4.799093-0.001572i
0.46,0.715008,0.775335,-0.06032700000000002,20150559.534891+9974.624478i,4.799093-0.001572i
0.48,0.662818,0.73238,-0.06956200000000001,20150559.534891+9974.624478i,4.799093-0.001572i
0.5,0.611276,0.690188,-0.07891199999999998,20150559.534891+9974.624478i,4.799093-0.001572i
