q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,186.836133,176.73087,10.10526299999998,9348486.699692+7481.619320i,5.367513-0.002155i
0.02,182.772539,172.926096,9.846442999999994,9348486.699692+7481.619320i,5.367513-0.002155i
0.04,171.06382,161.959906,9.103914000000003,9348486.699692+7481.619320i,5.367513-0.002155i
0.06,153.069864,145.096956,7.97290799999999,9348486.699692+7481.619320i,5.367513-0.002155i
0.08,130.789167,124.197296,6.591870999999998,9348486.699692+7481.619320i,5.367513-0.002155i
0.1,106.520472,101.403302,5.1171700000000016,9348486.699692+7481.619320i,5.367513-0.002155i
0.12,82.49886,78.802408,3.6964519999999936,9348486.699692+7481.619320i,5.367513-0.002155i
0.14,60.58076,58.134304,2.4464559999999977,9348486.699692+7481.619320i,5.367513-0.002155i
0.16,42.035025,40.595546,1.4394789999999986,9348486.699692+7481.619320i,5.367513-0.002155i
0.18,27.467648,26.767399,0.7002489999999995,9348486.699692+7481.619320i,5.367513-0.002155i
0.2,16.874663,16.662385,0.2122780000000013,9348486.699692+7481.619320i,5.367513-0.002155i
0.22,9.790211,9.859556,-0.06934500000000021,9348486.699692+7481.619320i,5.367513-0.002155i
0.24,5.481305,5.684042,-0.20273699999999995,9348486.699692+7481.619320i,5.367513-0.002155i
0.26,3.139653,3.385052,-0.24539899999999992,9348486.699692+7481.619320i,5.367513-0.002155i
0.28,2.0321,2.276575,-0.244475,9348486.699692+7481.619320i,5.367513-0.002155i
0.3,1.589693,1.821826,-0.23213299999999992,9348486.699692+7481.619320i,5.367513-0.002155i
0.32,1.43465,1.660265,-0.22561500000000012,9348486.699692+7481.619320i,5.367513-0.002155i
0.34,1.359396,1.58983,-0.23043400000000003,9348486.699692+7481.619320i,5.367513-0.002155i
0.36,1.279128,1.524017,-0.2448889999999999,9348486.699692+7481.619320i,5.367513-0.002155i
0.38,1.179037,1.443329,-0.2642920000000002,9348486.699692+7481.619320i,5.367513-0.002155i
0.4,1.071379,1.355331,-0.283952,9348486.699692+7481.619320i,5.367513-0.002155i
0.42,0.969318,1.269998,-0.30067999999999995,9348486.699692+7481.619320i,5.367513-0.002155i
0.44,0.877024,1.190077,-0.313053,9348486.699692+7481.619320i,5.367513-0.002155i
0.46,0.790812,1.111831,-0.32101900000000005,9348486.699692+7481.619320i,5.367513-0.002155i
0.48,0.704862,1.030138,-0.325276,9348486.699692+7481.619320i,5.367513-0.002155i
0.5,0.616332,0.943136,-0.326804,9348486.699692+7481.619320i,5.367513-0.002155i
