q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,174.979838,53.98345,120.996388,476207725.587845+269615.641588i,0.627673-0.000213i
0.02,150.234398,46.381675,103.852723,476207725.587845+269615.641588i,0.627673-0.000213i
0.04,96.543608,29.885707,66.65790100000001,476207725.587845+269615.641588i,0.627673-0.000213i
0.06,49.380526,15.390622,33.989904,476207725.587845+269615.641588i,0.627673-0.000213i
0.08,22.782066,7.210976,15.571090000000002,476207725.587845+269615.641588i,0.627673-0.000213i
0.1,10.530964,3.439924,7.091040000000001,476207725.587845+269615.641588i,0.627673-0.000213i
0.12,4.826013,1.680833,3.14518,476207725.587845+269615.641588i,0.627673-0.000213i
0.14,2.25492,0.885482,1.3694379999999997,476207725.587845+269615.641588i,0.627673-0.000213i
0.16,1.308624,0.591695,0.716929,476207725.587845+269615.641588i,0.627673-0.000213i
0.18,1.05874,0.513703,0.545037,476207725.587845+269615.641588i,0.627673-0.000213i
0.2,0.940672,0.476318,0.46435399999999993,476207725.587845+269615.641588i,0.627673-0.000213i
0.22,0.779459,0.425635,0.353824,476207725.587845+269615.641588i,0.627673-0.000213i
0.24,0.644375,0.383397,0.26097800000000004,476207725.587845+269615.641588i,0.627673-0.000213i
0.26,0.519287,0.344651,0.17463600000000007,476207725.587845+269615.641588i,0.627673-0.000213i
0.28,0.373081,0.299697,0.073384,476207725.587845+269615.641588i,0.627673-0.000213i
0.3,0.276544,0.270038,0.006506000000000012,476207725.587845+269615.641588i,0.627673-0.000213i
0.32,0.257561,0.26419,-0.006628999999999996,476207725.587845+269615.641588i,0.627673-0.000213i
0.34,0.250452,0.262052,-0.0116,476207725.587845+269615.641588i,0.627673-0.000213i
0.36,0.214077,0.250852,-0.03677500000000003,476207725.587845+269615.641588i,0.627673-0.000213i
0.38,0.177942,0.239662,-0.06172,476207725.587845+269615.641588i,0.627673-0.000213i
0.4,0.162375,0.234834,-0.072459,476207725.587845+269615.641588i,0.627673-0.000213i
0.42,0.154677,0.232387,-0.07771,476207725.587845+269615.641588i,0.627673-0.000213i
0.44,0.153249,0.231865,-0.07861599999999999,476207725.587845+269615.641588i,0.627673-0.000213i
0.46,0.151613,0.231387,-0.07977400000000001,476207725.587845+269615.641588i,0.627673-0.000213i
0.48,0.134278,0.226138,-0.09186,476207725.587845+269615.641588i,0.627673-0.000213i
0.5,0.111047,0.21907,-0.10802299999999998,476207725.587845+269615.641588i,0.627673-0.000213i
