q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,182.298089,149.165574,33.13251500000001,8046843.819172+5083.782999i,4.222695-0.001533i
0.02,177.34077,145.149989,32.19078099999999,8046843.819172+5083.782999i,4.222695-0.001533i
0.04,163.304075,133.775735,29.528340000000014,8046843.819172+5083.782999i,4.222695-0.001533i
0.06,142.468743,116.87984,25.588902999999988,8046843.819172+5083.782999i,4.222695-0.001533i
0.08,117.964319,96.985221,20.979098000000008,8046843.819172+5083.782999i,4.222695-0.001533i
0.1,93.004226,76.686614,16.317611999999997,8046843.819172+5083.782999i,4.222695-0.001533i
0.12,70.198973,58.098359,12.100613999999993,8046843.819172+5083.782999i,4.222695-0.001533i
0.14,51.142472,42.520337,8.622135,8046843.819172+5083.782999i,4.222695-0.001533i
0.16,36.348498,30.384195,5.964303000000001,8046843.819172+5083.782999i,4.222695-0.001533i
0.18,25.483834,21.437635,4.046199000000001,8046843.819172+5083.782999i,4.222695-0.001533i
0.2,17.754861,15.052617,2.7022439999999985,8046843.819172+5083.782999i,4.222695-0.001533i
0.22,12.28458,10.527241,1.757339,8046843.819172+5083.782999i,4.222695-0.001533i
0.24,8.362694,7.287275,1.0754189999999992,8046843.819172+5083.782999i,4.222695-0.001533i
0.26,5.53071,4.956464,0.5742459999999996,8046843.819172+5083.782999i,4.222695-0.001533i
0.28,3.537195,3.323146,0.21404900000000016,8046843.819172+5083.782999i,4.222695-0.001533i
0.3,2.236357,2.261156,-0.024799000000000238,8046843.819172+5083.782999i,4.222695-0.001533i
0.32,1.499227,1.660072,-0.1608449999999999,8046843.819172+5083.782999i,4.222695-0.001533i
0.34,1.174379,1.394202,-0.21982299999999988,8046843.819172+5083.782999i,4.222695-0.001533i
0.36,1.097244,1.32969,-0.23244599999999993,8046843.819172+5083.782999i,4.222695-0.001533i
0.38,1.122909,1.349935,-0.22702600000000017,8046843.819172+5083.782999i,4.222695-0.001533i
0.4,1.15393,1.376917,-0.22298700000000005,8046843.819172+5083.782999i,4.222695-0.001533i
0.42,1.147148,1.375916,-0.22876799999999986,8046843.819172+5083.782999i,4.222695-0.001533i
0.44,1.100174,1.344344,-0.24417,8046843.819172+5083.782999i,4.222695-0.001533i
0.46,1.029106,1.293963,-0.2648569999999999,8046843.819172+5083.782999i,4.222695-0.001533i
0.48,0.950115,1.236457,-0.2863419999999999,8046843.819172+5083.782999i,4.222695-0.001533i
0.5,0.871401,1.177379,-0.30597799999999997,8046843.819172+5083.782999i,4.222695-0.001533i
