q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,170.09432,94.254178,75.84014200000001,20150559.534891+9974.624478i,2.177153-0.000713i
0.02,163.226285,90.463466,72.762819,20150559.534891+9974.624478i,2.177153-0.000713i
0.04,144.167415,79.944138,64.22327700000001,20150559.534891+9974.624478i,2.177153-0.000713i
0.06,117.02905,64.96532,52.06372999999999,20150559.534891+9974.624478i,2.177153-0.000713i
0.08,87.141471,48.469176,38.672295,20150559.534891+9974.624478i,2.177153-0.000713i
0.1,59.447649,33.184471,26.263177999999996,20150559.534891+9974.624478i,2.177153-0.000713i
0.12,37.261788,20.941156,16.320632000000003,20150559.534891+9974.624478i,2.177153-0.000713i
0.14,21.789073,12.404818,9.384254999999998,20150559.534891+9974.624478i,2.177153-0.000713i
0.16,12.428035,7.243126,5.184908999999999,20150559.534891+9974.624478i,2.177153-0.000713i
0.18,7.55505,4.558766,2.9962839999999993,20150559.534891+9974.624478i,2.177153-0.000713i
0.2,5.367213,3.355074,2.0121389999999995,20150559.534891+9974.624478i,2.177153-0.000713i
0.22,4.454491,2.852544,1.601947,20150559.534891+9974.624478i,2.177153-0.000713i
0.24,3.988791,2.593795,1.394996,20150559.534891+9974.624478i,2.177153-0.000713i
0.26,3.619285,2.385942,1.233343,20150559.534891+9974.624478i,2.177153-0.000713i
0.28,3.255083,2.180273,1.0748099999999998,20150559.534891+9974.624478i,2.177153-0.000713i
0.3,2.887475,1.973459,0.9140159999999997,20150559.534891+9974.624478i,2.177153-0.000713i
0.32,2.511348,1.763584,0.7477639999999999,20150559.534891+9974.624478i,2.177153-0.000713i
0.34,2.122264,1.548288,0.5739759999999998,20150559.534891+9974.624478i,2.177153-0.000713i
0.36,1.734447,1.334872,0.399575,20150559.534891+9974.624478i,2.177153-0.000713i
0.38,1.38208,1.141426,0.24065399999999992,20150559.534891+9974.624478i,2.177153-0.000713i
0.4,1.100568,0.986882,0.11368599999999995,20150559.534891+9974.624478i,2.177153-0.000713i
0.42,0.90559,0.879645,0.025944999999999996,20150559.534891+9974.624478i,2.177153-0.000713i
0.44,0.786334,0.813818,-0.027484000000000064,20150559.534891+9974.624478i,2.177153-0.000713i
0.46,0.715008,0.774288,-0.05928,20150559.534891+9974.624478i,2.177153-0.000713i
0.48,0.662818,0.745368,-0.08255000000000001,20150559.534891+9974.624478i,2.177153-0.000713i
0.5,0.611276,0.716963,-0.10568699999999998,20150559.534891+9974.624478i,2.177153-0.000713i
