q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,175.455128,60.079364,115.375764,208978421.729782+116741.013257i,0.764135-0.000262i
0.02,155.715814,53.345067,102.370747,208978421.729782+116741.013257i,0.764135-0.000262i
0.04,110.323038,37.861611,72.46142699999999,208978421.729782+116741.013257i,0.764135-0.000262i
0.06,65.571009,22.603008,42.968001,208978421.729782+116741.013257i,0.764135-0.000262i
0.08,36.016787,12.533214,23.483573,208978421.729782+116741.013257i,0.764135-0.000262i
0.1,20.232491,7.159256,13.073235,208978421.729782+116741.013257i,0.764135-0.000262i
0.12,12.023409,4.364637,7.658771999999999,208978421.729782+116741.013257i,0.764135-0.000262i
0.14,7.590894,2.854346,4.736547999999999,208978421.729782+116741.013257i,0.764135-0.000262i
0.16,5.095966,2.002865,3.093101,208978421.729782+116741.013257i,0.764135-0.000262i
0.18,3.402934,1.423449,1.9794850000000002,208978421.729782+116741.013257i,0.764135-0.000262i
0.2,2.049687,0.958785,1.090902,208978421.729782+116741.013257i,0.764135-0.000262i
0.22,1.080507,0.625,0.4555070000000001,208978421.729782+116741.013257i,0.764135-0.000262i
0.24,0.586863,0.454329,0.13253400000000004,208978421.729782+116741.013257i,0.764135-0.000262i
0.26,0.44614,0.405134,0.04100599999999999,208978421.729782+116741.013257i,0.764135-0.000262i
0.28,0.427474,0.398368,0.02910600000000002,208978421.729782+116741.013257i,0.764135-0.000262i
0.3,0.403836,0.390337,0.013498999999999983,208978421.729782+116741.013257i,0.764135-0.000262i
0.32,0.352069,0.372741,-0.020671999999999968,208978421.729782+116741.013257i,0.764135-0.000262i
0.34,0.277245,0.347118,-0.06987299999999996,208978421.729782+116741.013257i,0.764135-0.000262i
0.36,0.214571,0.325603,-0.11103199999999996,208978421.729782+116741.013257i,0.764135-0.000262i
0.38,0.191423,0.317665,-0.12624199999999997,208978421.729782+116741.013257i,0.764135-0.000262i
0.4,0.18979,0.317157,-0.12736700000000004,208978421.729782+116741.013257i,0.764135-0.000262i
0.42,0.189667,0.317182,-0.12751500000000002,208978421.729782+116741.013257i,0.764135-0.000262i
0.44,0.186964,0.316246,-0.12928200000000004,208978421.729782+116741.013257i,0.764135-0.000262i
0.46,0.176092,0.312437,-0.13634500000000002,208978421.729782+116741.013257i,0.764135-0.000262i
0.48,0.160713,0.307097,-0.14638400000000001,208978421.729782+116741.013257i,0.764135-0.000262i
0.5,0.149848,0.303352,-0.153504,208978421.729782+116741.013257i,0.764135-0.000262i
