weights,q_inv_angstrom,intensity
476207725.587845+269615.641588i,0.000000,174.979838
476207725.587845+269615.641588i,0.020000,150.234398
476207725.587845+269615.641588i,0.040000,96.543608
476207725.587845+269615.641588i,0.060000,49.380526
476207725.587845+269615.641588i,0.080000,22.782066
476207725.587845+269615.641588i,0.100000,10.530964
476207725.587845+269615.641588i,0.120000,4.826013
476207725.587845+269615.641588i,0.140000,2.254920
476207725.587845+269615.641588i,0.160000,1.308624
476207725.587845+269615.641588i,0.180000,1.058740
476207725.587845+269615.641588i,0.200000,0.940672
476207725.587845+269615.641588i,0.220000,0.779459
476207725.587845+269615.641588i,0.240000,0.644375
476207725.587845+269615.641588i,0.260000,0.519287
476207725.587845+269615.641588i,0.280000,0.373081
476207725.587845+269615.641588i,0.300000,0.276544
476207725.587845+269615.641588i,0.320000,0.257561
476207725.587845+269615.641588i,0.340000,0.250452
476207725.587845+269615.641588i,0.360000,0.214077
476207725.587845+269615.641588i,0.380000,0.177942
476207725.587845+269615.641588i,0.400000,0.162375
476207725.587845+269615.641588i,0.420000,0.154677
476207725.587845+269615.641588i,0.440000,0.153249
476207725.587845+269615.641588i,0.460000,0.151613
476207725.587845+269615.641588i,0.480000,0.134278
476207725.587845+269615.641588i,0.500000,0.111047
