q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,174.979838,200.531488,56.823068,-25.551649999999995,118.15677,-143.70842
0.02,150.234398,171.814354,48.818605,-21.57995600000001,101.41579300000001,-122.99574900000002
0.04,96.543608,109.788856,31.448796,-13.24524799999999,65.094812,-78.34006
0.06,49.380526,55.80023,16.185863,-6.419703999999996,33.194663000000006,-39.614367
0.08,22.782066,25.703624,7.572917,-2.921558000000001,15.209149,-18.130707
0.1,10.530964,11.904674,3.602102,-1.373709999999999,6.9288620000000005,-8.302572
0.12,4.826013,5.424714,1.749826,-0.5987010000000001,3.0761869999999996,-3.6748879999999997
0.14,2.25492,2.494135,0.912342,-0.23921500000000018,1.3425779999999998,-1.581793
0.16,1.308624,1.440386,0.602993,-0.13176199999999993,0.705631,-0.8373929999999999
0.18,1.05874,1.189819,0.520869,-0.13107899999999995,0.537871,-0.6689499999999999
0.2,0.940672,1.0803,0.481504,-0.13962800000000009,0.45916799999999997,-0.5987960000000001
0.22,0.779459,0.914398,0.428136,-0.13493900000000003,0.351323,-0.486262
0.24,0.644375,0.777898,0.383661,-0.13352299999999995,0.26071400000000006,-0.394237
0.26,0.519287,0.65997,0.342863,-0.1406829999999999,0.17642400000000008,-0.31710699999999997
0.28,0.373081,0.525811,0.295527,-0.15273000000000003,0.07755400000000001,-0.23028400000000004
0.3,0.276544,0.435747,0.264297,-0.15920299999999998,0.012247000000000008,-0.17145
0.32,0.257561,0.410438,0.258139,-0.15287700000000004,-5.780000000000229e-4,-0.15229900000000002
0.34,0.250452,0.390156,0.255888,-0.139704,-0.005435999999999996,-0.134268
0.36,0.214077,0.337911,0.244094,-0.12383400000000003,-0.030017000000000016,-0.09381700000000001
0.38,0.177942,0.285175,0.232312,-0.10723300000000002,-0.05437,-0.05286300000000002
0.4,0.162375,0.261952,0.227228,-0.09957700000000003,-0.06485300000000002,-0.034724000000000005
0.42,0.154677,0.259076,0.224652,-0.10439899999999996,-0.06997499999999998,-0.03442399999999998
0.44,0.153249,0.262996,0.224102,-0.10974700000000001,-0.070853,-0.03889400000000001
0.46,0.151613,0.259581,0.223599,-0.10796800000000001,-0.071986,-0.035982000000000014
0.48,0.134278,0.239176,0.218071,-0.10489799999999999,-0.08379299999999998,-0.021105000000000013
0.5,0.111047,0.215929,0.210629,-0.104882,-0.099582,-0.005299999999999999
