q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,186.836133,216.195427,186.459904,-29.359294000000006,0.37622899999999504,-29.735523
0.02,182.772539,211.33793,182.44437,-28.565391000000005,0.3281690000000026,-28.893560000000008
0.04,171.06382,197.357491,170.870723,-26.293671000000018,0.19309699999999452,-26.486768000000012
0.06,153.069864,175.922655,153.073673,-22.852790999999996,-0.003809000000018159,-22.848981999999978
0.08,130.789167,149.480276,131.016306,-18.69110900000001,-0.22713899999999398,-18.463970000000018
0.1,106.520472,120.834276,106.959672,-14.313804000000005,-0.4391999999999996,-13.874604000000005
0.12,82.49886,92.693677,83.106833,-10.194817,-0.6079730000000012,-9.586844
0.14,60.58076,67.283334,61.293849,-6.7025739999999985,-0.7130890000000036,-5.989484999999995
0.16,42.035025,46.088958,42.783556,-4.053933000000001,-0.7485309999999998,-3.305402000000001
0.18,27.467648,29.770667,28.189418,-2.303018999999999,-0.7217699999999994,-1.5812489999999997
0.2,16.874663,18.237503,17.524651,-1.3628399999999985,-0.6499879999999969,-0.7128520000000016
0.22,9.790211,10.840495,10.344989,-1.0502840000000013,-0.5547780000000007,-0.49550600000000067
0.24,5.481305,6.622237,5.938179,-1.1409320000000003,-0.456874,-0.6840580000000003
0.26,3.139653,4.559665,3.511839,-1.4200119999999998,-0.37218600000000013,-1.0478259999999997
0.28,2.0321,3.751252,2.34196,-1.7191520000000002,-0.30986,-1.4092920000000002
0.3,1.589693,3.52369,1.862021,-1.9339970000000002,-0.2723279999999999,-1.6616690000000003
0.32,1.43465,3.458145,1.69151,-2.023495,-0.2568600000000001,-1.766635
0.34,1.359396,3.355307,1.617174,-1.9959109999999998,-0.25777799999999984,-1.738133
0.36,1.279128,3.167814,1.547715,-1.8886859999999999,-0.2685869999999999,-1.620099
0.38,1.179037,2.927832,1.462557,-1.748795,-0.2835200000000002,-1.4652749999999999
0.4,1.071379,2.689478,1.369685,-1.6180989999999997,-0.29830599999999996,-1.3197929999999998
0.42,0.969318,2.49473,1.279625,-1.5254120000000002,-0.310307,-1.215105
0.44,0.877024,2.361554,1.195277,-1.48453,-0.3182529999999999,-1.166277
0.46,0.790812,2.287009,1.112696,-1.496197,-0.32188399999999995,-1.174313
0.48,0.704862,2.256598,1.026479,-1.551736,-0.32161699999999993,-1.230119
0.5,0.616332,2.253118,0.934656,-1.6367860000000003,-0.31832400000000005,-1.3184620000000002
