q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,174.979838,198.335844,56.069603,-23.356006000000008,118.910235,-142.266241
0.02,150.234398,168.095158,48.171976,-17.86076,102.062422,-119.923182
0.04,96.543608,103.696787,31.034002,-7.153178999999994,65.509606,-72.662785
0.06,49.380526,49.583746,15.974784,-0.20321999999999463,33.405742000000004,-33.608962
0.08,22.782066,21.36379,7.476795,1.4182759999999988,15.305271000000001,-13.886995000000002
0.1,10.530964,9.531147,3.558978,0.9998170000000002,6.971986000000001,-5.972169000000001
0.12,4.826013,4.562488,1.731425,0.26352499999999957,3.094588,-2.8310630000000003
0.14,2.25492,2.898389,0.905119,-0.6434690000000001,1.3498009999999998,-1.9932699999999999
0.16,1.308624,2.633092,0.599899,-1.324468,0.708725,-2.033193
0.18,1.05874,2.517052,0.518871,-1.458312,0.539869,-1.9981810000000002
0.2,0.940672,2.102086,0.480031,-1.161414,0.46064099999999997,-1.622055
0.22,0.779459,1.533952,0.427375,-0.754493,0.352084,-1.106577
0.24,0.644375,1.169608,0.383495,-0.525233,0.26088000000000006,-0.7861130000000001
0.26,0.519287,1.027234,0.343241,-0.5079469999999999,0.17604600000000004,-0.683993
0.28,0.373081,0.954738,0.296536,-0.581657,0.07654499999999997,-0.658202
0.3,0.276544,0.949361,0.265724,-0.672817,0.010819999999999996,-0.683637
0.32,0.257561,0.998292,0.259648,-0.740731,-0.0020870000000000055,-0.738644
0.34,0.250452,1.018678,0.257426,-0.768226,-0.00697399999999998,-0.761252
0.36,0.214077,0.966925,0.24579,-0.7528480000000001,-0.03171300000000002,-0.7211350000000001
0.38,0.177942,0.876599,0.234165,-0.6986570000000001,-0.05622300000000002,-0.642434
0.4,0.162375,0.830356,0.229149,-0.6679809999999999,-0.066774,-0.601207
0.42,0.154677,0.861569,0.226607,-0.7068920000000001,-0.07193,-0.634962
0.44,0.153249,0.918841,0.226065,-0.765592,-0.07281599999999999,-0.6927760000000001
0.46,0.151613,0.933689,0.225568,-0.782076,-0.07395499999999999,-0.708121
0.48,0.134278,0.873554,0.220114,-0.739276,-0.085836,-0.65344
0.5,0.111047,0.777538,0.212772,-0.666491,-0.10172499999999998,-0.564766
