q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,182.298089,212.817165,167.718417,-30.519075999999984,14.579672000000016,-45.098748
0.02,177.34077,206.510096,163.199182,-29.169326000000012,14.141587999999985,-43.310914
0.04,163.304075,188.743244,150.398328,-25.439168999999993,12.90574700000002,-38.34491600000001
0.06,142.468743,162.64986,131.383286,-20.181117,11.085456999999991,-31.26657399999999
0.08,117.964319,132.471742,108.993409,-14.507423000000003,8.970910000000003,-23.478333000000006
0.1,93.004226,102.456139,86.148875,-9.45191299999999,6.855350999999999,-16.30726399999999
0.12,70.198973,75.890233,65.229212,-5.69126,4.969760999999991,-10.661020999999991
0.14,51.142472,54.560668,47.697336,-3.418196000000002,3.445135999999998,-6.863332
0.16,36.348498,38.741351,34.039034,-2.3928530000000023,2.3094639999999984,-4.702317000000001
0.18,25.483834,27.611451,23.970364,-2.127616999999997,1.5134700000000016,-3.641086999999999
0.2,17.754861,19.870597,16.784513,-2.115736000000002,0.9703479999999978,-3.0860839999999996
0.22,12.28458,14.295447,11.691547,-2.0108669999999993,0.5930330000000001,-2.6038999999999994
0.24,8.362694,10.062627,8.045213,-1.6999330000000015,0.317480999999999,-2.0174140000000005
0.26,5.53071,6.795829,5.422063,-1.2651190000000003,0.10864700000000038,-1.3737660000000007
0.28,3.537195,4.413945,3.583888,-0.8767499999999999,-0.046692999999999873,-0.830057
0.3,2.236357,2.915023,2.388699,-0.6786660000000002,-0.15234199999999998,-0.5263240000000002
0.32,1.499227,2.216404,1.712225,-0.7171769999999997,-0.21299800000000002,-0.5041789999999997
0.34,1.174379,2.10841,1.413009,-0.9340310000000001,-0.2386299999999999,-0.6954010000000002
0.36,1.097244,2.307901,1.340405,-1.210657,-0.24316099999999996,-0.9674960000000001
0.38,1.122909,2.553724,1.363189,-1.430815,-0.24028000000000005,-1.190535
0.4,1.15393,2.682153,1.393556,-1.528223,-0.23962600000000012,-1.288597
0.42,1.147148,2.647941,1.392429,-1.5007929999999998,-0.24528099999999986,-1.255512
0.44,1.100174,2.493377,1.356897,-1.3932030000000002,-0.25672300000000003,-1.1364800000000002
0.46,1.029106,2.293039,1.300198,-1.2639329999999998,-0.2710919999999999,-0.9928409999999999
0.48,0.950115,2.106171,1.235478,-1.1560559999999998,-0.28536300000000003,-0.8706929999999997
0.5,0.871401,1.955544,1.16899,-1.084143,-0.297589,-0.786554
