q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,179.352881,207.878885,81.956824,-28.526004,97.396057,-125.922061
0.02,166.616099,193.103246,76.145197,-26.48714700000002,90.470902,-116.95804900000002
0.04,133.936424,155.174685,61.238005,-21.238261000000023,72.69841899999999,-93.93668000000001
0.06,94.174005,108.952626,43.111687,-14.778621000000001,51.06231799999999,-65.84093899999999
0.08,59.508036,68.490183,27.327854,-8.982147000000005,32.180182,-41.162329
0.1,35.557888,40.308539,16.444698,-4.750651000000005,19.11319,-23.863841000000004
0.12,21.269316,23.339573,9.967018,-2.0702570000000016,11.302298,-13.372555000000002
0.14,12.827998,13.394776,6.141011,-0.5667780000000011,6.686986999999999,-7.2537650000000005
0.16,7.312664,7.215761,3.629759,0.09690300000000018,3.682905,-3.5860019999999997
0.18,3.641331,3.454922,1.945871,0.18640900000000027,1.6954600000000002,-1.509051
0.2,1.576085,1.597565,0.990798,-0.021479999999999944,0.585287,-0.606767
0.22,0.746652,1.012108,0.602166,-0.265456,0.144486,-0.40994200000000003
0.24,0.564602,0.959318,0.512792,-0.39471599999999996,0.05181000000000002,-0.446526
0.26,0.568917,0.963105,0.51114,-0.394188,0.05777699999999997,-0.45196499999999995
0.28,0.5708,0.892662,0.510194,-0.321862,0.06060599999999994,-0.3824679999999999
0.3,0.535673,0.775753,0.493902,-0.24008000000000007,0.04177099999999995,-0.281851
0.32,0.461718,0.649908,0.460851,-0.18819000000000002,8.670000000000067e-4,-0.18905700000000003
0.34,0.363669,0.542703,0.416793,-0.17903400000000003,-0.053124000000000005,-0.12591000000000002
0.36,0.277944,0.47856,0.377758,-0.20061599999999996,-0.09981399999999996,-0.100802
0.38,0.232189,0.46048,0.356521,-0.228291,-0.12433199999999997,-0.10395900000000002
0.4,0.220387,0.465334,0.350793,-0.24494700000000003,-0.13040600000000002,-0.114541
0.42,0.21863,0.467869,0.34987,-0.249239,-0.13124000000000002,-0.11799899999999997
0.44,0.213138,0.458474,0.347372,-0.245336,-0.13423400000000002,-0.11110199999999998
0.46,0.204567,0.437038,0.343485,-0.23247099999999998,-0.13891799999999999,-0.093553
0.48,0.195013,0.404017,0.339174,-0.20900400000000002,-0.14416099999999998,-0.06484300000000004
0.5,0.182212,0.36375999999999997,0.333473,-0.18154799999999996,-0.151261,-0.030286999999999953
