q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,68.945112,139.700505,77.681259,-70.755393,-8.736147000000003,-62.019245999999995
0.02,68.68988,139.154529,77.387084,-70.464649,-8.697204,-61.767444999999995
0.04,67.929686,137.528454,76.510994,-69.598768,-8.581307999999993,-61.017460000000014
0.06,66.680846,134.857461,75.072067,-68.176615,-8.391221000000002,-59.785394
0.08,64.969928,131.198945,73.101368,-66.22901700000001,-8.131439999999998,-58.097577000000015
0.1,62.832854,126.630702,70.640885,-63.797848,-7.808031,-55.989817
0.12,60.31369,121.248496,67.742107,-60.934806,-7.428417000000003,-53.506389
0.14,57.463197,115.163094,64.464315,-57.699897,-7.001117999999998,-50.698779
0.16,54.337185,108.496897,60.872645,-54.159712000000006,-6.5354600000000005,-47.624252000000006
0.18,50.994769,101.380276,57.036034,-50.385507,-6.041265000000003,-44.344241999999994
0.2,47.496572,93.947776,53.025111,-46.451204000000004,-5.528539000000002,-40.922665
0.22,43.902974,86.334302,48.910131,-42.43132799999999,-5.007156999999999,-37.424170999999994
0.24,40.272458,78.671454,44.759031,-38.398996,-4.486573,-33.912423
0.26,36.660114,71.084106,40.635684,-34.423992000000005,-3.9755699999999976,-30.448422000000008
0.28,33.116364,63.68737,36.598399,-30.571006000000004,-3.4820350000000033,-27.088971
0.3,29.685933,56.584026,32.698719,-26.898093000000003,-3.0127859999999984,-23.885307000000005
0.32,26.407087,49.86248,28.980541,-23.455392999999997,-2.573453999999998,-20.881939
0.34,23.311163,43.595325,25.479571,-20.284162000000002,-2.1684079999999994,-18.115754000000003
0.36,20.422368,37.838492,22.223108,-17.416124000000003,-1.8007400000000011,-15.615384000000002
0.38,17.757841,32.631011,19.230133,-14.873170000000002,-1.4722919999999995,-13.400878000000002
0.4,15.327952,27.995343,16.511679,-12.667390999999999,-1.183727000000001,-11.483663999999997
0.42,13.136794,23.938233,14.071434,-10.801439,-0.9346399999999999,-9.866799
0.44,11.182837,20.452017,11.906522,-9.269180000000002,-0.7236850000000015,-8.545495
0.46,9.45969,17.516298,10.008431,-8.056607999999999,-0.5487409999999997,-7.507866999999999
0.48,7.95694,15.099903,8.364008,-7.142962999999999,-0.40706799999999976,-6.735894999999999
0.5,6.661011,13.163013,6.956492,-6.502001999999999,-0.29548099999999966,-6.2065209999999995
