q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,175.455128,199.70496,64.251315,-24.249831999999998,111.203813,-135.453645
0.02,155.715814,177.567993,57.045316,-21.852179000000007,98.670498,-120.522677
0.04,110.323038,126.459061,40.477325,-16.13602300000001,69.84571299999999,-85.98173600000001
0.06,65.571009,75.568014,24.149938,-9.997005000000001,41.421071000000005,-51.418076000000006
0.08,36.016787,41.332292,13.374808,-5.315505000000002,22.641979,-27.957484
0.1,20.232491,22.706338,7.624433,-2.4738469999999992,12.608058,-15.081904999999999
0.12,12.023409,13.221816,4.634066,-1.1984070000000013,7.389342999999999,-8.58775
0.14,7.590894,8.524949,3.017987,-0.9340549999999999,4.572906999999999,-5.506962
0.16,5.095966,6.041009,2.106864,-0.9450430000000001,2.989102,-3.934145
0.18,3.402934,4.186385,1.486864,-0.7834509999999995,1.9160700000000002,-2.699521
0.2,2.049687,2.565187,0.989652,-0.5154999999999998,1.060035,-1.575535
0.22,1.080507,1.41873,0.632488,-0.33822299999999994,0.44801900000000006,-0.786242
0.24,0.586863,0.85614,0.449861,-0.269277,0.137002,-0.406279
0.26,0.44614,0.697196,0.397221,-0.25105600000000006,0.04891899999999999,-0.29997500000000005
0.28,0.427474,0.690961,0.389981,-0.263487,0.037493,-0.30098
0.3,0.403836,0.682233,0.381388,-0.278397,0.022447999999999968,-0.300845
0.32,0.352069,0.612972,0.362558,-0.26090299999999994,-0.01048899999999997,-0.25041399999999997
0.34,0.277245,0.502961,0.335141,-0.22571599999999997,-0.057896,-0.16781999999999997
0.36,0.214571,0.42452,0.312119,-0.209949,-0.09754799999999997,-0.11240100000000003
0.38,0.191423,0.404527,0.303625,-0.21310400000000002,-0.11220199999999997,-0.10090200000000005
0.4,0.18979,0.406889,0.303082,-0.21709900000000001,-0.11329200000000003,-0.10380699999999998
0.42,0.189667,0.415058,0.303108,-0.22539099999999998,-0.11344099999999999,-0.11195
0.44,0.186964,0.42759,0.302107,-0.24062600000000003,-0.11514300000000002,-0.125483
0.46,0.176092,0.426602,0.298031,-0.25051,-0.12193899999999999,-0.128571
0.48,0.160713,0.415423,0.292317,-0.25471,-0.131604,-0.123106
0.5,0.149848,0.407224,0.288309,-0.25737599999999994,-0.13846099999999997,-0.11891499999999999
