q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,170.09432,198.273049,98.735115,-28.178728999999976,71.35920500000002,-99.53793399999999
0.02,163.226285,191.012666,94.76245,-27.786381000000006,68.46383499999999,-96.250216
0.04,144.167415,170.740481,83.738193,-26.573065999999983,60.42922200000001,-87.002288
0.06,117.02905,141.506083,68.040392,-24.47703299999999,48.988658,-73.46569099999999
0.08,87.141471,108.6611,50.752434,-21.51962900000001,36.389036999999995,-57.908666000000004
0.1,59.447649,77.347115,34.734063,-17.899466000000004,24.713586,-42.613052
0.12,37.261788,51.264997,21.903068,-14.003208999999998,15.358720000000002,-29.361929
0.14,21.789073,32.104496,12.956986,-10.315423,8.832086999999998,-19.147509999999997
0.16,12.428035,19.698753,7.547534,-7.2707180000000005,4.880501,-12.151219000000001
0.18,7.55505,12.677946,4.734324,-5.122896000000001,2.8207259999999996,-7.943622
0.2,5.367213,9.258584,3.472854,-3.8913710000000012,1.8943589999999997,-5.785730000000001
0.22,4.454491,7.853485,2.946204,-3.398994,1.5082870000000002,-4.907281
0.24,3.988791,7.358167,2.675035,-3.369376,1.3137560000000001,-4.6831320000000005
0.26,3.619285,7.151024,2.457205,-3.5317389999999995,1.16208,-4.6938189999999995
0.28,3.255083,6.9472950000000004,2.241663,-3.6922120000000005,1.01342,-4.7056320000000005
0.3,2.887475,6.64502,2.024923,-3.757545,0.862552,-4.6200969999999995
0.32,2.511348,6.232069,1.804973,-3.720721,0.706375,-4.427096000000001
0.34,2.122264,5.749398,1.579344,-3.6271340000000003,0.5429199999999998,-4.170054
0.36,1.734447,5.271707,1.355683,-3.53726,0.3787640000000001,-3.916024
0.38,1.38208,4.87785,1.152951,-3.4957699999999994,0.22912899999999992,-3.7248989999999997
0.4,1.100568,4.613867,0.99099,-3.513299,0.10957799999999995,-3.622877
0.42,0.90559,4.470508,0.878605,-3.5649179999999996,0.026985000000000037,-3.591903
0.44,0.786334,4.391428,0.809619,-3.6050940000000002,-0.023285,-3.5818090000000002
0.46,0.715008,4.307011,0.768191,-3.592003,-0.05318299999999998,-3.5388200000000003
0.48,0.662818,4.171634,0.737883,-3.508816,-0.07506499999999994,-3.433751
0.5,0.611276,3.982114,0.708114,-3.370838,-0.09683799999999998,-3.274
