q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,179.352881,209.847344,85.00825,-30.494462999999996,94.34463099999999,-124.83909399999999
0.02,166.616099,194.799622,78.978795,-28.183523000000008,87.63730399999999,-115.820827
0.04,133.936424,156.292917,63.512863,-22.356493,70.42356099999998,-92.78005399999998
0.06,94.174005,109.645385,44.707147,-15.47138000000001,49.466857999999995,-64.93823800000001
0.08,59.508036,69.118598,28.331717,-9.610562000000009,31.176318999999996,-40.78688100000001
0.1,35.557888,41.034521,17.040646,-5.476633,18.517242,-23.993875
0.12,21.269316,24.010026,10.320175,-2.74071,10.949141,-13.689850999999999
0.14,12.827998,13.787454,6.350764,-0.9594560000000012,6.477233999999999,-7.4366900000000005
0.16,7.312664,7.314954,3.745387,-0.0022900000000003473,3.567277,-3.569567
0.18,3.641331,3.460176,1.998385,0.18115499999999995,1.642946,-1.461791
0.2,1.576085,1.721007,1.007515,-0.144922,0.56857,-0.713492
0.22,0.746652,1.323943,0.604316,-0.5772910000000001,0.14233600000000002,-0.7196270000000001
0.24,0.564602,1.404637,0.511592,-0.8400349999999999,0.05301,-0.8930449999999999
0.26,0.568917,1.452035,0.509878,-0.883118,0.05903899999999995,-0.9421569999999999
0.28,0.5708,1.343925,0.508897,-0.7731250000000001,0.06190299999999993,-0.835028
0.3,0.535673,1.120769,0.491994,-0.585096,0.04367899999999997,-0.6287749999999999
0.32,0.461718,0.855102,0.457705,-0.393384,0.004013000000000044,-0.39739700000000006
0.34,0.363669,0.636362,0.411995,-0.27269299999999996,-0.04832599999999998,-0.22436699999999998
0.36,0.277944,0.528429,0.371497,-0.250485,-0.093553,-0.15693200000000002
0.38,0.232189,0.514292,0.349464,-0.282103,-0.11727499999999999,-0.16482799999999997
0.4,0.220387,0.526416,0.343521,-0.306029,-0.12313400000000002,-0.18289499999999997
0.42,0.21863,0.530706,0.342564,-0.312076,-0.12393399999999999,-0.18814200000000003
0.44,0.213138,0.545867,0.339972,-0.332729,-0.126834,-0.205895
0.46,0.204567,0.584947,0.335939,-0.38038,-0.131372,-0.249008
0.48,0.195013,0.618914,0.331467,-0.42390099999999997,-0.13645400000000002,-0.28744699999999995
0.5,0.182212,0.612586,0.325552,-0.4303739999999999,-0.14334,-0.28703399999999996
