q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,170.09432,200.486917,103.466989,-30.392596999999995,66.62733100000001,-97.01992800000001
0.02,163.226285,192.390431,99.302261,-29.164146000000017,63.92402399999999,-93.08817
0.04,144.167415,169.929292,87.745025,-25.761877,56.42239000000001,-82.184267
0.06,117.02905,137.966176,71.288297,-20.937125999999992,45.740753,-66.67787899999999
0.08,87.141471,102.800036,53.164534,-15.65856500000001,33.97693699999999,-49.635502
0.1,59.447649,70.262674,36.371738,-10.815025000000006,23.075910999999998,-33.890936
0.12,37.261788,44.251292,22.920416,-6.989503999999997,14.341372000000003,-21.330876
0.14,21.789073,26.166583,13.541826,-4.377510000000001,8.247246999999998,-12.624756999999999
0.16,12.428035,15.278982,7.870848,-2.8509469999999997,4.557187,-7.4081339999999996
0.18,7.55505,9.662896,4.92163,-2.1078460000000003,2.633419999999999,-4.7412659999999995
0.2,5.367213,7.1937430000000004,3.599174,-1.8265300000000009,1.7680389999999995,-3.5945690000000003
0.22,4.454491,6.217956,3.047061,-1.763465,1.4074300000000002,-3.1708950000000002
0.24,3.988791,5.76652,2.762783,-1.777729,1.2260079999999998,-3.0037369999999997
0.26,3.619285,5.423273,2.534421,-1.803988,1.084864,-2.888852
0.28,3.255083,5.066707,2.308459,-1.8116240000000001,0.9466239999999999,-2.758248
0.3,2.887475,4.666054,2.08124,-1.7785790000000001,0.8062349999999996,-2.5848139999999997
0.32,2.511348,4.198755,1.850657,-1.6874070000000003,0.6606909999999999,-2.3480980000000002
0.34,2.122264,3.656041,1.614119,-1.5337770000000002,0.5081449999999998,-2.041922
0.36,1.734447,3.06741,1.379646,-1.3329630000000001,0.35480100000000014,-1.6877640000000003
0.38,1.38208,2.49847,1.167112,-1.1163900000000002,0.21496800000000005,-1.3313580000000003
0.4,1.100568,2.02055,0.99732,-0.9199820000000001,0.103248,-1.02323
0.42,0.90559,1.677182,0.879502,-0.77159199999999994,0.026088,-0.79768
0.44,0.786334,1.470194,0.807181,-0.68386,-0.02084700000000006,-0.663013
0.46,0.715008,1.369102,0.76375,-0.6540940000000001,-0.04874200000000006,-0.605352
0.48,0.662818,1.331535,0.731977,-0.6687169999999999,-0.06915899999999997,-0.5995579999999999
0.5,0.611276,1.320013,0.700769,-0.7087370000000001,-0.08949299999999993,-0.6192440000000001
