q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,182.298089,211.628406,164.207143,-29.330317000000008,18.090946000000002,-47.42126300000001
0.02,177.34077,205.700802,159.783194,-28.360032000000018,17.557575999999983,-45.917608
0.04,163.304075,188.933885,147.252237,-25.629809999999992,16.051838000000004,-41.681647999999996
0.06,142.468743,164.09962,128.638115,-21.630876999999998,13.83062799999999,-35.46150499999999
0.08,117.964319,134.995546,106.720314,-17.031226999999987,11.244005000000001,-28.27523199999999
0.1,93.004226,105.509676,84.357441,-12.505449999999996,8.646785000000008,-21.152235000000005
0.12,70.198973,78.783321,63.878855,-8.584348000000006,6.320117999999994,-14.904466
0.14,51.142472,56.710101,46.716628,-5.567629000000004,4.425843999999998,-9.993473000000002
0.16,36.348498,39.863843,33.346302,-3.5153450000000035,3.002195999999998,-6.517541000000001
0.18,25.483834,27.787892,23.489923,-2.3040579999999977,1.9939110000000007,-4.297968999999998
0.2,17.754861,19.469426,16.45558,-1.7145650000000003,1.299280999999997,-3.0138459999999974
0.22,12.28458,13.799862,11.469996,-1.5152819999999991,0.814584,-2.329865999999999
0.24,8.362694,9.879688,7.900543,-1.5169940000000004,0.46215099999999953,-1.979145
0.26,5.53071,7.123291,5.332701,-1.592581,0.19800899999999988,-1.79059
0.28,3.537195,5.207532,3.533282,-1.6703369999999995,0.003913000000000277,-1.6742499999999998
0.3,2.236357,3.952318,2.363293,-1.715961,-0.12693600000000016,-1.589025
0.32,1.499227,3.215236,1.701082,-1.716009,-0.2018549999999999,-1.514154
0.34,1.174379,2.842809,1.408175,-1.6684299999999999,-0.2337959999999999,-1.434634
0.36,1.097244,2.676419,1.337101,-1.579175,-0.239857,-1.339318
0.38,1.122909,2.583701,1.359405,-1.460792,-0.23649600000000004,-1.224296
0.4,1.15393,2.483832,1.389132,-1.3299020000000001,-0.23520200000000013,-1.0947
0.42,1.147148,2.350316,1.388028,-1.2031679999999998,-0.24087999999999998,-0.9622879999999998
0.44,1.100174,2.19362,1.353246,-1.0934460000000001,-0.25307199999999996,-0.8403740000000002
0.46,1.029106,2.037013,1.297742,-1.0079069999999999,-0.2686359999999999,-0.739271
0.48,0.950115,1.898705,1.234387,-0.94859,-0.28427199999999986,-0.6643180000000002
0.5,0.871401,1.785748,1.169301,-0.9143469999999999,-0.29789999999999994,-0.616447
