q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,186.836133,217.350919,173.147328,-30.514786000000015,13.688805000000002,-44.20359100000002
0.02,182.772539,212.235092,169.420202,-29.462553000000014,13.352337000000006,-42.81489000000002
0.04,171.06382,197.523283,158.677812,-26.459463,12.386008000000004,-38.845471
0.06,153.069864,175.006418,142.159003,-21.936554,10.910860999999983,-32.847414999999984
0.08,130.789167,147.309057,121.685867,-16.519890000000004,9.10329999999999,-25.623189999999994
0.1,106.520472,117.435159,99.357057,-10.914687,7.1634150000000005,-18.078102
0.12,82.49886,88.280866,77.217406,-5.78200600000001,5.2814539999999965,-11.063460000000006
0.14,60.58076,62.214978,56.9711,-1.6342180000000042,3.609659999999998,-5.243878000000002
0.16,42.035025,40.804118,39.790275,1.2309069999999949,2.2447499999999962,-1.0138430000000014
0.18,27.467648,24.719378,26.244336,2.7482700000000015,1.223312,1.5249580000000016
0.2,16.874663,13.816407,16.345546,3.058256000000002,0.529117000000003,2.529138999999999
0.22,9.790211,7.34371,9.681551,2.4465009999999996,0.10865999999999865,2.337841000000001
0.24,5.481305,4.213061,5.591251,1.2682440000000001,-0.10994599999999988,1.37819
0.26,3.139653,3.264528,3.33918,-0.12487499999999985,-0.1995269999999998,0.07465199999999994
0.28,2.0321,3.473787,2.253325,-1.4416870000000004,-0.221225,-1.2204620000000004
0.3,1.589693,4.074283,1.807856,-2.4845900000000003,-0.21816299999999988,-2.266427
0.32,1.43465,4.592834,1.649592,-3.158184,-0.21494199999999997,-2.9432419999999997
0.34,1.359396,4.817359,1.580595,-3.4579629999999995,-0.22119899999999992,-3.236764
0.36,1.279128,4.725546,1.516125,-3.4464179999999995,-0.2369969999999999,-3.209421
0.38,1.179037,4.4033,1.437083,-3.2242629999999997,-0.2580460000000002,-2.9662169999999994
0.4,1.071379,3.97445,1.350882,-2.9030709999999997,-0.27950299999999983,-2.623568
0.42,0.969318,3.552742,1.267289,-2.583424,-0.2979710000000001,-2.2854529999999995
0.44,0.877024,3.217467,1.189,-2.340443,-0.31197600000000003,-2.028467
0.46,0.790812,3.00773,1.112351,-2.216918,-0.32153900000000013,-1.895379
0.48,0.704862,2.928008,1.032325,-2.2231460000000003,-0.32746299999999995,-1.8956830000000002
0.5,0.616332,2.958371,0.947098,-2.342039,-0.330766,-2.011273
