q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,68.945112,142.863538,85.133344,-73.91842600000001,-16.188232,-57.73019400000001
0.02,68.68988,142.317441,84.810415,-73.627561,-16.120535000000004,-57.507025999999996
0.04,67.929686,140.690671,83.848692,-72.760985,-15.919005999999996,-56.84197900000001
0.06,66.680846,138.017428,82.269118,-71.33658199999999,-15.588272000000003,-55.74830999999999
0.08,64.969928,134.353523,80.105794,-69.383595,-15.135866000000007,-54.24772899999999
0.1,62.832854,129.774653,77.404813,-66.941799,-14.571959000000007,-52.369839999999996
0.12,60.31369,124.374068,74.222696,-64.06037799999999,-13.909005999999998,-50.151371999999995
0.14,57.463197,118.259735,70.624518,-60.796538000000005,-13.161320999999994,-47.63521700000001
0.16,54.337185,111.551102,66.681783,-57.213917,-12.344597999999998,-44.869319000000004
0.18,50.994769,104.375588,62.470165,-53.380818999999995,-11.475396000000003,-41.90542299999999
0.2,47.496572,96.864919,58.067197,-49.368347,-10.570625,-38.797722
0.22,43.902974,89.151457,53.55,-45.24848299999999,-9.647025999999997,-35.601456999999996
0.24,40.272458,81.364644,48.993153,-41.092186,-8.720695,-32.371491
0.26,36.660114,73.627681,44.466773,-36.967566999999995,-7.806659000000003,-29.160907999999992
0.28,33.116364,66.054562,40.034866,-32.93819800000001,-6.918502000000004,-26.019696000000003
0.3,29.685933,58.747542,35.754015,-29.061609000000004,-6.068082000000004,-22.993527
0.32,26.407087,51.795115,31.672406,-25.388028000000002,-5.265318999999998,-20.122709000000004
0.34,23.311163,45.270555,27.829236,-21.959392,-4.518073000000001,-17.441319
0.36,20.422368,39.231032,24.254471,-18.808664,-3.832103,-14.976561
0.38,17.757841,33.71731,20.96895,-15.959468999999999,-3.2111090000000004,-12.748359999999998
0.4,15.327952,28.754005,17.984783,-13.426053,-2.6568310000000004,-10.769222
0.42,13.136794,24.350351,15.306017,-11.213557,-2.1692230000000006,-9.044334
0.44,11.182837,20.50142,12.929497,-9.318583,-1.7466600000000003,-7.571923
0.46,9.45969,17.189708,10.845879,-7.730017999999999,-1.386189,-6.3438289999999995
0.48,7.95694,14.387014,9.040723,-6.430074,-1.0837829999999995,-5.346291000000001
0.5,6.661011,12.056507,7.49563,-5.395496,-0.834619,-4.560877
