q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,182.298089,216.215063,176.749713,-33.91697399999998,5.54837599999999,-39.46534999999997
0.02,177.34077,210.29035,171.985459,-32.94958,5.355311,-38.304891
0.04,163.304075,193.518794,158.490582,-30.214719000000002,4.8134930000000224,-35.028212000000025
0.06,142.468743,168.638836,138.444605,-26.17009300000001,4.0241379999999936,-30.194231000000002
0.08,117.964319,139.410032,114.840819,-21.445712999999998,3.123500000000007,-24.569213000000005
0.1,93.004226,109.694673,90.757726,-16.690446999999992,2.2464999999999975,-18.93694699999999
0.12,70.198973,82.629993,68.703864,-12.431020000000004,1.4951089999999994,-13.926129000000003
0.14,51.142472,60.125779,50.221465,-8.983307000000003,0.9210069999999959,-9.904314
0.16,36.348498,42.78292,35.822653,-6.434421999999998,0.5258449999999968,-6.960266999999995
0.18,25.483834,30.172374,25.208091,-4.68854,0.27574300000000207,-4.964283000000002
0.2,17.754861,21.304379,17.632645,-3.5495180000000026,0.1222159999999981,-3.6717340000000007
0.22,12.28458,15.090685,12.263554,-2.8061050000000005,0.021026000000000877,-2.8271310000000014
0.24,8.362694,10.654692,8.419527,-2.2919980000000013,-0.05683300000000102,-2.2351650000000003
0.26,5.53071,7.439164,5.654159,-1.9084539999999999,-0.12344899999999992,-1.785005
0.28,3.537195,5.151322,3.716323,-1.6141270000000003,-0.17912799999999995,-1.4349990000000004
0.3,2.236357,3.634352,2.456335,-1.3979949999999999,-0.21997800000000023,-1.1780169999999996
0.32,1.499227,2.752484,1.743185,-1.2532569999999998,-0.2439579999999999,-1.009299
0.34,1.174379,2.33833,1.427746,-1.163951,-0.2533669999999999,-0.9105840000000001
0.36,1.097244,2.203581,1.351206,-1.1063369999999997,-0.2539619999999998,-0.8523749999999999
0.38,1.122909,2.18184,1.375225,-1.0589309999999998,-0.252316,-0.8066149999999999
0.4,1.15393,2.166079,1.407238,-1.012149,-0.2533080000000001,-0.7588409999999999
0.42,1.147148,2.117991,1.40605,-0.9708429999999999,-0.25890199999999997,-0.7119409999999999
0.44,1.100174,2.04869,1.368592,-0.9485160000000001,-0.26841800000000005,-0.6800980000000001
0.46,1.029106,1.986065,1.308819,-0.9569589999999999,-0.2797129999999999,-0.677246
0.48,0.950115,1.947347,1.240591,-0.9972319999999999,-0.29047599999999996,-0.7067559999999999
0.5,0.871401,1.927931,1.170498,-1.05653,-0.29909700000000006,-0.757433
