q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,170.09432,195.900761,111.19114,-25.806440999999978,58.903180000000006,-84.70962099999998
0.02,163.226285,187.918986,106.713046,-24.692701,56.513238999999984,-81.20593999999998
0.04,144.167415,165.834129,94.286212,-21.666713999999985,49.881203,-71.54791699999998
0.06,117.02905,134.572683,76.591236,-17.543633000000014,40.437814,-57.98144700000002
0.08,87.141471,100.452907,57.103791,-13.311436,30.037679999999995,-43.349115999999995
0.1,59.447649,69.213084,39.04746,-9.765434999999997,20.400188999999997,-30.165623999999994
0.12,37.261788,44.532431,24.584023,-7.270643,12.677765000000004,-19.948408000000004
0.14,21.789073,27.529906,14.499763,-5.740833000000002,7.289309999999999,-13.030143
0.16,12.428035,17.236141,8.402085,-4.808106,4.02595,-8.834056
0.18,7.55505,11.624331,5.23096,-4.069281,2.32409,-6.393371
0.2,5.367213,8.645697,3.808998,-3.2784840000000006,1.5582149999999997,-4.836699
0.22,4.454491,6.862616,3.215344,-2.408125,1.239147,-3.647272
0.24,3.988791,5.572006,2.909675,-1.583215,1.079116,-2.662331
0.26,3.619285,4.57617,2.664131,-0.9568850000000002,0.9551540000000003,-1.9120390000000005
0.28,3.255083,3.863027,2.421167,-0.6079440000000003,0.8339159999999999,-1.4418600000000001
0.3,2.887475,3.395582,2.176851,-0.5081070000000003,0.7106239999999997,-1.218731
0.32,2.511348,3.067557,1.928919,-0.556209,0.5824289999999999,-1.1386379999999998
0.34,2.122264,2.763663,1.674583,-0.6413990000000003,0.447681,-1.0890800000000003
0.36,1.734447,2.427328,1.422467,-0.6928810000000001,0.31198000000000015,-1.0048610000000002
0.38,1.38208,2.076281,1.193942,-0.6942009999999998,0.18813799999999992,-0.8823389999999998
0.4,1.100568,1.766928,1.011375,-0.6663600000000001,0.08919300000000008,-0.7555530000000001
0.42,0.90559,1.545122,0.884691,-0.6395320000000001,0.020899,-0.6604310000000001
0.44,0.786334,1.418526,0.806929,-0.632192,-0.02059500000000003,-0.611597
0.46,0.715008,1.360356,0.76023,-0.6453479999999999,-0.045221999999999984,-0.6001259999999999
0.48,0.662818,1.331238,0.726067,-0.6684199999999999,-0.063249,-0.6051709999999999
0.5,0.611276,1.29989,0.69251,-0.688614,-0.08123399999999992,-0.60738
