q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,175.455128,200.981621,70.824127,-25.526492999999988,104.631001,-130.15749399999999
0.02,155.715814,178.011709,62.875448,-22.295895,92.84036599999999,-115.13626099999999
0.04,110.323038,125.445089,44.599893,-15.122050999999999,65.72314499999999,-80.84519599999999
0.06,65.571009,74.172533,26.589739,-8.601523999999998,38.98127,-47.582794
0.08,36.016787,40.851158,14.70408,-4.834370999999997,21.312707000000003,-26.147078
0.1,20.232491,23.243272,8.361049,-3.0107810000000015,11.871442,-14.882223000000002
0.12,12.023409,13.954938,5.062482,-1.9315290000000012,6.960926999999999,-8.892456
0.14,7.590894,8.788531,3.279844,-1.1976370000000012,4.31105,-5.508687
0.16,5.095966,5.792231,2.274817,-0.6962650000000004,2.8211489999999997,-3.517414
0.18,3.402934,3.706537,1.590916,-0.30360299999999985,1.8120180000000001,-2.115621
0.2,2.049687,2.078822,1.042459,-0.029135000000000133,1.007228,-1.0363630000000001
0.22,1.080507,1.01665,0.648485,0.06385700000000005,0.43202200000000013,-0.3681650000000001
0.24,0.586863,0.569095,0.447036,0.017768000000000006,0.13982700000000003,-0.12205900000000003
0.26,0.44614,0.510467,0.388971,-0.06432700000000002,0.05716899999999997,-0.12149599999999999
0.28,0.427474,0.549324,0.380984,-0.12185000000000001,0.04649000000000003,-0.16834000000000005
0.3,0.403836,0.557267,0.371505,-0.15343099999999998,0.032331,-0.18576199999999998
0.32,0.352069,0.526332,0.350735,-0.174263,0.0013340000000000019,-0.175597
0.34,0.277245,0.462515,0.320492,-0.18527,-0.04324699999999998,-0.142023
0.36,0.214571,0.399531,0.295097,-0.18496,-0.08052599999999999,-0.10443400000000003
0.38,0.191423,0.371582,0.285728,-0.180159,-0.09430499999999997,-0.08585400000000004
0.4,0.18979,0.36418,0.285129,-0.17439000000000002,-0.09533900000000003,-0.07905099999999998
0.42,0.189667,0.356861,0.285158,-0.16719399999999998,-0.09549100000000002,-0.07170299999999996
0.44,0.186964,0.347056,0.284053,-0.16009199999999998,-0.09708900000000001,-0.06300299999999998
0.46,0.176092,0.329863,0.279557,-0.15377100000000002,-0.103465,-0.05030600000000002
0.48,0.160713,0.309479,0.273254,-0.148766,-0.112541,-0.03622500000000001
0.5,0.149848,0.295415,0.268834,-0.14556699999999997,-0.11898600000000001,-0.026580999999999966
