q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,186.836133,215.084837,186.459904,-28.248704000000004,0.37622899999999504,-28.624933
0.02,182.772539,210.104116,182.44437,-27.33157700000001,0.3281690000000026,-27.659746000000013
0.04,171.06382,195.776447,170.870723,-24.712626999999998,0.19309699999999452,-24.905723999999992
0.06,153.069864,173.834305,153.073673,-20.764441000000005,-0.003809000000018159,-20.760631999999987
0.08,130.789167,146.820039,131.016306,-16.030872000000016,-0.22713899999999398,-15.803733000000022
0.1,106.520472,117.649008,106.959672,-11.128535999999997,-0.4391999999999996,-10.689335999999997
0.12,82.49886,89.138123,83.106833,-6.639263,-0.6079730000000012,-6.0312899999999985
0.14,60.58076,63.596187,61.293849,-3.0154270000000025,-0.7130890000000036,-2.302337999999999
0.16,42.035025,42.551584,42.783556,-0.5165590000000009,-0.7485309999999998,0.23197199999999896
0.18,27.467648,26.655689,28.189418,0.8119590000000017,-0.7217699999999994,1.533729000000001
0.2,16.874663,15.757595,17.524651,1.1170680000000015,-0.6499879999999969,1.7670559999999984
0.22,9.790211,9.108685,10.344989,0.6815259999999999,-0.5547780000000007,1.2363040000000005
0.24,5.481305,5.633043,5.938179,-0.15173799999999993,-0.456874,0.3051360000000001
0.26,3.139653,4.195675,3.511839,-1.0560219999999996,-0.37218600000000013,-0.6838359999999994
0.28,2.0321,3.813412,2.34196,-1.7813120000000002,-0.30986,-1.4714520000000002
0.3,1.589693,3.777428,1.862021,-2.187735,-0.2723279999999999,-1.915407
0.32,1.43465,3.683407,1.69151,-2.248757,-0.2568600000000001,-1.9918969999999998
0.34,1.359396,3.387962,1.617174,-2.0285659999999996,-0.25777799999999984,-1.770788
0.36,1.279128,2.922831,1.547715,-1.643703,-0.2685869999999999,-1.375116
0.38,1.179037,2.400299,1.462557,-1.221262,-0.2835200000000002,-0.9377419999999999
0.4,1.071379,1.935994,1.369685,-0.8646149999999999,-0.29830599999999996,-0.566309
0.42,0.969318,1.602929,1.279625,-0.633611,-0.310307,-0.32330400000000004
0.44,0.877024,1.417974,1.195277,-0.54095,-0.3182529999999999,-0.22269700000000014
0.46,0.790812,1.352586,1.112696,-0.5617740000000001,-0.32188399999999995,-0.23989000000000016
0.48,0.704862,1.355429,1.026479,-0.650567,-0.32161699999999993,-0.3289500000000001
0.5,0.616332,1.375221,0.934656,-0.758889,-0.31832400000000005,-0.440565
