q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,68.945112,133.887299,85.133344,-64.94218700000002,-16.188232,-48.75395500000002
0.02,68.68988,133.40413,84.810415,-64.71425,-16.120535000000004,-48.593715
0.04,67.929686,131.965904,83.848692,-64.03621799999999,-15.919005999999996,-48.117211999999995
0.06,66.680846,129.606035,82.269118,-62.92518899999999,-15.588272000000003,-47.336916999999985
0.08,64.969928,126.378782,80.105794,-61.408854000000005,-15.135866000000007,-46.272988
0.1,62.832854,122.35719,77.404813,-59.524336000000005,-14.571959000000007,-44.952377
0.12,60.31369,117.630345,74.222696,-57.316655000000004,-13.909005999999998,-43.407649000000006
0.14,57.463197,112.300104,70.624518,-54.836907000000004,-13.161320999999994,-41.67558600000001
0.16,54.337185,106.477436,66.681783,-52.140251,-12.344597999999998,-39.795653
0.18,50.994769,100.278581,62.470165,-49.283812000000005,-11.475396000000003,-37.808416
0.2,47.496572,93.821185,58.067197,-46.324613,-10.570625,-35.753988
0.22,43.902974,87.220595,53.55,-43.317621,-9.647025999999997,-33.670595000000006
0.24,40.272458,80.586478,48.993153,-40.31402,-8.720695,-31.593325
0.26,36.660114,74.019887,44.466773,-37.359773,-7.806659000000003,-29.553113999999994
0.28,33.116364,67.610886,40.034866,-34.494521999999996,-6.918502000000004,-27.576019999999993
0.3,29.685933,61.436795,35.754015,-31.750861999999998,-6.068082000000004,-25.682779999999994
0.32,26.407087,55.561095,31.672406,-29.154008,-5.265318999999998,-23.888689000000003
0.34,23.311163,50.032967,27.829236,-26.721804,-4.518073000000001,-22.203730999999998
0.36,20.422368,44.887452,24.254471,-24.465084000000004,-3.832103,-20.632981000000004
0.38,17.757841,40.14614,20.96895,-22.388299000000004,-3.2111090000000004,-19.177190000000003
0.4,15.327952,35.818313,17.984783,-20.490361000000004,-2.6568310000000004,-17.833530000000003
0.42,13.136794,31.902422,15.306017,-18.765628,-2.1692230000000006,-16.596405
0.44,11.182837,28.387799,12.929497,-17.204962000000002,-1.7466600000000003,-15.458302000000002
0.46,9.45969,25.256485,10.845879,-15.796795000000001,-1.386189,-14.410606000000001
0.48,7.95694,22.485065,9.040723,-14.528125,-1.0837829999999995,-13.444341999999999
0.5,6.661011,20.046422,7.49563,-13.385411,-0.834619,-12.550792
