q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,175.455128,197.442335,69.04725,-21.987207000000012,106.407878,-128.395085
0.02,155.715814,175.600376,61.299295,-19.884562000000017,94.416519,-114.30108100000001
0.04,110.323038,125.066002,43.485245,-14.742964,66.837793,-81.580757
0.06,65.571009,74.7754,25.929892,-9.204391000000001,39.64111700000001,-48.84550800000001
0.08,36.016787,41.3892,14.344376,-5.372413000000002,21.672411,-27.044824000000002
0.1,20.232491,23.678379,8.161522,-3.445888,12.070969,-15.516857
0.12,12.023409,14.434981,4.946253,-2.4115720000000014,7.077156,-9.488728000000002
0.14,7.590894,9.151088,3.20863,-1.560194,4.382263999999999,-5.942458
0.16,5.095966,5.948765,2.228983,-0.8527990000000001,2.866983,-3.719782
0.18,3.402934,3.788957,1.562353,-0.3860229999999998,1.840581,-2.226604
0.2,2.049687,2.191095,1.027746,-0.14140799999999976,1.021941,-1.1633489999999997
0.22,1.080507,1.138858,0.64372,-0.05835099999999982,0.43678700000000015,-0.49513799999999997
0.24,0.586863,0.654337,0.447358,-0.06747399999999992,0.13950500000000005,-0.20697899999999997
0.26,0.44614,0.563599,0.390759,-0.11745899999999998,0.05538099999999996,-0.17283999999999994
0.28,0.427474,0.615993,0.382974,-0.188519,0.04450000000000004,-0.23301900000000003
0.3,0.403836,0.655684,0.373735,-0.25184800000000007,0.03010099999999999,-0.28194900000000006
0.32,0.352069,0.627525,0.353489,-0.275456,-0.0014199999999999768,-0.274036
0.34,0.277245,0.540615,0.32401,-0.26336999999999994,-0.046765,-0.21660499999999994
0.36,0.214571,0.455144,0.299257,-0.24057299999999998,-0.08468599999999998,-0.155887
0.38,0.191423,0.416394,0.290124,-0.22497099999999998,-0.09870099999999998,-0.12627
0.4,0.18979,0.417535,0.28954,-0.227745,-0.09975000000000003,-0.12799499999999997
0.42,0.189667,0.438166,0.289568,-0.248499,-0.09990099999999999,-0.148598
0.44,0.186964,0.458933,0.288491,-0.271969,-0.101527,-0.17044199999999998
0.46,0.176092,0.4658,0.284109,-0.28970799999999997,-0.108017,-0.181691
0.48,0.160713,0.469486,0.277965,-0.308773,-0.11725200000000002,-0.191521
0.5,0.149848,0.477149,0.273656,-0.32730099999999995,-0.123808,-0.20349299999999998
