q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,179.352881,214.321137,79.882295,-34.968256,99.470586,-134.438842
0.02,166.616099,198.744459,74.218789,-32.128360000000015,92.39730999999999,-124.52567
0.04,133.936424,158.869615,59.691541,-24.933191000000022,74.24488299999999,-99.17807400000001
0.06,94.174005,110.586262,42.027213,-16.41225700000001,52.14679199999999,-68.559049
0.08,59.508036,68.821839,26.645667,-9.313803,32.862369,-42.176171999999994
0.1,35.557888,40.298334,16.039892,-4.740445999999999,19.517996,-24.258442
0.12,21.269316,23.533547,9.727311,-2.2642309999999988,11.542005,-13.806235999999998
0.14,12.827998,13.788261,5.998818,-0.9602630000000012,6.829179999999999,-7.789443
0.16,7.312664,7.550487,3.551571,-0.23782300000000056,3.761093,-3.9989160000000004
0.18,3.641331,3.58283,1.910601,0.058501000000000136,1.73073,-1.672229
0.2,1.576085,1.603131,0.97987,-0.027046000000000125,0.5962149999999999,-0.6232610000000001
0.22,0.746652,1.080343,0.601143,-0.33369100000000007,0.145509,-0.47920000000000007
0.24,0.564602,1.191807,0.514047,-0.627205,0.05055500000000002,-0.67776
0.26,0.568917,1.317484,0.512437,-0.7485670000000001,0.056479999999999975,-0.8050470000000001
0.28,0.5708,1.25295,0.511515,-0.68215,0.05928499999999992,-0.741435
0.3,0.535673,1.04953,0.495639,-0.5138570000000001,0.04003399999999996,-0.5538910000000001
0.32,0.461718,0.811414,0.46343,-0.34969599999999995,-0.0017119999999999913,-0.34798399999999996
0.34,0.363669,0.620621,0.420495,-0.25695199999999996,-0.05682599999999999,-0.20012599999999997
0.36,0.277944,0.524694,0.382455,-0.24674999999999997,-0.10451099999999997,-0.142239
0.38,0.232189,0.521953,0.361759,-0.289764,-0.12957,-0.160194
0.4,0.220387,0.567087,0.356177,-0.3467,-0.13579000000000002,-0.21091
0.42,0.21863,0.612048,0.355277,-0.39341800000000005,-0.13664700000000002,-0.256771
0.44,0.213138,0.640513,0.352843,-0.427375,-0.13970500000000002,-0.28767
0.46,0.204567,0.660614,0.349055,-0.45604700000000004,-0.144488,-0.31155900000000003
0.48,0.195013,0.676469,0.344854,-0.481456,-0.149841,-0.331615
0.5,0.182212,0.678712,0.339298,-0.49649999999999994,-0.15708599999999998,-0.339414
