q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,174.979838,199.943743,49.291869,-24.96390500000001,125.68796900000001,-150.65187400000002
0.02,150.234398,171.08586,42.355764,-20.851461999999998,107.878634,-128.730096
0.04,96.543608,108.616734,27.304307,-12.073125999999988,69.23930100000001,-81.31242699999999
0.06,49.380526,54.178657,14.078521,-4.798130999999998,35.302005,-40.100136
0.08,22.782066,24.159055,6.615147,-1.3769889999999982,16.166919,-17.543908
0.1,10.530964,10.956595,3.174317,-0.4256309999999992,7.356647000000001,-7.782278
0.12,4.826013,5.122399,1.569266,-0.29638600000000004,3.256747,-3.553133
0.14,2.25492,2.576507,0.843561,-0.32158700000000007,1.4113589999999998,-1.7329459999999999
0.16,1.308624,1.648249,0.575501,-0.33962500000000007,0.733123,-1.072748
0.18,1.05874,1.416999,0.504338,-0.3582589999999999,0.5544020000000001,-0.91266099999999994
0.2,0.940672,1.30783,0.470227,-0.3671580000000001,0.47044499999999995,-0.8376030000000001
0.22,0.779459,1.100509,0.423981,-0.32104999999999995,0.355478,-0.676528
0.24,0.644375,0.896872,0.385443,-0.25249699999999997,0.25893200000000005,-0.511429
0.26,0.519287,0.727928,0.35009,-0.20864099999999997,0.16919700000000004,-0.377838
0.28,0.373081,0.55771,0.309072,-0.18462900000000004,0.06400899999999998,-0.24863800000000003
0.3,0.276544,0.455051,0.282011,-0.17850699999999997,-0.005467,-0.17303999999999997
0.32,0.257561,0.446375,0.276674,-0.18881400000000004,-0.01911299999999999,-0.16970100000000005
0.34,0.250452,0.441648,0.274723,-0.19119599999999998,-0.024270999999999987,-0.166925
0.36,0.214077,0.389089,0.264504,-0.17501200000000003,-0.05042700000000003,-0.124585
0.38,0.177942,0.337841,0.254294,-0.159899,-0.07635200000000003,-0.08354699999999998
0.4,0.162375,0.326452,0.249889,-0.16407700000000003,-0.08751400000000001,-0.07656300000000002
0.42,0.154677,0.332111,0.247657,-0.17743399999999998,-0.09297999999999998,-0.084454
0.44,0.153249,0.331382,0.24718,-0.178133,-0.09393100000000001,-0.084202
0.46,0.151613,0.315614,0.246744,-0.164001,-0.095131,-0.06887000000000001
0.48,0.134278,0.283953,0.241954,-0.149675,-0.107676,-0.04199900000000001
0.5,0.111047,0.260217,0.235506,-0.14916999999999997,-0.12445899999999999,-0.024710999999999983
