q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.15}_BacteriorhodopsinArEnv,strat{s=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.20}_BacteriorhodopsinArEnv,strat{s=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.25}_BacteriorhodopsinArEnv,strat{s=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.30}_BacteriorhodopsinArEnv,strat{s=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.35}_BacteriorhodopsinArEnv,strat{s=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.40}_BacteriorhodopsinArEnv,strat{s=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.45}_BacteriorhodopsinArEnv,strat{s=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.50}_BacteriorhodopsinArEnv,strat{s=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0,186.698145,94.694519,49.27934661589702,92.228323,50.60030028686144,90.070803,51.75591969593485,87.913688,52.91132217730391,85.757009,54.06649112662581,83.754798,55.13892331388725,81.906988,56.12865462589358,80.059574,57.11817383081124,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461
0.02,178.347031,90.470617,49.272709227214435,88.115211,50.59339619732721,86.054634,51.748771192047485,83.994461,52.90391966211089,81.934724,54.05882366497035,80.022531,55.13099906888834,78.257814,56.12048400177741,76.493493,57.10974689564638,138.044246,22.597956789087227,137.892903,22.682815504789648,138.261331,22.47623623182153,138.034121,22.603633923123727,137.889835,22.684535746490774,138.186037,22.518453923687684,137.955275,22.64784323771557,137.954531,22.64826040193514
0.04,155.393952,78.861624,49.250519093561635,76.810717,50.570330433452135,75.016575,51.724906899851554,73.222838,52.87922273834699,71.429537,54.0332579996421,69.764748,55.104592487614966,68.228405,56.09326867496105,66.692458,57.08169002613436,121.049384,22.10161177958844,120.530854,22.435299155014736,121.827183,21.60107814234624,121.031115,22.113368350397582,120.505933,22.451336458705942,121.560306,21.772820347602725,120.743146,22.298683799482756,120.741207,22.299931595793385
0.06,123.333022,62.647734,49.204411775461075,61.022109,50.522489427040874,59.600089,51.67548152675607,58.178475,52.8281444364511,56.757295,53.98045545336593,55.438048,55.050117883270545,54.220667,56.03718605062642,53.003682,57.023933136090676,97.049256,21.311215418041083,96.156586,22.03500373160401,98.499812,20.135085962622398,97.072503,21.292366451541263,96.064344,22.10979473121156,98.011694,20.53085831303152,96.513941,21.74525570288872,96.514549,21.74476272867132
0.08,89.027458,45.302381,49.11414745774276,44.131716,50.4290957066302,43.107787,51.57922289548017,42.084262,52.72889629174855,41.061173,53.87807995146846,40.111581,54.944708182053226,39.23542,55.92885511793452,38.359655,56.912557247225905,70.950555,20.304862573971285,69.886204,21.500393732459475,72.914382,18.09899592999723,71.09609,20.141390535940037,69.66533,21.74849022421824,72.273792,18.818537984090252,70.283763,21.053835997429022,70.299127,21.03657840034026
0.1,58.425347,29.836001,48.9331214412813,29.071011,50.24246753724886,28.402048,51.38745517420718,27.733489,52.5317513304628,27.065366,53.67530123526695,26.445386,54.736450260192726,25.873481,55.71531479308116,25.301973,56.69349982636817,47.18251,19.24308126060424,46.244314,20.848884303588303,49.303164,15.613399780064634,47.51362,18.67635805397955,45.84742,21.52820247691469,48.644776,16.740287396153594,46.521083,20.37517038623665,46.573276,20.285837583472123
0.12,35.002495,18.006829,48.55558439476958,17.552113,49.854680359214406,17.154639,50.99023941007634,16.75757,52.12464140056302,16.360936,53.257800622498486,15.993053,54.308819985546755,15.653853,55.277893761573296,15.31505,56.24583333273815,28.556008,18.417221400931574,27.983371000000002,20.05321049256632,30.430002000000002,13.06333448515599,29.072713,16.94102663253006,27.405238,21.704901322034335,29.895321,14.590885592584197,27.995288,20.01916434814148,28.10975,19.692153373638092
0.14,19.43963,10.156343,47.7544428571943,9.907541,49.03431289587302,9.690242,50.15212738102526,9.473348,51.26785849319149,9.256889,52.381351908446824,9.0563110000000009,53.41315138199647,8.871547,54.36360157060602,8.68718,55.31200953927622,15.897002,18.22374191278332,15.767364,18.890616745277562,17.228147,11.376157879548124,16.525744,14.98941080668717,15.052669,22.567101328574672,16.909069,13.017536856411372,15.453215,20.506640301281458,15.644003,19.525201868554092
0.16,10.378534,5.591959,46.11995297216351,5.462879,47.36367390616054,5.350337,48.448046708716284,5.238199,49.52852686130816,5.126496,50.60481567049836,5.023192,51.600177828583504,4.92822,52.51525889880016,4.833643,53.42653403650265,8.432104,18.754382844436403,8.655889,16.598153457896846,9.123236,12.09513790676024,9.057434,12.729158087259718,7.882467,24.05028494390441,9.033277,12.961917357499624,8.064697,22.29444929312752,8.318719,19.84687818144644
0.18,5.644664,3.207644,43.1738718194741,3.141103,44.35270195001863,3.083283,45.377032184732336,3.025867,46.39420521752933,2.968886,47.40367185717343,2.916395,48.33359434680256,2.868327,49.185159648120774,2.820655,50.02970947429289,4.589445,18.694097646910414,4.986762,11.655290731210927,4.740084,16.025400271831934,5.105396,9.553589017875995,4.236511,24.946622155012232,4.822105,14.572328840122283,4.255858,24.6038736760948,4.527557,19.790495944488455
