q_inverse_angstroms,debye,propo{e=0.380}_C60BuckyBallHe,propo{e=0.380}_C60BuckyBallHe_relDiffDebye,propo{e=0.390}_C60BuckyBallHe,propo{e=0.390}_C60BuckyBallHe_relDiffDebye,propo{e=0.400}_C60BuckyBallHe,propo{e=0.400}_C60BuckyBallHe_relDiffDebye,propo{e=0.410}_C60BuckyBallHe,propo{e=0.410}_C60BuckyBallHe_relDiffDebye,propo{e=0.420}_C60BuckyBallHe,propo{e=0.420}_C60BuckyBallHe_relDiffDebye,propo{e=0.430}_C60BuckyBallHe,propo{e=0.430}_C60BuckyBallHe_relDiffDebye,propo{e=0.440}_C60BuckyBallHe,propo{e=0.440}_C60BuckyBallHe_relDiffDebye,propo{e=0.450}_C60BuckyBallHe,propo{e=0.450}_C60BuckyBallHe_relDiffDebye,strat{s=0.15}_C60BuckyBallHe,strat{s=0.15}_C60BuckyBallHe_relDiffDebye,strat{s=0.20}_C60BuckyBallHe,strat{s=0.20}_C60BuckyBallHe_relDiffDebye,strat{s=0.25}_C60BuckyBallHe,strat{s=0.25}_C60BuckyBallHe_relDiffDebye,strat{s=0.30}_C60BuckyBallHe,strat{s=0.30}_C60BuckyBallHe_relDiffDebye,strat{s=0.35}_C60BuckyBallHe,strat{s=0.35}_C60BuckyBallHe_relDiffDebye,strat{s=0.40}_C60BuckyBallHe,strat{s=0.40}_C60BuckyBallHe_relDiffDebye,strat{s=0.45}_C60BuckyBallHe,strat{s=0.45}_C60BuckyBallHe_relDiffDebye,strat{s=0.50}_C60BuckyBallHe,strat{s=0.50}_C60BuckyBallHe_relDiffDebye
0,74.170762,7.100677,90.4265821079201,6.922409,90.666930184700007,6.751074,90.89793091245308,6.590094,91.11497061335302,6.436036,91.32267779586786,6.288896,91.5210578529583,6.14867,91.71011617758491,6.015352,91.88986085918867,4.0794,94.49998909273711,4.090209,94.48541596485148,4.116199,94.45037520310228,4.08696,94.48979639713018,4.09484,94.47917226467214,4.102379,94.46900788210858,4.091644,94.48348124022239,4.083722,94.49416199876713
0.02,64.892891,6.219249,90.41613202284363,6.063482,90.6561691017896,5.913783,90.88685538759553,5.77314,91.1035863697304,5.638554,91.31098350973453,5.510021,91.50905297161133,5.387535,91.69780400136588,5.271093,91.87724122200073,3.56516,94.5060854200501,3.573538,94.49317491495333,3.602334,94.44880025456102,3.576816,94.4881235141766,3.587365,94.47186749624085,3.58523,94.47515753304934,3.578011,94.48628201816436,3.57274,94.49440463362929
0.04,42.998364,4.139531,90.37281744021703,4.036854,90.61161024638054,3.938203,90.84103990561128,3.845546,91.05652949958748,3.756903,91.26268385466945,3.672272,91.45950762219698,3.591647,91.64701475618932,3.515022,91.82521921066578,2.353808,94.52581963350978,2.358991,94.51376568652704,2.389441,94.44294903871227,2.370907,94.48605300424919,2.387162,94.44824924036645,2.367986,94.49284628596567,2.367039,94.49504869534107,2.367707,94.49349514786189
0.06,20.783338,2.030028,90.23242560939921,1.981202,90.46735418535752,1.934331,90.69287618764609,1.890346,90.90451206634853,1.848306,91.10678948684759,1.808205,91.29973731842304,1.770039,91.48337480726147,1.733802,91.65773082264263,1.129853,94.56365960078213,1.135518,94.53640218909975,1.158133,94.42758906196877,1.143962,94.49577348932112,1.163221,94.4031079126943,1.139158,94.5188881593515,1.14077,94.51113194617727,1.14613,94.4853420562183
0.08,6.736308,0.696741,89.65693076979258,0.681951,89.87648723900392,0.667806,90.08646873034904,0.654585,90.28273350921603,0.641998,90.46958660441298,0.630042,90.64707255072065,0.618712,90.81526557277368,0.608002,90.97425474013362,0.362381,94.6204805362225,0.368643,94.52752160382217,0.378439,94.38210069967108,0.366691,94.55649890117851,0.381801,94.33219205535138,0.36766,94.5421141669888,0.367949,94.53782398310766,0.373554,94.45461816769661
0.1,1.293377,0.180381,86.0534863384767,0.178773,86.17781203778944,0.177303,86.29146799425071,0.175995,86.39259860040809,0.174816,86.48375531650863,0.17376,86.56540204441552,0.172823,86.63784805203743,0.171999,86.70155724123747,0.07052,94.54760676894672,0.072717,94.37774137007231,0.074874,94.21096865028527,0.067261,94.79958279759111,0.073276,94.33452117982615,0.070995,94.51088120478407,0.070188,94.57327600537198,0.072611,94.38593696965386
0.12,0.390208,0.094676,75.73704280793834,0.095255,75.58866040675743,0.095889,75.42618295883221,0.096559,75.25447966212892,0.097273,75.07150032803018,0.098026,74.87852632442184,0.098814,74.67658274561259,0.099631,74.46720723306544,0.025273,93.52319788420535,0.021409,94.51343898638675,0.023025,94.09930088568149,0.02062,94.71563883877317,0.019418,95.02367967853043,0.021544,94.47884205346891,0.021581,94.46935993111366,0.020882,94.64849516155486
0.14,0.518265,0.106693,79.41342749365671,0.106965,79.36094469045759,0.107304,79.29553413794102,0.107697,79.21970420537757,0.108145,79.13326194128486,0.108645,79.03678620010999,0.109191,78.93143469074701,0.109778,78.81817217060771,0.032575,93.71460546245646,0.02637,94.91186941043675,0.029261,94.35404667496358,0.029682,94.27281410089434,0.026656,94.8566852864847,0.027653,94.664312658582,0.029022,94.40016207924518,0.027173,94.75692937010989
0.16,0.4423,0.099435,77.51865249830432,0.099893,77.41510287135428,0.10041,77.29821388198056,0.10097,77.17160298439974,0.101579,77.03391363328058,0.102232,76.8862762830658,0.102924,76.72982138819805,0.10365,76.56567940312004,0.026909,93.9161202803527,0.022719,94.86344110332354,0.025261,94.288718064662,0.025538,94.2260908885372,0.023644,94.65430703142663,0.023362,94.71806466199413,0.025248,94.29165724621298,0.023586,94.66742030296179
0.18,0.227933,0.079179,65.26216037168817,0.080154,64.83440309213672,0.081168,64.3895355214032,0.082196,63.93852579486078,0.083252,63.47523175670043,0.084333,63.00096958316699,0.085433,62.51837162674997,0.086546,62.03007023993893,0.01414,93.79642263296671,0.012742,94.40976076303123,0.013896,93.9034716342083,0.013406,94.11844708752133,0.012312,94.59841269144881,0.012246,94.62736856883383,0.013791,93.94953780277537,0.012596,94.47381467361024
