q_inverse_angstroms,debye,propo{e=0.380}_Aerolysin,propo{e=0.380}_Aerolysin_relDiffDebye,propo{e=0.390}_Aerolysin,propo{e=0.390}_Aerolysin_relDiffDebye,propo{e=0.400}_Aerolysin,propo{e=0.400}_Aerolysin_relDiffDebye,propo{e=0.410}_Aerolysin,propo{e=0.410}_Aerolysin_relDiffDebye,propo{e=0.420}_Aerolysin,propo{e=0.420}_Aerolysin_relDiffDebye,propo{e=0.430}_Aerolysin,propo{e=0.430}_Aerolysin_relDiffDebye,propo{e=0.440}_Aerolysin,propo{e=0.440}_Aerolysin_relDiffDebye,propo{e=0.450}_Aerolysin,propo{e=0.450}_Aerolysin_relDiffDebye,strat{s=0.15}_Aerolysin,strat{s=0.15}_Aerolysin_relDiffDebye,strat{s=0.20}_Aerolysin,strat{s=0.20}_Aerolysin_relDiffDebye,strat{s=0.25}_Aerolysin,strat{s=0.25}_Aerolysin_relDiffDebye,strat{s=0.30}_Aerolysin,strat{s=0.30}_Aerolysin_relDiffDebye,strat{s=0.35}_Aerolysin,strat{s=0.35}_Aerolysin_relDiffDebye,strat{s=0.40}_Aerolysin,strat{s=0.40}_Aerolysin_relDiffDebye,strat{s=0.45}_Aerolysin,strat{s=0.45}_Aerolysin_relDiffDebye,strat{s=0.50}_Aerolysin,strat{s=0.50}_Aerolysin_relDiffDebye
0,173.808174,29.633227,82.95061370358795,28.870407,83.38949985171583,28.152577,83.80250114128694,27.479725,84.1896244764645,26.82194,84.56807905938877,26.209112,84.9206677702051,25.611341,85.26459348223749,25.043565,85.59126166298715,144.19351700000001,17.038702103849264,144.19351700000001,17.038702103849264,144.19351700000001,17.038702103849264,144.19351700000001,17.038702103849264,144.19351700000001,17.038702103849264,144.193518,17.038701528502333,144.193518,17.038701528502333,144.19351700000001,17.038702103849264
0.02,118.260646,20.199298,82.9196789606578,19.68083,83.35809023062498,19.19298,83.77061123105992,18.735733,84.15725464581007,18.288762,84.53520877942778,17.872375,84.88730139356755,17.466253,85.23071402806308,17.080543,85.55686648287039,98.304865,16.874405539776934,97.864539,17.246740728948836,98.297855,16.880333124512102,97.937062,17.185416017429837,98.115625,17.034424959931304,98.166607,16.99131509902288,98.024951,17.111097972524174,98.304746,16.87450616496717
0.04,36.068804,6.228712,82.73102706704664,6.072104,83.16521945113567,5.924826,83.57354460658026,5.786867,83.95603303064887,5.652087,84.32970774412148,5.526606,84.67760117579724,5.404295,85.01670584918757,5.288206,85.33856015852369,30.231029,16.185108327961196,29.338605,18.65933508635329,30.043924,16.70385300272224,29.667972,17.74617201058289,29.720041,17.601811803906784,29.943189,16.98313867019267,29.773802,17.452760562839845,30.053245,16.678010726388376
0.06,7.009834,1.282361,81.70625723804586,1.25387,82.11270052899968,1.227174,82.49353693682333,1.20226,82.84895191526647,1.178013,83.19485168978323,1.155529,83.51560108270752,1.133702,83.82697792843598,1.113073,84.12126449784688,6.066688,13.45461247727121,5.542952,20.92605901937193,5.900387,15.827008171662829,5.804279,17.198053477443253,5.717477,18.436342429792205,5.873716,16.207487937660147,5.900796,15.821173511384151,5.797095,17.300538072656217
0.08,4.100143,0.788297,80.77391447078797,0.772603,81.15668160842195,0.757951,81.51403499829152,0.744328,81.8462917025089,0.731122,82.16837802974189,0.718926,82.4658310697944,0.707136,82.75338201618821,0.696042,83.02395794488143,3.608232,11.997410822012792,3.629657,11.474868071674578,3.644906,11.102954214035947,3.537126,13.73164301830448,3.633111,11.390627107396014,3.590687,12.425322726548808,3.644013,11.124733942206404,3.5377,13.717643506580139
0.1,3.197846,0.633245,80.19776437014166,0.621567,80.56294768415991,0.610695,80.90292653242214,0.600616,81.21810743856959,0.590875,81.52271873004516,0.581907,81.80315750039244,0.573267,82.07333936656111,0.565165,82.3266974081929,2.648058,17.192447666335415,2.820586,11.797316068378532,2.75059,13.98616443693662,2.762024,13.628611258953693,2.759004,13.723049827915421,2.768645,13.42156564137236,2.750486,13.989416626066426,2.745412,14.148085930341866
0.12,1.752563,0.386471,77.94823923590764,0.381185,78.2498546414594,0.376328,78.52699161171381,0.371889,78.78027779885801,0.367662,79.02146741657789,0.363833,79.23994743698229,0.360206,79.44690148085975,0.356867,79.63742244929284,1.391525,20.600571848201756,1.452031,17.148142463352244,1.472478,15.981451166092182,1.547316,11.711248040726648,1.433246,18.220001221068806,1.493589,14.776872500446489,1.467198,16.28272421590551,1.44859,17.34448347933855
0.14,0.616479,0.193603,68.5953617235948,0.193312,68.64256527797377,0.193158,68.66754585314342,0.193126,68.67273662200984,0.19321,68.6591108537355,0.193396,68.62893950969944,0.193687,68.58173595532045,0.19407,68.51960894045052,0.564362,8.45397815659576,0.545563,11.503392654088781,0.552445,10.387052924754943,0.562047,8.829497841775638,0.520493,15.5700356378725,0.529148,14.166094871033733,0.543946,11.765688693369922,0.52395,15.009270388772364
0.16,0.5869,0.188817,67.82807974101209,0.18865,67.85653433293577,0.188613,67.86283864372125,0.18869,67.84971886181633,0.188881,67.817174987221,0.189167,67.768444368717,0.189555,67.7023342988584,0.190031,67.62123019253706,0.55958,4.654966774578295,0.605949,3.2456977338558497,0.583952,0.502300221502803,0.529077,9.852274663486106,0.552121,5.925881751576078,0.541518,7.732492758561922,0.559173,4.724314193218597,0.555875,5.286249787016523
0.18,0.418606,0.160655,61.621429219839186,0.161218,61.486935208764315,0.161867,61.331896819443564,0.162588,61.159658485544874,0.163408,60.96377022785149,0.16428,60.7554597879629,0.165241,60.52588830547101,0.16626,60.2824613120691,0.41643,0.5198205472448928,0.468276,11.865572877598519,0.464209,10.894014897063112,0.424956,1.516939556528101,0.427976,2.2383816763257203,0.444385,6.158296823265791,0.434678,3.8394098507904886,0.435262,3.9789205123672393
0.2,0.148132,0.114288,22.847190343747474,0.116051,21.657035616882247,0.117831,20.455404639105666,0.119612,19.253098587746074,0.121467,18.00083709124295,0.123306,16.759376772068162,0.125208,15.47538681716307,0.127122,14.18329597926174,0.188053,26.949612507763334,0.187856,26.81662301190828,0.180443,21.81230254097695,0.185003,24.89063807955066,0.167049,12.770366969999722,0.177108,19.560932141603416,0.177748,19.99297923473657,0.169411,14.36489077309426
0.22,0.138609,0.112341,18.951150358201858,0.114155,17.64243303104416,0.115982,16.32433680352647,0.117808,15.006962029882628,0.119707,13.636921123447983,0.121585,12.282030748364111,0.123527,10.880967325354062,0.125479,9.47268936360554,0.181183,30.715177225144107,0.164315,18.545693281100057,0.149775,8.05575395537085,0.16799,21.19703626748623,0.147381,6.328593381382162,0.134748,2.7855334069216307,0.148015,6.785995137400888,0.148727,7.299670295579642
0.24,0.102465,0.106167,3.612941004245349,0.108141,5.539452495974236,0.110118,7.468891816717897,0.112085,9.388571707412291,0.114122,11.376567608451667,0.116129,13.335285219343184,0.118196,15.35255941053042,0.120267,17.37373737373737,0.144257,40.786610061972375,0.124086,21.100863709559363,0.119414,16.54125799053336,0.122121,19.18313570487483,0.110575,7.91489776997024,0.096876,5.4545454545454515,0.104309,1.7996389010881748,0.112804,10.090274727955888
0.26,0.069439,0.100383,44.562853727732254,0.102507,47.62165353763735,0.104625,50.671812670113326,0.106724,53.69460965739714,0.10889,56.81389420930601,0.111018,59.87845447083052,0.113203,63.02510116793157,0.115385,66.16742752631806,0.089815,29.343740549259067,0.078034,12.377770417200717,0.0744,7.144400120969474,0.071167,2.488515099583798,0.070564,1.6201270179582092,0.063037,9.21960281686085,0.06773,2.4611529543916273,0.062518,9.96702141447889
0.28,0.104764,0.106433,1.5931045015463365,0.108401,3.471612385934101,0.110371,5.352029323049904,0.112332,7.223855522889548,0.114363,9.162498568210465,0.116365,11.073460348974839,0.118427,13.04169371158032,0.120492,15.012790653277849,0.113477,8.316788209690351,0.107541,2.6507197128784714,0.11048,5.456072696727883,0.100841,3.7446069260432937,0.101183,3.4181589095490827,0.092443,11.760719331067923,0.098481,5.997289145126185,0.096656,7.739299759459348
0.3,0.093248,0.104554,12.12465682910089,0.10657,14.286633493479753,0.108586,16.448610157858617,0.11059,18.59771791352093,0.112663,20.820821894303364,0.114704,23.009608785175022,0.116804,25.261667810569673,0.118906,27.515871654083735,0.110812,18.835792724776933,0.105953,13.62495710363762,0.106063,13.74292210020591,0.091589,1.7791266300617643,0.091017,2.3925446122168808,0.083328,10.638297872340424,0.08615,7.611959505833898,0.089139,4.406528826355527
0.32,0.079006,0.102092,29.22056552666885,0.104172,31.85327696630635,0.106248,34.480925499329146,0.108308,37.088322405893216,0.110436,39.78178872490696,0.112528,42.42968888438852,0.114678,45.151001189783045,0.116828,47.87231349517757,0.09994,26.49672176796698,0.096055,21.579373718451755,0.082815,4.8211528238361545,0.075583,4.332582335518833,0.07392,6.437485760575155,0.068572,13.206591904412338,0.073767,6.631141938586952,0.070854,10.318203680733117
0.34,0.060022,0.098866,64.71627070074307,0.101029,68.3199493519043,0.103184,71.91029955682916,0.105318,75.46566259038352,0.107518,79.13098530538804,0.109677,82.72799973343106,0.111893,86.41997934090836,0.114104,90.10362866948786,0.08073,34.50068308286961,0.080053,33.37276332011596,0.064762,7.897104395055149,0.061698,2.792309486521615,0.060129,0.1782679684115873,0.056929,5.153110526140413,0.059922,0.16660557795474315,0.05533,7.817133717636869
0.36,0.045426,0.096402,112.21767269845462,0.098629,117.12015145511378,0.100844,121.99621362215471,0.103034,126.81724122749085,0.10529,131.78356007572754,0.1075,136.6486153304275,0.109766,141.6369480033461,0.112025,146.60987099898733,0.07307,60.855016950644995,0.068654,51.13371197111787,0.058133,27.972967023290618,0.050072,10.227622947210842,0.054441,19.845462950733065,0.05075,11.72016026064369,0.050683,11.572667635274946,0.045963,1.1821423854180333
0.38,0.046445,0.096623,108.03746366670255,0.098844,112.81946388201098,0.101054,117.57778017009366,0.103239,122.28226935084507,0.105489,127.12670901065776,0.107695,131.87641296156744,0.109956,136.74453654860588,0.112211,141.59974162988482,0.080745,73.85079125847777,0.068882,48.308752287652055,0.06303,35.70890300355259,0.05062,8.989126924319082,0.060484,30.22715039293789,0.052785,13.650554419205507,0.055895,20.346646571213263,0.050598,8.94175906986758
