q_inverse_angstroms,debye,propo{e=0.380}_ArginaseI,propo{e=0.380}_ArginaseI_relDiffDebye,propo{e=0.390}_ArginaseI,propo{e=0.390}_ArginaseI_relDiffDebye,propo{e=0.400}_ArginaseI,propo{e=0.400}_ArginaseI_relDiffDebye,propo{e=0.410}_ArginaseI,propo{e=0.410}_ArginaseI_relDiffDebye,propo{e=0.420}_ArginaseI,propo{e=0.420}_ArginaseI_relDiffDebye,propo{e=0.430}_ArginaseI,propo{e=0.430}_ArginaseI_relDiffDebye,propo{e=0.440}_ArginaseI,propo{e=0.440}_ArginaseI_relDiffDebye,propo{e=0.450}_ArginaseI,propo{e=0.450}_ArginaseI_relDiffDebye,strat{s=0.15}_ArginaseI,strat{s=0.15}_ArginaseI_relDiffDebye,strat{s=0.20}_ArginaseI,strat{s=0.20}_ArginaseI_relDiffDebye,strat{s=0.25}_ArginaseI,strat{s=0.25}_ArginaseI_relDiffDebye,strat{s=0.30}_ArginaseI,strat{s=0.30}_ArginaseI_relDiffDebye,strat{s=0.35}_ArginaseI,strat{s=0.35}_ArginaseI_relDiffDebye,strat{s=0.40}_ArginaseI,strat{s=0.40}_ArginaseI_relDiffDebye,strat{s=0.45}_ArginaseI,strat{s=0.45}_ArginaseI_relDiffDebye,strat{s=0.50}_ArginaseI,strat{s=0.50}_ArginaseI_relDiffDebye
0,62.708341,11.549866,81.58161128836115,11.253857,82.05365216088238,10.982653000000001,82.48613689206033,10.723909,82.89875185822568,10.465304,83.31114516328857,10.231456,83.68405887184927,10.010037,84.03715225060729,9.788745,84.39004310447314,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613
0.02,59.825609,11.028664,81.56531260718131,10.746267,82.03734624749076,10.48754,82.469814891479,10.240706,82.88240408885767,9.99401,83.29476261578883,9.770938,83.66763303654794,9.559728,84.02067582797194,9.348644,84.3735080072482,3.81267,93.6270268473155,3.827176,93.60277970592827,3.826238,93.60434759636128,3.822577,93.61046704931995,3.822105,93.61125600911141,3.820002,93.61477122614832,3.819141,93.61621040915772,3.824283,93.60761542770086
0.04,51.911232,9.596398,81.51383114929732,9.351405,81.98577718209424,9.126965,82.41813062729855,8.91286,82.83057508633198,8.698893,83.24275370694343,8.505432,83.61543027913497,8.322275,83.96825758248234,8.139244,84.32084216379222,3.29962,93.64372627488402,3.349236,93.5481477303409,3.346268,93.5538651827797,3.334082,93.5773398712633,3.331926,93.58149311501603,3.32544,93.59398752085097,3.322464,93.59972038421282,3.339965,93.56600706375067
0.06,40.868701,7.594342,81.41770642526663,7.401633,81.88923841743832,7.225121,82.32113861411939,7.056764,82.73308466545095,6.888546,83.14469060320758,6.736477,83.51678219476563,6.592534,83.86899059992145,6.448716,84.22089314754585,2.586764,93.67054998885332,2.672413,93.46097885518799,2.668029,93.47170589052978,2.648013,93.5206822453202,2.642524,93.5341130612397,2.633477,93.5562498059334,2.628229,93.56909092853233,2.65829,93.49553586251737
0.08,29.044317,5.444705,81.25380259415293,5.308135,81.7240150629123,5.183083,82.15457089247442,5.063847,82.56510215062039,4.94475,82.97515482977272,4.837124,83.34571269140191,4.735284,83.6963492720452,4.633571,84.046548589867,1.828593,93.70412807434927,1.93271,93.34565175004805,1.928746,93.35929985890182,1.906325,93.43649568347571,1.896014,93.47199660436154,1.889025,93.49605983160147,1.882427,93.5187768402335,1.918963,93.3929828682148
0.1,18.452931,3.512347,80.96591267804556,3.426241,81.43253773614609,3.347448,81.85953223365979,3.272368,82.26640526645875,3.197428,82.67251961219603,3.129753,83.03926351862476,3.065761,83.38604853613771,3.001895,83.73215073529511,1.156002,93.73540170935446,1.254056,93.20402812973181,1.252114,93.21455220311614,1.233707,93.31430329414879,1.21826,93.39801357301991,1.217296,93.403237675359,1.210824,93.43831069438238,1.245658,93.24953851504675
0.12,10.296301,2.017498,80.40560391542554,1.970431,80.86272924616325,1.927423,81.28043265246421,1.886502,81.67786664356451,1.84572,82.07395063528155,1.80895,82.43106917717344,1.774238,82.76819995841225,1.739651,83.10411671142869,0.644298,93.74243235507588,0.717988,93.02673843742525,0.718173,93.02494167565614,0.707536,93.1282506212668,0.688464,93.31348219132288,0.694237,93.257413511901035,0.689265,93.30570269847394,0.716371,93.0424431065098
0.14,4.887526,1.020466,79.12101132556634,0.999436,79.55129036653717,0.980296,79.94289953649351,0.962158,80.31400753673739,0.944159,80.68227156234053,0.928004,81.01280688839302,0.912819,81.32349577270791,0.89776,81.63160666562183,0.30943,93.66898508570594,0.353444,92.7684476768001,0.354194,92.75310248988957,0.35121,92.8141558735442,0.331553,93.21634299234417,0.341578,93.01122899397363,0.338901,93.06600108111958,0.356157,92.71293902068246
0.16,1.873617,0.460227,75.43644191955987,0.453828,75.7779738334996,0.4481,76.08369266504307,0.442764,76.3684893977798,0.437567,76.6458673250723,0.432994,76.88994068691734,0.428782,77.1147465036878,0.424697,77.33277398742646,0.124858,93.33599129384501,0.145062,92.25764924208096,0.144081,92.31000786179887,0.14603,92.20598446747655,0.129243,93.10195199979505,0.139878,92.53433332425998,0.139503,92.55434808714908,0.147954,92.10329539068017
0.18,0.565431,0.213363,62.265422306169995,0.213411,62.25693320670427,0.213592,62.22492222746896,0.213897,62.17098107461388,0.214342,62.092280048317114,0.214872,61.998546241716504,0.215496,61.888187948662164,0.216246,61.75554576951035,0.04494,92.05208062522217,0.051709,90.85494074431718,0.047263,91.64124358232922,0.050948,90.98952834209656,0.039599,92.9966697970221,0.048101,91.49303805415693,0.049329,91.27585859282566,0.051513,90.8896045671355
