q_inverse_angstroms,debye,propo{e=0.380}_GPx,propo{e=0.380}_GPx_relDiffDebye,propo{e=0.390}_GPx,propo{e=0.390}_GPx_relDiffDebye,propo{e=0.400}_GPx,propo{e=0.400}_GPx_relDiffDebye,propo{e=0.410}_GPx,propo{e=0.410}_GPx_relDiffDebye,propo{e=0.420}_GPx,propo{e=0.420}_GPx_relDiffDebye,propo{e=0.430}_GPx,propo{e=0.430}_GPx_relDiffDebye,propo{e=0.440}_GPx,propo{e=0.440}_GPx_relDiffDebye,propo{e=0.450}_GPx,propo{e=0.450}_GPx_relDiffDebye,strat{s=0.15}_GPx,strat{s=0.15}_GPx_relDiffDebye,strat{s=0.20}_GPx,strat{s=0.20}_GPx_relDiffDebye,strat{s=0.25}_GPx,strat{s=0.25}_GPx_relDiffDebye,strat{s=0.30}_GPx,strat{s=0.30}_GPx_relDiffDebye,strat{s=0.35}_GPx,strat{s=0.35}_GPx_relDiffDebye,strat{s=0.40}_GPx,strat{s=0.40}_GPx_relDiffDebye,strat{s=0.45}_GPx,strat{s=0.45}_GPx_relDiffDebye,strat{s=0.50}_GPx,strat{s=0.50}_GPx_relDiffDebye
0,179.352881,88.426671,50.6968215358637,86.106937,51.990212524102134,84.031714,53.14727394872458,81.956824,54.30414970585279,80.004315,55.39279070738763,78.174149,56.413218140610745,76.466284,57.36545542304391,74.758721,58.31752432234417,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532
0.02,166.616099,82.153249,50.693090587842896,79.999065,51.985993262271734,78.071964,53.14260478514744,76.145197,54.299015847202135,74.332097,55.387206010626855,72.632627,56.40719748215927,71.046745,57.35901546944751,69.461165,58.31065220174192,133.829563,19.67789199049726,134.202622,19.45398865688243,133.89764,19.637033393753864,133.981253,19.58685036792272,133.88013,19.647542582304716,133.75924,19.72009859623468,134.124222,19.501042933432256,133.740526,19.73133040403257
0.04,133.936424,66.061528,50.67695102864624,64.331986,51.96826667553853,62.784829,53.12340950658798,61.238005,54.27830371221498,59.782499,55.365017808747815,58.418273,56.38358016785635,57.145286,57.33402140107906,55.8726,58.284237900811796,107.378685,19.828615851353465,108.510977,18.983220725678024,107.535357,19.711640949888274,107.766315,19.5392024203961,107.49775699999999,19.73971397056263,107.06923,20.059662037863564,108.235675,19.188767500616557,107.013784,20.101059290637764
0.06,94.174005,46.494888,50.62874516168235,45.281688,51.91699875140703,44.19652,53.06929974996816,43.111687,54.22124502403821,42.090995,55.30508126950744,41.134407,56.32084777534947,40.241883,57.268587016130404,39.349659,58.2160076976656,75.550654,19.77546882496927,77.141347,18.086368950752384,75.634239,19.686712909788643,75.864668,19.442028615008994,75.627405,19.693969689406327,74.851957,20.517390122677693,76.628442,18.631004383853046,74.776696,20.59730708065351
0.08,59.508036,29.456867,50.499346004294274,28.693282,51.782508836285565,28.010401,52.93005300998339,27.327854,54.07703591494769,26.685785,55.155997754656184,26.084156,56.16700238603068,25.522927,57.11011702688356,24.961998,58.05272753414346,48.273156,18.879601403749902,49.720741,16.44701397975897,48.143714,19.09712160555928,48.110851,19.152346079779882,48.218948,18.970694983111187,47.231677,20.629749904701946,48.990565,17.67403481439045,47.17223,20.729647337042007
0.1,35.557888,17.708933,50.1968930213178,17.255362,51.472477780457595,16.849863,52.61286890829962,16.444698,53.75232072276058,16.063694,54.82382418213364,15.706814,55.827483342092755,15.374016,56.76341631988942,15.04152,57.698499978401415,29.792477,16.214154788945837,30.801338,13.376919349090693,29.542981,16.91581625995334,29.085545,18.20227061854742,29.690553,16.500797235201365,28.722756,19.222547750867538,29.917573,15.862345367643876,28.724243,19.21836583770104
0.12,21.269316,10.716535,49.61504638889186,10.447486,50.880009493488174,10.207085,52.01028091359403,9.967018,53.13898199641211,9.741401,54.19974483429556,9.530195,55.19275278998158,9.333361,56.11818922620737,9.136828,57.0422104782307,18.819449,11.518315868737862,19.559076,8.0408791707265,18.71113,12.027589415663387,17.908729,15.800164894818428,18.864281,11.307533349920616,18.097768,14.911377497988187,18.63792,12.371794184636679,18.222539,14.324753085618733
0.14,12.827998,6.586512,48.655183762891134,6.42645,49.90293886855922,6.283564,51.01679934780158,6.141011,52.12806394263547,6.007172,53.17139899772357,5.882009,54.147100740115484,5.765481,55.055488783206854,5.649254,55.961530396247326,12.059336,5.992065168703636,12.813015,0.11679920748349883,12.249138,4.512473419468875,11.364536,11.408342907443545,12.34508,3.764562482781801,11.814978,7.8969454158006505,12.00776,6.394123229517184,12.122428,5.500234720959575
0.16,7.312664,3.875715,46.99995788128649,3.787188,48.21055637179556,3.708306,49.28926038445087,3.629759,50.36338330326677,3.55616,51.369842782329385,3.487471,52.3091584681041,3.423653,53.181863681963236,3.360136,54.0504527488204,7.287331,0.3464264186074983,8.098096,10.740709541693699,7.672039,4.9144196971172205,6.963358,4.776727058702539,7.699328,5.28759423378403,7.327609,0.20437148486515977,7.520983,2.8487429478504738,7.808449,6.779813758706821
0.18,3.641331,2.058026,43.48149069667108,2.017465,44.59539657339583,1.981501,45.58305740400969,1.945871,46.561545764447125,1.912665,47.47346505989156,1.881846,48.319831402308665,1.853372,49.101798216091865,1.825198,49.875526284207616,3.91325,7.467571610490779,4.612051,26.658383981022325,4.257271,16.915243354696404,3.834399,5.302127161743873,4.246988,16.632846615701784,3.957376,8.679381248230383,4.25807,16.937185880657374,4.491616,23.35093953282466
