q_inverse_angstroms,debye,propo{e=0.380}_Gb1v29Sem,propo{e=0.380}_Gb1v29Sem_relDiffDebye,propo{e=0.390}_Gb1v29Sem,propo{e=0.390}_Gb1v29Sem_relDiffDebye,propo{e=0.400}_Gb1v29Sem,propo{e=0.400}_Gb1v29Sem_relDiffDebye,propo{e=0.410}_Gb1v29Sem,propo{e=0.410}_Gb1v29Sem_relDiffDebye,propo{e=0.420}_Gb1v29Sem,propo{e=0.420}_Gb1v29Sem_relDiffDebye,propo{e=0.430}_Gb1v29Sem,propo{e=0.430}_Gb1v29Sem_relDiffDebye,propo{e=0.440}_Gb1v29Sem,propo{e=0.440}_Gb1v29Sem_relDiffDebye,propo{e=0.450}_Gb1v29Sem,propo{e=0.450}_Gb1v29Sem_relDiffDebye,strat{s=0.15}_Gb1v29Sem,strat{s=0.15}_Gb1v29Sem_relDiffDebye,strat{s=0.20}_Gb1v29Sem,strat{s=0.20}_Gb1v29Sem_relDiffDebye,strat{s=0.25}_Gb1v29Sem,strat{s=0.25}_Gb1v29Sem_relDiffDebye,strat{s=0.30}_Gb1v29Sem,strat{s=0.30}_Gb1v29Sem_relDiffDebye,strat{s=0.35}_Gb1v29Sem,strat{s=0.35}_Gb1v29Sem_relDiffDebye,strat{s=0.40}_Gb1v29Sem,strat{s=0.40}_Gb1v29Sem_relDiffDebye,strat{s=0.45}_Gb1v29Sem,strat{s=0.45}_Gb1v29Sem_relDiffDebye,strat{s=0.50}_Gb1v29Sem,strat{s=0.50}_Gb1v29Sem_relDiffDebye
0,72.477529,22.656636,68.73977864228787,22.075831,69.54113736410633,21.534003,70.28871803838676,21.031116,70.98257033569674,20.528477,71.67608045798582,20.064739,72.31591739282392,19.63986,72.90213908920653,19.2152,73.4880586229699,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392
0.02,69.666234,21.790767,68.72119282348461,21.23255,69.52246622086676,20.711804,70.26995315980479,20.228494,70.96370387984516,19.745431,71.65710005222904,19.299763,72.2968188577554,18.891449,72.88291914846438,18.483353,73.46870651856968,3.85138,94.47166901543721,3.843745,94.4826284136444,3.846879,94.47812982111247,3.845458,94.48016954669892,3.844823,94.48108103561331,3.849003,94.47508099834994,3.853637,94.46842928239812,3.846756,94.47830637723291
0.04,61.885169,19.392837,68.66319133749154,18.897175,69.46412960429986,18.434814,70.21125691682283,18.005717,70.90463306321423,17.576869,71.59760685148974,17.181245,72.23689410947557,16.818804,72.8225610889097,16.456581,73.4078758030054,3.438747,94.4433423135679,3.411391,94.4875467658495,3.423192,94.46847757659029,3.417199,94.4781616416043,3.4153,94.48123022819894,3.429929,94.45759128491675,3.446822,94.43029395298251,3.422454,94.4696701078735
0.06,50.862748,15.992085,68.55835433822806,15.585138,69.35844284308035,15.205578,70.10468643967094,14.853368,70.7971578727913,14.501406,71.48914171920086,14.176754,72.12743204515807,13.879371,72.71210945975629,13.582206,73.29635826990709,2.84985,94.39697988791326,2.798772,94.49740308958533,2.822625,94.4505062919526,2.808434,94.47840686861826,2.806292,94.48261820222534,2.832362,94.43136261532705,2.864856,94.36747695975845,2.82027,94.45513639962985
0.08,38.814404,12.268487,68.39192223587925,11.958678,69.19010272578191,11.669779,69.93441146230147,11.401755,70.62493861814805,11.133978,71.31482941229757,10.887036,71.95104168029992,10.660887,72.53368362940726,10.434957,73.11576135498564,2.198997,94.33458517101023,2.129519,94.5135857296688,2.165524,94.42082377459667,2.139891,94.48686369111839,2.140391,94.48557550954537,2.172944,94.40170716005326,2.21913,94.28271525179159,2.160261,94.43438317383414
0.1,27.74834,8.841076,68.13836070914512,8.620677,68.93263885335122,8.415228,69.67303990076523,8.224693,70.35969358887773,8.034406,71.04545352983277,7.858993,71.67761026425366,7.698411,72.25631875636525,7.538049,72.83423440825649,1.592679,94.26027286677329,1.516668,94.53420276672406,1.561219,94.37364901828361,1.522866,94.51186629542524,1.529984,94.48621431047768,1.56022,94.37724923364785,1.613918,94.18373135113669,1.552063,94.406645586727
0.12,18.943646,6.107534,67.75945876522397,5.958445,68.54647199382843,5.819551,69.27966770493916,5.690818,69.95922537826141,5.562333,70.63747390549845,5.443968,71.26230082635624,5.33568,71.83393312987373,5.227611,72.40440937293697,1.102516,94.18002215624173,1.033174,94.54606573623684,1.079659,94.30068002748784,1.030609,94.55960589635175,1.047846,94.46861496461663,1.066962,94.36770513976032,1.120114,94.0871255723423,1.066472,94.37029175904152
0.14,12.773465,4.187992,67.2133442257054,4.088978,67.98849803087886,3.996821,68.70997023908546,3.911487,69.37802702712224,3.8264,70.04415011901625,3.748094,70.65718659737198,3.676528,71.21745744009164,3.605181,71.77601379108958,0.754164,94.09585417895615,0.700952,94.51243652368406,0.741611,94.19412821814596,0.6873,94.61931433639971,0.715929,94.39518564461561,0.718857,94.37226312515828,0.76425,94.0168936150058,0.72524,94.32229234589049
0.16,8.874407,2.974495,66.4823238330178,2.9071380000000002,67.24132665991091,2.844527,67.94684985712284,2.786628,68.59927654884433,2.728977,69.24890868764525,2.675996,69.84591759201489,2.627645,70.3907539962952,2.579513,70.9331226300529,0.533328,93.99026887092288,0.499222,94.3745875076498,0.527576,94.05508446930595,0.475427,94.64271809936146,0.513397,94.21485852519498,0.50074,94.35748213936999,0.533993,93.9827754124867,0.509542,94.25829804740756
0.18,6.517712,2.243324,65.58111189939045,2.195041,66.32190866979087,2.150232,67.00940452723287,2.108864,67.64410578436114,2.067743,68.27501736805799,2.030023,68.85374806373771,1.995659,69.38098829773394,1.961514,69.90486845690634,0.403012,93.81666449821655,0.384896,94.09461479733991,0.397754,93.89733697960267,0.354807,94.55626452963863,0.39694,93.90982602483817,0.374366,94.25617455941594,0.394554,93.94643396332945,0.379763,94.17336942779922
0.2,4.984741,1.770529,64.48102318656075,1.734579,65.20222414765381,1.701282,65.87020268455271,1.670603,66.48566094005687,1.640172,67.09614401229673,1.612318,67.65492931327826,1.586999,68.16285941436074,1.561899,68.6663961076413,0.322896,93.5223113898997,0.3143,93.69475766143115,0.312481,93.73124902577686,0.283203,94.31860150808235,0.322742,93.52540081821704,0.298334,94.01505514529241,0.307304,93.83510597641883,0.296087,94.06013271301357
0.22,3.797919,1.40475,63.01263929009544,1.378342,63.7079674421703,1.353951,64.35018756324186,1.331542,64.9402212106156,1.30938,65.52375129643366,1.28916,66.05614811690296,1.270839,66.53854387099882,1.252736,67.01519963959211,0.263086,93.0728907067265,0.257548,93.21870740265919,0.245073,93.5471767565343,0.230318,93.93567898630802,0.261218,93.1220755366294,0.242154,93.62403463580976,0.243139,93.59809938021321,0.231586,93.90229228164159
0.24,2.763399,1.082711,60.81959210378234,1.064704,61.47121714960453,1.048155,62.070081084924766,1.033026,62.6175590278494,1.018146,63.15602632844551,1.004646,63.644555129389566,0.992486,64.0845929234251,0.980544,64.51674188200836,0.208877,92.44130145520063,0.202291,92.67963113542416,0.184567,93.32101517008583,0.18196,93.4153555096459,0.200885,92.73051050535952,0.19099,93.08858402279223,0.187251,93.22388840699443,0.175039,93.66580794159657
0.26,1.878495,0.802341,57.2880949909369,0.791648,57.85732727529219,0.781925,58.37492247783466,0.773135,58.84285026044787,0.764593,59.29757598503057,0.756945,59.70471041977754,0.750148,60.066542631202104,0.74357,60.41671657364006,0.157863,91.59630448843356,0.149054,92.06524371904104,0.130994,93.02665165464906,0.136315,92.74339298214794,0.143437,92.36425968661082,0.142535,92.41227684928626,0.13656,92.73035062643234,0.126045,93.29010724010445
0.28,1.199746,0.582277,51.46664377293193,0.577325,51.87939780586891,0.57296,52.24322481591936,0.569145,52.561208789193714,0.565579,52.858438369454866,0.562523,53.113158951978164,0.559936,53.328787926777835,0.557568,53.52616303784301,0.113517,90.5382472623372,0.103336,91.3868435485511,0.088197,92.64869397355773,0.09697,91.91745586149068,0.0953,92.05665199133817,0.100323,91.63798003910829,0.093679,92.19176392336377,0.08768,92.69178642812729
0.3,0.75019,0.432186,42.3897945853717,0.43115,42.52789293379011,0.430439,42.62266892387262,0.430018,42.67878804036311,0.429845,42.701848864954215,0.429922,42.69158479851771,0.430206,42.65372772231035,0.430709,42.586678041562806,0.079398,89.41628120876045,0.069276,90.76553939668617,0.05847,92.20597448646343,0.067101,91.05546594862636,0.060828,91.89165411429104,0.067847,90.95602447379997,0.061436,91.8106079793119,0.061214,91.84020048254442
0.32,0.494354,0.343552,30.504860889160394,0.344828,30.24674625875385,0.346275,29.954041031325733,0.347858,29.633825153634845,0.349689,29.26344279605303,0.351615,28.873843440125903,0.353595,28.473320737770912,0.355794,28.02849779712514,0.056281,88.6152433276559,0.047143,90.46371628428211,0.04072,91.76298765661855,0.046958,90.5011388600072,0.039714,91.96648555488578,0.045769,90.7416547656133,0.040145,91.87930106765597,0.04469,90.95991940997746
0.34,0.363244,0.296364,18.411866403849753,0.29887,17.721972007796406,0.301466,17.00730087764698,0.304116,16.2777637070399,0.307014,15.479952869145809,0.309925,14.678563169660064,0.312808,13.884881787448666,0.315909,13.031185649315615,0.042212,88.3791611148429,0.034194,90.586492825759,0.031473,91.33557608659744,0.03434,90.54629945711423,0.028201,92.23634801951306,0.032152,91.14864939269471,0.027667,92.38335664181652,0.034431,90.52124742597263
