q_inverse_angstroms,debye,propo{e=0.380}_MtCorB,propo{e=0.380}_MtCorB_relDiffDebye,propo{e=0.390}_MtCorB,propo{e=0.390}_MtCorB_relDiffDebye,propo{e=0.400}_MtCorB,propo{e=0.400}_MtCorB_relDiffDebye,propo{e=0.410}_MtCorB,propo{e=0.410}_MtCorB_relDiffDebye,propo{e=0.420}_MtCorB,propo{e=0.420}_MtCorB_relDiffDebye,propo{e=0.430}_MtCorB,propo{e=0.430}_MtCorB_relDiffDebye,propo{e=0.440}_MtCorB,propo{e=0.440}_MtCorB_relDiffDebye,propo{e=0.450}_MtCorB,propo{e=0.450}_MtCorB_relDiffDebye,strat{s=0.15}_MtCorB,strat{s=0.15}_MtCorB_relDiffDebye,strat{s=0.20}_MtCorB,strat{s=0.20}_MtCorB_relDiffDebye,strat{s=0.25}_MtCorB,strat{s=0.25}_MtCorB_relDiffDebye,strat{s=0.30}_MtCorB,strat{s=0.30}_MtCorB_relDiffDebye,strat{s=0.35}_MtCorB,strat{s=0.35}_MtCorB_relDiffDebye,strat{s=0.40}_MtCorB,strat{s=0.40}_MtCorB_relDiffDebye,strat{s=0.45}_MtCorB,strat{s=0.45}_MtCorB_relDiffDebye,strat{s=0.50}_MtCorB,strat{s=0.50}_MtCorB_relDiffDebye
0,58.691094,7.518571,87.18958791260562,7.330506,87.51001983367357,7.148236,87.82057802500665,6.977449,88.1115710673241,6.818135,88.38301599898615,6.658911,88.6543075854064,6.516828,88.89639371861088,6.374827,89.13834013726171,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301
0.02,50.630395,6.493828,87.17405226643008,6.331896,87.49388386166058,6.174967,87.80383404079703,6.027938,88.0942307481504,5.890798,88.36509570980041,5.753747,88.6357848877142,5.631462,88.87730976619875,5.509259,89.11867268663418,3.453899,93.17821044058613,3.44773,93.19039482113462,3.447403,93.19104067823291,3.447459,93.19093007273594,3.445257,93.19527923888408,3.433933,93.21764525044688,3.446379,93.19306317874866,3.452439,93.18109408389961
0.04,33.273713,4.289402,87.10873655729374,4.183689,87.42644381166598,4.081274,87.73423933782202,3.985352,88.02252096121644,3.895912,88.29132174097913,3.806562,88.55985203695181,3.726866,88.79936843838257,3.647252,89.03863839902688,2.279362,93.1496614159051,2.262094,93.201558239082,2.262668,93.19983315357682,2.261479,93.20340654498041,2.256839,93.21735148704325,2.228765,93.30172439727421,2.262575,93.20011265349318,2.274242,93.16504893818131
0.06,18.371556000000002,2.401222,86.92967541780348,2.343662,87.24298584180895,2.287941,87.5462862263817,2.235795,87.83012718138845,2.187211,88.09457946839125,2.138718,88.35853642445963,2.095502,88.59376962952948,2.052368,88.82855649243862,1.273856,93.06615073867451,1.251007,93.19052234878743,1.258366,93.15046586146542,1.251554,93.18754491998392,1.248395,93.20473997956407,1.221099,93.353317487098,1.260408,93.13935085302518,1.264369,93.11779034938577
0.08,10.204892,1.370155,86.57354727516959,1.338889,86.87992974349949,1.308666,87.17609162350762,1.280424,87.45284124515968,1.254152,87.71028639989527,1.227969,87.966859423892,1.204673,88.19514209459541,1.181459,88.42262122911247,0.7245,92.90046381676552,0.701719,93.12369988824966,0.721826,92.92666693581863,0.70594,93.08233737309519,0.704248,93.09891765635541,0.691223,93.22655252010506,0.719004,92.95432033969591,0.711637,93.02651120658602
0.1,6.078567,0.848163,86.04666198464211,0.830209,86.34202765224106,0.812895,86.62686452250999,0.796755,86.89238763017664,0.781777,87.13879439019098,0.766889,87.38372053808077,0.753678,87.60105794671672,0.740549,87.81704635319475,0.441936,92.729602223682,0.420858,93.07636158324816,0.450155,92.59438943422028,0.429193,92.93924044927037,0.425526,92.99956716772226,0.424208,93.02124990972379,0.439513,92.76946359232366,0.428712,92.94715349851371
0.12,3.417083,0.507805,85.13922547389105,0.498531,85.41062654901856,0.489634,85.6709948221919,0.481384,85.91242881721047,0.473772,86.13519191661426,0.466249,86.35535045534452,0.459613,86.54955118151943,0.45306,86.74132293538086,0.250711,92.66301111210936,0.233354,93.17095897290174,0.260383,92.3799626757676,0.242757,92.89578274803392,0.2382,93.02914210746417,0.240979,92.94781543205126,0.250093,92.68109671319074,0.241098,92.94433292957766
0.14,1.753373,0.293929,83.23636784643085,0.290109,83.45423363996139,0.286501,83.66000845228025,0.28321,83.84770382571193,0.280225,84.01794712248906,0.27733,84.18305745554426,0.274827,84.32581087994397,0.272405,84.46394463699396,0.126718,92.77290114539232,0.116092,93.37893306216075,0.1328,92.4260268636508,0.122509,93.01295274878763,0.121558,93.06719106544928,0.123987,92.92865807788758,0.129163,92.63345563094676,0.122391,93.01968263455636
0.16,0.958826,0.192218,79.95277558180524,0.190993,80.08053598880298,0.189899,80.19463385431767,0.188967,80.29183605784574,0.188183,80.37360271832429,0.187488,80.44608719413115,0.18695,80.50219747900037,0.186494,80.54975563866645,0.067716,92.93761328958539,0.063745,93.35176559667761,0.069395,92.76250331134116,0.065618,93.15642254173333,0.068065,92.90121461036726,0.069313,92.77105543654429,0.070729,92.62337483547589,0.06624,93.09155154324142
0.18,0.651278,0.153364,76.45183777127433,0.153129,76.48792067289239,0.152996,76.50834205976557,0.152964,76.51325547615612,0.153021,76.50450345321046,0.153168,76.4819324466664,0.15338,76.44938106307906,0.153674,76.40423904999093,0.047738,92.67010401088321,0.046616,92.84238067307663,0.044318,93.1952253876225,0.045873,92.95646405989454,0.047276,92.74104146002168,0.048889,92.49337456508589,0.047877,92.6487613584368,0.045304,93.04383074508888
