q_inverse_angstroms,debye,propo{e=0.380}_NeonMOF,propo{e=0.380}_NeonMOF_relDiffDebye,propo{e=0.390}_NeonMOF,propo{e=0.390}_NeonMOF_relDiffDebye,propo{e=0.400}_NeonMOF,propo{e=0.400}_NeonMOF_relDiffDebye,propo{e=0.410}_NeonMOF,propo{e=0.410}_NeonMOF_relDiffDebye,propo{e=0.420}_NeonMOF,propo{e=0.420}_NeonMOF_relDiffDebye,propo{e=0.430}_NeonMOF,propo{e=0.430}_NeonMOF_relDiffDebye,propo{e=0.440}_NeonMOF,propo{e=0.440}_NeonMOF_relDiffDebye,propo{e=0.450}_NeonMOF,propo{e=0.450}_NeonMOF_relDiffDebye,strat{s=0.15}_NeonMOF,strat{s=0.15}_NeonMOF_relDiffDebye,strat{s=0.20}_NeonMOF,strat{s=0.20}_NeonMOF_relDiffDebye,strat{s=0.25}_NeonMOF,strat{s=0.25}_NeonMOF_relDiffDebye,strat{s=0.30}_NeonMOF,strat{s=0.30}_NeonMOF_relDiffDebye,strat{s=0.35}_NeonMOF,strat{s=0.35}_NeonMOF_relDiffDebye,strat{s=0.40}_NeonMOF,strat{s=0.40}_NeonMOF_relDiffDebye,strat{s=0.45}_NeonMOF,strat{s=0.45}_NeonMOF_relDiffDebye,strat{s=0.50}_NeonMOF,strat{s=0.50}_NeonMOF_relDiffDebye
0,305.202254,134.292959,55.99870012755541,130.768324,57.153552345652074,127.538125,58.211932143856316,124.455442,59.22197809194423,121.520228,60.18370558953997,118.732428,61.0971326574803,116.091986,61.96227764425356,113.598838,62.77916151956073,145.93483,52.18422272857788,151.697089,50.29620947688021,143.676965,52.92401575776042,147.204475,51.76822154137825,150.355376,50.735823857971894,151.74637,50.28006247948613,156.634837,48.67834855505359,146.685792,51.93816884458526
0.02,266.270263,117.243144,55.96836737266452,114.169663,57.12263858769688,111.35302,58.18045216712765,108.665096,59.18992426127584,106.105842,60.151073272496824,103.675205,61.06391910537903,101.373127,61.92848354230228,99.199546,62.74478986787947,126.17002599999999,52.615802989611346,132.093543,50.39117717775341,125.710618,52.788337464480584,128.282292,51.8225240195147,131.60238,50.57563750556704,132.572744,50.21120927799587,136.60159,48.69814283392209,128.053433,51.90847391020904
0.04,179.8151,79.37054,55.85991387820044,77.299201,57.01184105228093,75.401188,58.06737698891806,73.590138,59.0745504687871,71.866002,60.03338874210231,70.228727,60.94392128358519,68.678255,61.806180348591425,67.214524,62.6202004169839,83.251248,53.70174807343766,88.726583,50.656767423870406,85.650895,52.36724001488196,86.516367,51.88592782252436,89.792979,50.063716006052886,89.926465,49.989480861173504,92.192612,48.72921573327268,86.575906,51.85281658770593
0.06,99.666043,44.241872,55.60988410064599,43.100067,56.75551501527958,42.054128,57.80495870594562,41.056421,58.80600878275061,40.106897,59.758714409881804,39.205504,60.663127761578735,38.352183,61.519308035536234,37.546873,62.32731643615068,45.18061,54.66800061481321,48.971182,50.8647273174074,48.152335,51.686318077261284,48.082427,51.75646032219821,50.680614,49.14956742087172,50.168605,49.663292040198684,51.170022,48.658519532073726,48.022258,51.81683093408254
0.08,50.640425,22.740012,55.095139900583376,22.167164,56.226346836544124,21.64277,57.26187132118263,21.142901,58.2489661174842,20.667508,59.18772798609017,20.21654,60.07825763705578,19.789938,60.92067157809201,19.387639,61.71509421573772,23.12024,54.344301020380456,25.161421,50.3135666811643,24.811447,51.00466277682306,24.540275,51.54014801416062,26.334374,47.997328221475236,25.536188,49.57351167570177,26.181755,48.29870602389297,24.480679,51.657832650496125
0.1,27.020406,12.375512,54.1993854570505,12.076918,55.30445397452578,11.803923,56.314782982905584,11.544025,57.27664121701207,11.297178,58.19019891855067,11.063327,59.05565963738665,10.842415,59.87323432519851,10.634379,60.64315613910465,12.784402,52.68612174073181,13.848511,48.747953676195685,13.289903,50.81530973294775,13.026431,51.79039500738812,14.224142,47.357778413840265,13.485776,50.09040204651255,14.137312,47.67912813745286,13.223001,51.06290778902434
0.12,16.439632,7.733955,52.95542503627818,7.558181,54.02463388474875,7.39777,55.0003917362627,7.24534,55.92760227236231,7.100842,56.80656355324742,6.964223,57.63759797056284,6.835426,58.421052247398244,6.714387,59.157315686871826,8.035183,51.12309691603802,8.591844,47.737005305228244,8.020197,51.21425467431388,7.826481,52.39260221883312,8.569432,47.87333439094013,8.10362,50.70680414257448,8.686314,47.16235740556723,8.172525,50.287664590058945
0.14,10.874854,5.294635,51.313047513097644,5.183408,52.33583825585152,5.082164,53.26683006502891,4.986212,54.14915915192976,4.895503,54.98327609731588,4.809984,55.7696682640521,4.729596,56.50887818815774,4.654278,57.201466796703656,5.417943,50.179165623740786,5.64603,48.08178574167524,5.270579,51.534255080573956,5.132701,52.802115780129085,5.594546,48.555208189461666,5.348759,50.81534887732745,5.793014,46.730190584627614,5.448731,49.896053776905866
0.16,6.950784,3.572445,48.603711466217334,3.506788,49.548309946043496,3.447318,50.40389688415004,3.39124,51.21068357181004,3.338506,51.969360578605226,3.289064,52.6806760215826,3.242854,53.34549311271937,3.199815,53.96468945085906,3.54295,49.02805208736166,3.568618,48.65877000349889,3.40353,51.033868985138945,3.295035,52.594772042981056,3.609029,48.07738234996224,3.441102,50.49332564499199,3.745332,46.11640931440252,3.481485,49.912340823711396
0.18,4.100368,2.318652,43.45258767017984,2.286172,44.24471169416988,2.257113,44.95340418225876,2.230065,45.61305229189184,2.204978,46.22487542581543,2.1818,46.79014176288567,2.160473,47.310265810288236,2.140934,47.78678401548348,2.222142,45.806278851068974,2.121488,48.26103413157063,2.072134,49.46468219437864,2.026471,50.57831394645553,2.207205,46.17056322749567,2.067391,49.58035473889172,2.239898,45.37324454780643,2.048763,50.034655426049554
0.2,2.372201,1.557928,34.3256326087039,1.545577,34.84628832042479,1.534971,35.29338365509499,1.525536,35.69111555049509,1.517223,36.04154959887463,1.509981,36.346835702370925,1.503751,36.6094610026722,1.49847,36.8320812612422,1.452906,38.75282912367038,1.298333,45.26884526226909,1.246194,47.46676188063322,1.275826,46.217626583919326,1.352633,42.979831810204956,1.240652,47.70038457955291,1.327083,44.056890626047284,1.20971,49.00474285273465
0.22,1.46119,1.157661,20.77272633949041,1.155902,20.8931076725135,1.155004,20.95456443036156,1.154836,20.966061908444487,1.15535,20.93088510050027,1.156493,20.852661187114613,1.158206,20.73542797309042,1.160428,20.583360137969738,1.04595,28.4179333283146,0.882314,39.61675073056892,0.786326,46.1859169580958,0.856012,41.41679042424325,0.89318,38.87311027313354,0.807661,44.72580567893293,0.863856,40.87996769756158,0.804467,44.94439463724772
0.24,0.913501,0.916928,0.3751501093047471,0.921538,0.8798019925539173,0.92648,1.4207975689134398,0.931886,2.0125867404633366,0.937708,2.6499149973563223,0.943894,3.327089953924517,0.950385,4.0376529418139695,0.957118,4.77470741685012,0.792607,13.234139864105247,0.607127,33.53844166563584,0.507041,44.49475151094526,0.571505,37.4379447860484,0.607696,33.47615383015454,0.542799,40.58036061263206,0.589365,35.48282924703968,0.57186,37.39908330696956
