q_inverse_angstroms,debye,propo{e=0.380}_CoiledCoil,propo{e=0.380}_CoiledCoil_relDiffDebye,propo{e=0.390}_CoiledCoil,propo{e=0.390}_CoiledCoil_relDiffDebye,propo{e=0.400}_CoiledCoil,propo{e=0.400}_CoiledCoil_relDiffDebye,propo{e=0.410}_CoiledCoil,propo{e=0.410}_CoiledCoil_relDiffDebye,propo{e=0.420}_CoiledCoil,propo{e=0.420}_CoiledCoil_relDiffDebye,propo{e=0.430}_CoiledCoil,propo{e=0.430}_CoiledCoil_relDiffDebye,propo{e=0.440}_CoiledCoil,propo{e=0.440}_CoiledCoil_relDiffDebye,propo{e=0.450}_CoiledCoil,propo{e=0.450}_CoiledCoil_relDiffDebye,strat{s=0.15}_CoiledCoil,strat{s=0.15}_CoiledCoil_relDiffDebye,strat{s=0.20}_CoiledCoil,strat{s=0.20}_CoiledCoil_relDiffDebye,strat{s=0.25}_CoiledCoil,strat{s=0.25}_CoiledCoil_relDiffDebye,strat{s=0.30}_CoiledCoil,strat{s=0.30}_CoiledCoil_relDiffDebye,strat{s=0.35}_CoiledCoil,strat{s=0.35}_CoiledCoil_relDiffDebye,strat{s=0.40}_CoiledCoil,strat{s=0.40}_CoiledCoil_relDiffDebye,strat{s=0.45}_CoiledCoil,strat{s=0.45}_CoiledCoil_relDiffDebye,strat{s=0.50}_CoiledCoil,strat{s=0.50}_CoiledCoil_relDiffDebye
0,174.946011,116.652313,33.32096437454638,113.571492,35.08197680483266,110.931195,36.591183550907026,108.071332,38.2258953020655,105.651847,39.608884823329866,103.232756,40.99164913225715,100.814087,42.374172223909696,98.61569,43.63078675740712,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814
0.02,163.339331,108.937851,33.30580556865389,106.061968,35.06648560964168,103.597333,36.575390406123304,100.927769,38.20975733027828,98.669307,39.592438394399935,96.411239,40.97487824288933,94.153593,42.357059733518795,92.101581,43.61334747967101,134.587326,17.602621991882653,134.767145,17.492532769097718,134.519617,17.644074959508668,134.88826,17.418383451074614,134.493503,17.660062535703656,135.070342,17.306908768960234,134.6863,17.54202789039218,134.725891,17.51778939268461
0.04,132.951382,88.738332,33.25505108325989,86.399059,35.01454614439435,84.394375,36.522378533831265,82.223091,38.15551988771354,80.386251,39.53710763232232,78.549805,40.91839902799957,76.71378,42.2993737665698,75.045061,43.554508519512794,109.490814,17.645975278391614,110.098802,17.18867427794018,109.269292,17.812594080443635,110.436642,16.934566351480264,109.18008,17.879695300948427,111.027492,16.49015577739538,109.838058,17.384794089616904,109.926983,17.31790873749623
0.06,94.559132,63.213032,33.149733227246635,61.551851,34.906497449659334,60.128388,36.41186554039012,58.586761,38.042196707135595,57.282706,39.42128614293964,55.979046,40.799957850712936,54.675808,42.17818327689387,53.491439,43.430700061840675,77.938647,17.57681637771379,78.961487,16.495122861322372,77.570377,17.966276382486264,79.306413,16.130350054397706,77.42266,18.12249291797646,80.232931,15.150520840229381,78.541946,16.938803964486485,78.562533,16.9170324025394
0.08,59.525127,39.912963,32.94770626864854,38.870759,34.69857023572583,37.977848,36.19862751405805,37.010985,37.82292140258684,36.193271,39.19665051701611,35.37595,40.569719406058546,34.559051,41.94207935079248,33.816808,43.18901999150711,49.408068,16.996282931072113,50.588771,15.012745793889689,48.939496,17.78346646786659,50.542564,15.090371835745936,48.786614,18.04030254315963,51.5065,13.47099519838067,50.08017,15.867176562260834,49.883048,16.19833419255031
0.1,34.694518,23.391276,32.5793314090716,22.787978,34.31821707394811,22.271272,35.80751864026473,21.711965,37.41960905754622,21.239105,38.78253330972923,20.766639,40.14432193581706,20.294596,41.504891349117464,19.865858,42.74064277244031,29.51569,14.92693456643497,30.521873,12.026813573256739,28.953615,16.547003189379954,29.777563,14.172138088213249,28.870229,16.787346634992893,30.485861,12.130610951274786,29.921857,13.75623953040651,29.480603,15.02806581719914
0.12,20.845949,14.171567,32.01764525088304,13.813195,33.73678981945125,13.506426,35.208389889085886,13.17455,36.80043062563379,12.894132,38.14562244203898,12.614108,39.48892420297105,12.334506,40.830201589766915,12.080715,42.047661154692456,18.741164,10.096853829969552,19.363114,7.113300526639499,18.042915,13.44642069305648,17.909584,14.086022181096203,18.074984,13.292582649991132,18.261301,12.398802280481457,18.561985,10.9563925345879,18.028937,13.513474488496549
0.14,14.675487,10.062217,31.43520893037485,9.813012,33.13331271391539,9.599815,34.58605496362745,9.369308,36.15674900601255,9.174664,37.48306955673771,8.980413,38.80671217248191,8.786585,40.127472430727515,8.610771,41.32548378121967,14.15384,3.554546435154075,14.398905,1.8846529590466141,13.292652,9.422753738938953,12.511704,14.744198948900303,13.426783,8.508773848527138,12.607983,14.088145763067347,13.276037,9.535969743286882,12.883377,12.211587935718937
0.16,12.049386,8.315581,30.98751255873121,8.112776,32.67062736640688,7.93935,34.109920621681475,7.75193,35.6653525748117,7.593743,36.97817465553847,7.43595,38.28772686010723,7.278579,39.593776811532145,7.1359069999999996,40.777837144564884,12.202119,1.2675583635547867,12.239982,1.581790142667845,11.231048,6.791532780176522,10.312531,14.41446891982712,11.412215,5.2879955874930085,10.322332,14.333128675602232,10.802527,10.347904864198064,10.701545,11.18597246365915
0.18,10.217704,7.099989,30.5128725592364,6.929476,32.18167212516627,6.78373,33.608078683821724,6.626295,35.148884720089754,6.493481,36.44872664152338,6.361061,37.74471251075583,6.229063,39.03656829362056,6.109458,40.20713459697012,10.591353,3.6568782967288964,10.617625,3.9140006404570036,9.641706,5.63725471006011,8.981372,12.099900329858833,9.8180789999999991,3.9111037078388686,9.001589,11.902037874653644,9.048951,11.438509081883746,9.224286,9.722516917695016
0.2,8.21981,5.77239,29.774654158672774,5.637146,31.41999632594914,5.52163,32.825332945652036,5.396944,34.342229321602325,5.291841,35.620884181021225,5.187132,36.894745742298184,5.082844,38.16348553068746,4.988431,39.312088722245406,8.604299,4.677589871298711,8.730893,6.217698462616523,7.825447,4.79771430239873,7.561608,8.00750868937361,7.971909,3.0158969611219795,7.577967,7.808489490633002,7.301854,11.167606063887133,7.612624,7.386861740113219
