q_inverse_angstroms,debye,propo{e=0.380}_CollagenLikePeptide,propo{e=0.380}_CollagenLikePeptide_relDiffDebye,propo{e=0.390}_CollagenLikePeptide,propo{e=0.390}_CollagenLikePeptide_relDiffDebye,propo{e=0.400}_CollagenLikePeptide,propo{e=0.400}_CollagenLikePeptide_relDiffDebye,propo{e=0.410}_CollagenLikePeptide,propo{e=0.410}_CollagenLikePeptide_relDiffDebye,propo{e=0.420}_CollagenLikePeptide,propo{e=0.420}_CollagenLikePeptide_relDiffDebye,propo{e=0.430}_CollagenLikePeptide,propo{e=0.430}_CollagenLikePeptide_relDiffDebye,propo{e=0.440}_CollagenLikePeptide,propo{e=0.440}_CollagenLikePeptide_relDiffDebye,propo{e=0.450}_CollagenLikePeptide,propo{e=0.450}_CollagenLikePeptide_relDiffDebye,strat{s=0.15}_CollagenLikePeptide,strat{s=0.15}_CollagenLikePeptide_relDiffDebye,strat{s=0.20}_CollagenLikePeptide,strat{s=0.20}_CollagenLikePeptide_relDiffDebye,strat{s=0.25}_CollagenLikePeptide,strat{s=0.25}_CollagenLikePeptide_relDiffDebye,strat{s=0.30}_CollagenLikePeptide,strat{s=0.30}_CollagenLikePeptide_relDiffDebye,strat{s=0.35}_CollagenLikePeptide,strat{s=0.35}_CollagenLikePeptide_relDiffDebye,strat{s=0.40}_CollagenLikePeptide,strat{s=0.40}_CollagenLikePeptide_relDiffDebye,strat{s=0.45}_CollagenLikePeptide,strat{s=0.45}_CollagenLikePeptide_relDiffDebye,strat{s=0.50}_CollagenLikePeptide,strat{s=0.50}_CollagenLikePeptide_relDiffDebye
0,183.629759,206.301854,12.346634403631702,201.402096,9.678353387154417,195.890682,6.676980390743742,191.604667,4.342927880224467,186.707107,1.675843837490415,182.422438,0.6574756763689961,178.750419,2.6571619036977623,174.467091,4.989751143767496,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913
0.02,170.366398,191.384032,12.33672499197875,186.840521,9.669819397132521,181.729884,6.670027736338004,177.755585,4.337232627293084,173.214271,1.6716166059929216,169.241317,0.6603890281227842,165.836484,2.65892456093366,161.864871,4.990143068001009,133.406403,21.694415937584118,132.401742,22.284122013309215,133.99092,21.35132187275569,132.491843,22.231235410635385,133.746855,21.49458075647053,134.163207,21.250194536601054,133.570234,21.59825202150485,134.68809099999999,20.942103266161684
0.04,138.038853,155.046982,12.321262188407221,151.371221,9.658416967576516,147.236803,6.663305149311855,144.021786,4.3342384190920535,140.348222,1.6729847791476533,137.134551,0.6551068632829058,134.38053,2.6502125455939542,131.168199,4.97733344683761,107.359908,22.22486230018152,104.555386,24.256552609865565,109.036967,21.00994420751959,104.745214,24.119034805367434,108.335645,21.51800551399829,109.601231,20.601172338051803,107.957678,21.791817554438815,111.128813,19.49454042478895
0.06,102.48947,115.140086,12.343332441859637,112.417326,9.686708302813944,109.355034,6.698799398611395,106.973892,4.375495355766802,104.253329,1.721014851574505,101.873532,0.6009768613302419,99.834262,2.5907129776356554,97.455806,4.911396263440529,79.234804,22.68980998730894,75.795905,26.04517810463845,81.391312,20.585683582908565,75.959197,25.885852468551157,80.520079,21.435754326761572,82.295605,19.703355866705138,80.397881,21.554984136419087,84.303642,17.744094100593948
0.08,75.456752,84.849716,12.448142480344247,82.850308,9.798402136365484,80.601787,6.818521687760967,78.853578,4.501685945877984,76.856367,1.8548572035011677,75.109504,0.46019473512455633,73.612748,2.443789258249544,71.867225,4.757065345192688,58.325163,22.70385160495643,55.631466,26.27370708985724,60.125994,20.317277902446683,55.919938,25.89140598047474,59.537394,21.097327380325083,61.094438,19.03383543463413,60.032111,20.441697517009473,62.810971,16.758978706107033
0.1,58.677757,66.078185,12.611981742928593,64.527052,9.968504760671063,62.782841,6.9959797543045115,61.426873,4.68510751015926,59.877937,2.0453747064667165,58.523315,0.2632036531321452,57.362765,2.2410399906731207,56.009484,4.547332986842015,45.470326,22.508411492279777,43.609739,25.67926718807606,46.780943,20.274827478494107,44.431577,24.27867172905059,46.644725,20.506973366415487,47.486576,19.07227128671602,47.573976,18.923322171295673,48.751688,16.91623795367638
0.12,47.891991,54.006605,12.767508454597355,52.743748,10.130622884314832,51.323848,7.165826536633235,50.220123,4.861213642172454,48.959463,2.2289154777465865,47.857083,0.07288901394806158,46.912741,2.044705136606245,45.811701,4.343711665693744,37.03872,22.66197494274147,35.39303,26.098227989727956,38.232122,20.170113620876613,36.839716,23.077501622348496,38.390095,19.840260973906883,38.506984,19.596193025259684,39.295497,17.9497528093998,39.692609,17.120570326675292
0.14,39.419235,44.513915,12.924350256924056,43.477749,10.295770580022676,42.312877,7.340685327860877,41.407506,5.0439106694992875,40.373538,2.420906950629567,39.469512,0.12754433210081637,38.695188,1.8367860259084143,37.792503,4.126746751934676,30.427853,22.80963088197932,28.878623,26.739768034564847,31.611781,19.806203747992573,30.470671,22.701008784163367,31.880406,19.124747093646032,31.599252,19.83798772350605,32.529325,17.478548226519365,32.907121,16.52014302154774
0.16,32.325352,36.575175,13.147027757037261,35.728591,10.528080251067333,34.776998,7.584282454217347,34.037511,5.296644565541002,33.193125,2.6844966761692173,32.454984,0.4010227019337666,31.822846,1.5545259955715374,31.086045,3.833854616648888,25.249631,21.88907641284154,24.130507,25.351139254415543,26.058772,19.38596059216927,25.283548,21.784152574734534,26.430222,18.236862509648777,26.154041,19.091241450363796,26.889914,16.814783641025784,27.329585,15.454640679550838
0.18,26.711325,30.304103,13.45039229615155,29.607276,10.841659857756964,28.82416,7.909884665025042,28.21571,5.6320118900878295,27.521081,3.031508171159612,26.913977,0.7586744573696756,26.394157,1.1873914903135612,25.788393,3.455208605338745,21.504738,19.492058143877173,20.822773,22.045151260748007,21.575481,19.22721542267184,21.368938,20.000456735111413,22.119172,17.191782886097936,22.119825,17.189338230132726,22.4949,15.785158542303677,22.846638,14.468346291320255
