q_inverse_angstroms,debye,propo{e=0.380}_CytosolAminopeptidase,propo{e=0.380}_CytosolAminopeptidase_relDiffDebye,propo{e=0.390}_CytosolAminopeptidase,propo{e=0.390}_CytosolAminopeptidase_relDiffDebye,propo{e=0.400}_CytosolAminopeptidase,propo{e=0.400}_CytosolAminopeptidase_relDiffDebye,propo{e=0.410}_CytosolAminopeptidase,propo{e=0.410}_CytosolAminopeptidase_relDiffDebye,propo{e=0.420}_CytosolAminopeptidase,propo{e=0.420}_CytosolAminopeptidase_relDiffDebye,propo{e=0.430}_CytosolAminopeptidase,propo{e=0.430}_CytosolAminopeptidase_relDiffDebye,propo{e=0.440}_CytosolAminopeptidase,propo{e=0.440}_CytosolAminopeptidase_relDiffDebye,propo{e=0.450}_CytosolAminopeptidase,propo{e=0.450}_CytosolAminopeptidase_relDiffDebye,strat{s=0.15}_CytosolAminopeptidase,strat{s=0.15}_CytosolAminopeptidase_relDiffDebye,strat{s=0.20}_CytosolAminopeptidase,strat{s=0.20}_CytosolAminopeptidase_relDiffDebye,strat{s=0.25}_CytosolAminopeptidase,strat{s=0.25}_CytosolAminopeptidase_relDiffDebye,strat{s=0.30}_CytosolAminopeptidase,strat{s=0.30}_CytosolAminopeptidase_relDiffDebye,strat{s=0.35}_CytosolAminopeptidase,strat{s=0.35}_CytosolAminopeptidase_relDiffDebye,strat{s=0.40}_CytosolAminopeptidase,strat{s=0.40}_CytosolAminopeptidase_relDiffDebye,strat{s=0.45}_CytosolAminopeptidase,strat{s=0.45}_CytosolAminopeptidase_relDiffDebye,strat{s=0.50}_CytosolAminopeptidase,strat{s=0.50}_CytosolAminopeptidase_relDiffDebye
0,182.131027,32.268992,82.28253992110855,31.453335,82.73038069455349,30.668574,83.16125785641125,29.93009,83.56672638759127,29.222488,83.9552389939579,28.545761,84.32679951889801,27.899902,84.68141180579846,27.284902,85.01908079615671,144.19351700000001,20.829789753505302,144.000432,20.935804090096084,144.105244,20.87825650925473,144.101562,20.88027813075473,144.114694,20.873067936963867,144.083178,20.890371962817728,144.107691,20.876912971011798,144.094212,20.884313686980963
0.02,142.755749,25.312533,82.2686419445006,24.673706,82.71613845828374,24.059104,83.14666542781404,23.480768,83.5517881665137,22.926642,83.93995186841828,22.396718,84.31116213750524,21.890989,84.66542387725484,21.409447,85.0027426916446,113.331919,20.611310021566982,113.225281,20.686009640144167,113.090068,20.780725965719256,113.028334,20.82397045880093,112.993203,20.848579625329144,113.150136,20.738648500944088,113.095493,20.77692576850268,113.292534,20.638899103110727
0.04,66.155065,11.777274,82.1974719547173,11.482509,82.64303874540822,11.198985,83.07161363986265,10.932253,83.47480574616621,10.676746,83.86103014183418,10.432458,84.23029589646688,10.199382,84.5826135912647,9.977509,84.91799683062816,52.879325,20.067609335732637,53.023319,19.849947997179044,52.531154,20.593904639047658,52.45322,20.711709677860636,52.329122,20.89929622168763,52.669395,20.384939535619825,52.539951,20.58060709334953,52.965605,19.93718848284708
0.06,15.557293,2.835684,81.77263872320204,2.768211,82.20634528127742,2.703403,82.62292160981991,2.64252,83.01426861344066,2.584286,83.38858823318427,2.528693,83.74593189187861,2.475735,84.0863381566446,2.425403,84.40986487816356,12.476705,19.801568306259956,12.803367,17.70183283171436,12.347657,20.631069942566484,12.35468,20.585927127553617,12.211869,21.503895311350117,12.410316,20.228307071159488,12.338124,20.69234666982231,12.636291,18.775772880281934
0.08,1.427639,0.341249,76.09696849133431,0.337184,76.3817043384217,0.33339,76.64745779570326,0.329933,76.8896058457355,0.326732,77.11382219174455,0.32378,77.32059715376226,0.32107,77.510421051820515,0.318593,77.68392429738891,1.187169,16.84389400962009,1.347185,5.635458263608658,1.208137,15.375175376968553,1.243179,12.920633297353188,1.180928,17.281049340904815,1.198047,16.08193668007108,1.187078,16.850268170034582,1.282112,10.193543325728715
0.1,1.148745,0.294903,74.32824517190498,0.292016,74.57956291431083,0.289356,74.81111996134912,0.286966,75.0191730975978,0.284788,75.2087713113006,0.282813,75.38069806615046,0.281037,75.53530156823317,0.279449,75.67353938428458,1.216323,5.88276771607277,1.073878,6.517286255870519,1.099127,4.319322390957083,1.140199,0.7439423022515826,1.174658,2.2557660751515853,1.142592,0.5356280114385572,1.131452,1.5053819603132117,1.160049,0.9840303983913057
0.12,1.604938,0.376398,76.5475052618855,0.371439,76.85648916032893,0.366786,77.14640690169962,0.36252,77.41221156206657,0.358543,77.66000929630927,0.354849,77.89017395064482,0.351431,78.10314167899321,0.34828,78.2994732506801,1.696178,5.684954808223121,1.50063,6.499191869094013,1.486168,7.400285867740688,1.561075,2.733002770200468,1.628358,1.4592464007955446,1.597532,0.46145084732245256,1.577572,1.7051125962498241,1.569547,2.205131911637705
0.14,1.180563,0.301306,74.47777035194224,0.298257,74.73603695863753,0.29544,74.97465192454787,0.292903,75.18954939295912,0.290583,75.3860658008086,0.288473,75.56479408553378,0.286567,75.7262424792239,0.284857,75.87108862466468,1.295622,9.74611265980723,1.247118,5.637564450181813,1.197084,1.3994170577936127,1.253658,6.191537427481626,1.281521,8.551682544684178,1.281395,8.541009670809608,1.271367,7.691584438949881,1.233999,4.526314987001967
0.16,0.443448,0.169463,61.785147300247154,0.169765,61.717044614024644,0.170173,61.62503833594921,0.170671,61.512736555357115,0.17126,61.37991376666486,0.171933,61.228148508957084,0.172683,61.059019321318395,0.173502,60.87433024841695,0.565168,27.448539625841136,0.598057,34.865192762172775,0.573505,29.328579675632778,0.582292,31.310097238007618,0.564103,27.208376179394207,0.581717,31.180431527484625,0.593011,33.7272915877397,0.565465,27.51551478414605
0.18,0.118785,0.110043,7.359515090289177,0.111855,5.834069958328077,0.113717,4.266531969524774,0.115583,2.695626552174093,0.117483,1.0960979921707266,0.11941,0.526160710527424,0.121357,2.1652565559624573,0.123315,3.8136128299027594,0.183785,54.72071389485205,0.182211,53.39563076145979,0.189954,59.914130572041934,0.18049,51.94679462895147,0.165419,39.259165719577396,0.165574,39.38965357578819,0.177682,49.58285978869386,0.163481,37.62764658837394
