q_inverse_angstroms,debye,propo{e=0.380}_FM197H,propo{e=0.380}_FM197H_relDiffDebye,propo{e=0.390}_FM197H,propo{e=0.390}_FM197H_relDiffDebye,propo{e=0.400}_FM197H,propo{e=0.400}_FM197H_relDiffDebye,propo{e=0.410}_FM197H,propo{e=0.410}_FM197H_relDiffDebye,propo{e=0.420}_FM197H,propo{e=0.420}_FM197H_relDiffDebye,propo{e=0.430}_FM197H,propo{e=0.430}_FM197H_relDiffDebye,propo{e=0.440}_FM197H,propo{e=0.440}_FM197H_relDiffDebye,propo{e=0.450}_FM197H,propo{e=0.450}_FM197H_relDiffDebye,strat{s=0.15}_FM197H,strat{s=0.15}_FM197H_relDiffDebye,strat{s=0.20}_FM197H,strat{s=0.20}_FM197H_relDiffDebye,strat{s=0.25}_FM197H,strat{s=0.25}_FM197H_relDiffDebye,strat{s=0.30}_FM197H,strat{s=0.30}_FM197H_relDiffDebye,strat{s=0.35}_FM197H,strat{s=0.35}_FM197H_relDiffDebye,strat{s=0.40}_FM197H,strat{s=0.40}_FM197H_relDiffDebye,strat{s=0.45}_FM197H,strat{s=0.45}_FM197H_relDiffDebye,strat{s=0.50}_FM197H,strat{s=0.50}_FM197H_relDiffDebye
0,57.349673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.999908,93.02540399838026,3.999908,93.02540399838026,3.997736,93.02919129111686,3.999908,93.02540399838026,3.999908,93.02540399838026,3.999908,93.02540399838026,3.996289,93.03171440925217,3.997736,93.02919129111686
0.02,51.508615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.593727,93.02305643434599,3.589914,93.03045907951515,3.59303,93.02440960604358,3.596997,93.01670798176188,3.591292,93.0277837988849,3.596244,93.01816987313676,3.59181,93.02677814187005,3.593273,93.02393784030107
0.04,37.152565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.595261,93.01458459193867,2.582985,93.04762672509959,2.596103,93.01231826120215,2.604401,92.98998332954937,2.587428,93.03566792763837,2.602147,92.99605020541651,2.596151,93.01218906420054,2.59721,93.00933865535261
0.06,21.262426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.489322,92.9955217715984,1.470439,93.08433101660178,1.487364,93.00473050441187,1.499832,92.94609185235964,1.477074,93.05312573457046,1.496688,92.96087849994163,1.490405,92.99042827944469,1.489809,92.99323134622549
0.08,9.56639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673342,92.96137832557527,0.654514,93.15819237977962,0.665107,93.04746095444571,0.678664,92.90574605467685,0.660434,93.09630905702151,0.675697,92.93676088890376,0.671867,92.9767968899449,0.668334,93.01372827158416
0.1,3.559635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251256,92.94152349889806,0.238646,93.29577330259984,0.23914,93.28189547523833,0.249464,92.99186573904346,0.241546,93.21430427557883,0.247161,93.05656338360534,0.247763,93.0396515373065,0.241448,93.21705736683677
0.12,1.440602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09946,93.09594183542713,0.094471,93.44225539045482,0.089625,93.77864253971603,0.09393,93.47980913534758,0.094833,93.4171270066264,0.092257,93.59594114127289,0.096585,93.29551118213081,0.089555,93.78350161946186
0.14,0.853302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05647,93.38217887688063,0.055967,93.44112635385831,0.052333,93.86700136645642,0.051134,94.00751433841711,0.05608,93.427883680103875,0.050195,94.11755744156231,0.05535,93.51343369639353,0.050114,94.12704997761637
0.16,0.559626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03694,93.39916301244045,0.037003,93.38790549402637,0.036517,93.47474920750643,0.032848,94.13036563705046,0.038035,93.20349662095757,0.032883,94.12411146015374,0.036225,93.52692691190188,0.033715,93.97544074078044
0.18,0.33401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023498,92.9648812909793,0.022633,93.22385557318643,0.023093,93.08613514565432,0.019952,94.02652615191161,0.023566,92.94452261908327,0.020691,93.80527529115894,0.021621,93.52684051375707,0.020905,93.74120535313314
