q_inverse_angstroms,debye,propo{e=0.380}_HelixBundle,propo{e=0.380}_HelixBundle_relDiffDebye,propo{e=0.390}_HelixBundle,propo{e=0.390}_HelixBundle_relDiffDebye,propo{e=0.400}_HelixBundle,propo{e=0.400}_HelixBundle_relDiffDebye,propo{e=0.410}_HelixBundle,propo{e=0.410}_HelixBundle_relDiffDebye,propo{e=0.420}_HelixBundle,propo{e=0.420}_HelixBundle_relDiffDebye,propo{e=0.430}_HelixBundle,propo{e=0.430}_HelixBundle_relDiffDebye,propo{e=0.440}_HelixBundle,propo{e=0.440}_HelixBundle_relDiffDebye,propo{e=0.450}_HelixBundle,propo{e=0.450}_HelixBundle_relDiffDebye,strat{s=0.15}_HelixBundle,strat{s=0.15}_HelixBundle_relDiffDebye,strat{s=0.20}_HelixBundle,strat{s=0.20}_HelixBundle_relDiffDebye,strat{s=0.25}_HelixBundle,strat{s=0.25}_HelixBundle_relDiffDebye,strat{s=0.30}_HelixBundle,strat{s=0.30}_HelixBundle_relDiffDebye,strat{s=0.35}_HelixBundle,strat{s=0.35}_HelixBundle_relDiffDebye,strat{s=0.40}_HelixBundle,strat{s=0.40}_HelixBundle_relDiffDebye,strat{s=0.45}_HelixBundle,strat{s=0.45}_HelixBundle_relDiffDebye,strat{s=0.50}_HelixBundle,strat{s=0.50}_HelixBundle_relDiffDebye
0,-494.824582,29.757653,-106.0137782322221,28.99396,-105.859442124482,28.269527,-105.71304014156678,27.584349,-105.57457127301733,26.938414,-105.4440330937318,26.312144,-105.31746905007238,25.715319,-105.1968556000316,25.147931,-105.08219112687493,157.412063,-131.81169018801896,157.696303,-131.86913276673064,157.417184,-131.8127251002255,157.78379,-131.88681317372385,157.865109,-131.90324707837576,157.751289,-131.88024498750548,157.551384,-131.83984582237267,157.834957,-131.89715360584086
0.02,-172.834324,10.445667,-106.04374568560813,10.180099,-105.89009102150335,9.928248,-105.744372859641,9.690106,-105.6065865713109,9.465663,-105.47672637062533,9.248112,-105.35085380378494,9.040848,-105.23093317968484,8.843864,-105.11696044820356,55.091844,-131.87552259584734,55.583052,-132.1597300314028,55.741752,-132.25155207017792,55.631100000000004,-132.1875300649193,56.077201,-132.4456390965489,55.758435,-132.26120466673044,55.112653,-131.88756244969028,55.629898,-132.18683460121034
0.04,-23.747357,1.500091,-106.31687560009311,1.465262,-106.17021085757037,1.432317,-106.0314796295015,1.401248,-105.900648227927,1.372046,-105.77767875389247,1.343819,-105.65881499991767,1.317005,-105.54590138178325,1.291596,-105.43890421152973,7.59332,-131.9754320449219,7.674982,-132.3193103131435,7.823807,-132.9460116340526,7.620396,-132.08944894372877,7.786406,-132.7885162125621,7.604593,-132.022902590802,7.750655,-132.63796893271115,7.738851,-132.58826234852157
0.06,-1.588286,0.168965,-110.63819740273478,0.168471,-110.6070946920139,0.1681,-110.58373617849682,0.167845,-110.56768113551338,0.167695,-110.55823699258194,0.16764,-110.55477414017373,0.167677,-110.55710369543017,0.167799,-110.56478493168107,0.56301,-135.44764607885483,0.496324,-131.2490319753495,0.515555,-132.4598340601126,0.514115,-132.3691702879708,0.512129,-132.24412983555857,0.536059,-133.75078543788712,0.516909,-132.54508319030705,0.550492,-134.65950087074998
0.08,-1.188548,0.14505,-112.2039665204939,0.145173,-112.21431528217623,0.145387,-112.232320444778,0.145685,-112.25739305438233,0.146057,-112.2886917482508,0.146508,-112.32663720775267,0.147028,-112.37038807014945,0.147609,-112.41927124525051,0.42696,-135.92282347873203,0.440627,-137.0727139333035,0.367729,-130.9393478429142,0.409715,-134.471893436361,0.394222,-133.16837014575768,0.416798,-135.0678306639698,0.397128,-133.41287015753676,0.403316,-133.93350542005876
0.1,-0.99609,0.133675,-113.4199720908753,0.134091,-113.46173538535676,0.134584,-113.51122890501861,0.135145,-113.56754911704765,0.135765,-113.62979248863054,0.136458,-113.69936451525466,0.137207,-113.77455852382816,0.138005,-113.85467176660744,0.382224,-138.37243622564225,0.368243,-136.9688481964481,0.336012,-133.73309640695118,0.358857,-136.02656386471102,0.347689,-134.90538003594054,0.343628,-134.4976859520726,0.357052,-135.84535533937697,0.341874,-134.3215974460139
0.12,-0.813294,0.122801,-115.09921381443856,0.123498,-115.18491468030012,0.124257,-115.27823886565007,0.12507,-115.37820271636087,0.125927,-115.48357666477314,0.126849,-115.59694280297161,0.127818,-115.71608790916939,0.128825,-115.83990537247293,0.312958,-138.48030355566377,0.304865,-137.48521444889548,0.297909,-136.62992718500323,0.309993,-138.11573674464583,0.302243,-137.16282180859568,0.296127,-136.41081822809466,0.306446,-137.6796090958497,0.296464,-136.4522546582171
0.14,-1.02045,0.135709,-113.29893674359353,0.136073,-113.33460728110147,0.136516,-113.37801950120046,0.13703,-113.42838943603313,0.137606,-113.48483512176001,0.138255,-113.54843451418492,0.138963,-113.61781566955753,0.13972300000000001,-113.69229261600276,0.394394,-138.649027389877,0.385911,-137.8177274731736,0.403096,-139.5017884266745,0.395102,-138.71840854524964,0.38929,-138.14885589690823,0.393999,-138.61031897692192,0.390539,-138.27125287863197,0.393618,-138.5729825077172
0.16,-1.197943,0.147043,-112.27462408478534,0.147114,-112.28055091101996,0.14728,-112.29440799770943,0.147531,-112.31536058059524,0.14786,-112.3428243246966,0.148269,-112.37696618286512,0.148748,-112.41695139084247,0.149291,-112.46227909007358,0.495659,-141.37584175540908,0.480302,-140.09389428378478,0.491517,-141.03008239957995,0.487829,-140.7222213410822,0.486509,-140.61203245897343,0.486551,-140.61553846885872,0.486419,-140.6045195806478,0.489872,-140.89276367907323
0.18,-0.886115,0.128303,-114.47927187780367,0.128858,-114.54190483176563,0.129482,-114.61232458540935,0.130168,-114.6897411735497,0.130905,-114.77291322232442,0.131711,-114.86387207078089,0.132568,-114.9605863798717,0.13347,-115.06237903658104,0.397922,-144.90636091252264,0.397354,-144.84226088035976,0.389145,-143.9158574225693,0.389807,-143.99056555864644,0.389825,-143.99259689769386,0.38446,-143.38714500939494,0.388169,-143.8057137053317,0.383352,-143.26210480580966
