q_inverse_angstroms,debye,propo{e=0.380}_MyosinII10s,propo{e=0.380}_MyosinII10s_relDiffDebye,propo{e=0.390}_MyosinII10s,propo{e=0.390}_MyosinII10s_relDiffDebye,propo{e=0.400}_MyosinII10s,propo{e=0.400}_MyosinII10s_relDiffDebye,propo{e=0.410}_MyosinII10s,propo{e=0.410}_MyosinII10s_relDiffDebye,propo{e=0.420}_MyosinII10s,propo{e=0.420}_MyosinII10s_relDiffDebye,propo{e=0.430}_MyosinII10s,propo{e=0.430}_MyosinII10s_relDiffDebye,propo{e=0.440}_MyosinII10s,propo{e=0.440}_MyosinII10s_relDiffDebye,propo{e=0.450}_MyosinII10s,propo{e=0.450}_MyosinII10s_relDiffDebye,strat{s=0.15}_MyosinII10s,strat{s=0.15}_MyosinII10s_relDiffDebye,strat{s=0.20}_MyosinII10s,strat{s=0.20}_MyosinII10s_relDiffDebye,strat{s=0.25}_MyosinII10s,strat{s=0.25}_MyosinII10s_relDiffDebye,strat{s=0.30}_MyosinII10s,strat{s=0.30}_MyosinII10s_relDiffDebye,strat{s=0.35}_MyosinII10s,strat{s=0.35}_MyosinII10s_relDiffDebye,strat{s=0.40}_MyosinII10s,strat{s=0.40}_MyosinII10s_relDiffDebye,strat{s=0.45}_MyosinII10s,strat{s=0.45}_MyosinII10s_relDiffDebye,strat{s=0.50}_MyosinII10s,strat{s=0.50}_MyosinII10s_relDiffDebye
0,175.174051,30.898671,82.36115975875902,30.113318,82.80948700558395,29.360144,83.23944452252235,28.655164,83.64188997376102,27.982345,84.02597597060765,27.325662,84.40085055748354,26.717139,84.7482324879271,26.12474,85.08640985872958,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865
0.02,113.475815,20.05056,82.33054329682497,19.542637,82.77814792517684,19.055571,83.20737242556928,18.599713,83.60909503051379,18.164691,83.99245601364484,17.740143,84.36658683614654,17.346771,84.71324396304182,16.963861,85.05068150424829,94.108873,17.06702172617134,93.723689,17.406463218616235,93.126043,17.93313579638093,93.823523,17.318485000526326,93.917198,17.235934370685065,93.721554,17.408344676793025,94.039629,17.128042658252767,93.806458,17.333523447264945
0.04,33.275788,5.948138,82.12472684343342,5.800873,82.56728585961662,5.659742,82.9914110523844,5.527739,83.38810488875575,5.401852,83.76641899509639,5.279079,84.1353749458916,5.1654,84.47700171668362,5.054822,84.8093093993747,27.879822,16.21589246812126,27.899142,16.15783223525765,27.168122,18.354684793640345,27.916135,16.106765074954794,27.838602,16.33976631898243,27.752569,16.598311661319627,28.005236,15.838999815721866,28.055311,15.688515024798209
0.06,9.055997,1.687551,81.36537589400703,1.649246,81.78835527441099,1.612629,82.19269507266841,1.578468,82.56991472059896,1.545976,82.9287045921062,1.514374,83.2776667218419,1.485195,83.59987310066468,1.456894,83.91238424659372,7.603863,16.035053898538173,7.629372,15.753373151514955,7.634237,15.699651843965936,7.730094,14.641159885543242,7.649814,15.527644278150706,7.870029,13.095940734079306,7.761147,14.298260036967761,7.874115,13.050821461182021
0.08,4.476457,0.881039,80.3183857233522,0.863361,80.71329625192422,0.846528,81.08933024487892,0.830888,81.4387136970153,0.816075,81.76962271725161,0.801731,82.09005470174291,0.788548,82.38455099646885,0.775821,82.66886066369005,3.917174,12.493876295472061,3.742723,16.390953827993883,3.820222,14.659696273191056,3.800446,15.10147422392307,3.877638,13.377074771409617,3.980724,11.074226782475517,3.868372,13.584068829433635,3.895043,12.98826281588319
0.1,2.045105,0.452439,77.87697942159448,0.445722,78.20542221548527,0.439402,78.5144528031568,0.433605,78.79791013175362,0.428187,79.06283540453913,0.423015,79.315731955083,0.418332,79.54471775287821,0.413883,79.7622615953704,1.81915,11.048576967930737,1.708878,16.44057395586046,1.724151,15.693766334735868,1.721755,15.8109241334797,1.778691,13.02691059872231,1.786779,12.631429682094566,1.694807,17.12860708863359,1.753761,14.24591891369881
0.12,1.281919,0.317925,75.19929106285187,0.314648,75.45492343900044,0.311628,75.6905077465893,0.30892,75.90175354293056,0.306451,76.09435541559178,0.304157,76.27330587970067,0.302142,76.43049209817468,0.30029,76.57496300468283,1.075558,16.09781897296163,1.155606,9.85343067697726,1.121044,12.549544862038871,1.099051,14.265175880847389,1.101234,14.094884310163122,1.098466,14.310810589436624,1.05788,17.476845260894024,1.072678,16.32248215370862
0.14,0.805174,0.234084,70.92752622414534,0.23295,71.0683653471175,0.231987,71.18796682456214,0.231205,71.28508868890451,0.230573,71.36358103962621,0.230074,71.42555522160427,0.229722,71.4692724802341,0.229488,71.4983345214823,0.738959,8.223688295945959,0.763109,5.224336603019957,0.733581,8.891618457625297,0.726466,9.775278387031872,0.725587,9.884447336848925,0.696667,13.476217562911858,0.70954,11.877432703986965,0.693919,13.81751025244233
0.16,0.516765,0.183263,64.53649144195137,0.183429,64.504368523410065,0.183712,64.44960475264385,0.184097,64.37510280301491,0.184579,64.28183023231064,0.185167,64.1680454365137,0.185823,64.04110185480829,0.186571,63.896355209814914,0.519471,0.5236422745348439,0.508533,1.592987141157009,0.470191,9.012607277969677,0.454277,12.092150203670922,0.474381,8.201793852137824,0.440133,14.829177672636504,0.46195,10.607336023143981,0.444443,13.995142859907316
0.18,0.364721,0.156583,57.06773122468955,0.157431,56.83522473342638,0.158369,56.57804184568478,0.159366,56.30468220914069,0.160434,56.011855637596966,0.161593,55.69407848739174,0.162778,55.369172600426076,0.164041,55.02288050317915,0.40176,10.155433879595632,0.36975,1.3788621987766005,0.355403,2.5548295820640963,0.333606,8.531178626950464,0.337392,7.493124881758931,0.338798,7.107624732329651,0.352749,3.2825090959939343,0.333575,8.53967827462636
0.2,0.30824,0.146744,52.39294056579289,0.147844,52.03607578510252,0.149024,51.65325720218013,0.150247,51.25648845055801,0.15153,50.84025434726188,0.152899,50.39611990656632,0.154279,49.94841681806385,0.155733,49.47670646249676,0.341444,10.772125616402805,0.315297,2.2894497793926742,0.324474,5.266675317934068,0.299442,2.8542694004671776,0.301908,2.0542434466649375,0.309316,0.34907864002075195,0.307901,0.10997923695822531,0.301273,2.260251751881651
0.22,0.23707,0.134238,43.37621799468512,0.135658,42.77723879023073,0.137144,42.15041970725946,0.138654,41.513477032100226,0.140212,40.85628717256506,0.141849,40.16577382207787,0.143477,39.47905681866116,0.145172,38.76407812038639,0.250091,5.492470578310206,0.26652,12.42249124731091,0.251855,6.23655460412536,0.246688,4.05702956932551,0.252677,6.583287636563033,0.252166,6.367739486227696,0.230601,2.728729910996753,0.245873,3.713249251275997
