q_inverse_angstroms,debye,propo{e=0.380}_NanoBarrel,propo{e=0.380}_NanoBarrel_relDiffDebye,propo{e=0.390}_NanoBarrel,propo{e=0.390}_NanoBarrel_relDiffDebye,propo{e=0.400}_NanoBarrel,propo{e=0.400}_NanoBarrel_relDiffDebye,propo{e=0.410}_NanoBarrel,propo{e=0.410}_NanoBarrel_relDiffDebye,propo{e=0.420}_NanoBarrel,propo{e=0.420}_NanoBarrel_relDiffDebye,propo{e=0.430}_NanoBarrel,propo{e=0.430}_NanoBarrel_relDiffDebye,propo{e=0.440}_NanoBarrel,propo{e=0.440}_NanoBarrel_relDiffDebye,propo{e=0.450}_NanoBarrel,propo{e=0.450}_NanoBarrel_relDiffDebye,strat{s=0.15}_NanoBarrel,strat{s=0.15}_NanoBarrel_relDiffDebye,strat{s=0.20}_NanoBarrel,strat{s=0.20}_NanoBarrel_relDiffDebye,strat{s=0.25}_NanoBarrel,strat{s=0.25}_NanoBarrel_relDiffDebye,strat{s=0.30}_NanoBarrel,strat{s=0.30}_NanoBarrel_relDiffDebye,strat{s=0.35}_NanoBarrel,strat{s=0.35}_NanoBarrel_relDiffDebye,strat{s=0.40}_NanoBarrel,strat{s=0.40}_NanoBarrel_relDiffDebye,strat{s=0.45}_NanoBarrel,strat{s=0.45}_NanoBarrel_relDiffDebye,strat{s=0.50}_NanoBarrel,strat{s=0.50}_NanoBarrel_relDiffDebye
0,-3552.917843,-124.433237,-96.49771701743231,-121.225352,-96.58800576436522,-118.19949,-96.6731713137449,-115.309988,-96.75449889089934,-112.579695,-96.83134539061167,-109.940443,-96.90562946124392,-107.437588,-96.97607451825337,-105.048421,-97.04331972643365,157.76266,-104.44036892974673,157.919472,-104.44478254151402,157.781884,-104.44091000614786,-335.912606,-90.54544403097249,-1969.50178,-44.56663882953738,912.562014,-125.68486112894337,-514.436774,-85.5207241841083,-2698.573291,-24.046279417443877
0.02,-301.073232,-10.507374,-96.51002716840664,-10.234543,-96.60064664931754,-9.977139,-96.68614212770666,-9.731294,-96.76779834083689,-9.49895,-96.84497026291598,-9.274299,-96.9195869927088,-9.06122,-96.9903601393564,-8.857778,-97.05793240363528,13.499429,-104.48376925119666,13.375289,-104.44253675796725,13.406794,-104.45300098947354,-28.696128,-90.46872157668273,-166.969381,-44.54193755757071,78.425738,-126.04872491620243,-44.103744,-85.35115735562967,-227.615155,-24.398740635965947
0.04,-48.595114,-1.662717,-96.57842761722917,-1.61775,-96.6709616114904,-1.575281,-96.7583551712627,-1.534675,-96.84191501227882,-1.496256,-96.92097440084201,-1.459068,-96.9975006129217,-1.423754,-97.07017047022464,-1.389998,-97.13963424388716,2.163301,-104.45168417549138,2.164343,-104.45382842398519,2.200773,-104.52879480846573,-4.56537,-90.60529007093182,-27.146174,-44.13805881801204,12.549224,-125.82404477948133,-7.001386,-85.59240750006265,-37.370909,-23.09739411250276
0.06,-3.983572,-0.098318,-97.531913569028,-0.093654,-97.64899442008328,-0.089201,-97.76077851737084,-0.084897,-97.86882225299304,-0.080779,-97.97219681230814,-0.076748,-98.07338740206026,-0.072877,-98.17056149606434,-0.069134,-98.26452239346997,0.174069,-104.36967123978178,0.176664,-104.43481378019526,0.187089,-104.69651358127831,-0.397359,-90.02505791284806,-2.203906,-44.6751307620397,1.033514,-125.94440366585566,-0.589264,-85.20764780955383,-3.240281,-18.65890713158944
0.08,-1.862338,-0.024065,-98.7078070683195,-0.021314,-98.85552461475844,-0.018666,-98.99771147879707,-0.016085,-99.13630071447825,-0.013595,-99.27000361910675,-0.011138,-99.40193455752929,-0.008759,-99.52967721219241,-0.00644,-99.65419811011749,0.090918,-104.88192798514555,0.097306,-105.22493768585508,0.089388,-104.79977318832564,-0.196364,-89.45604933153918,-1.15223,-38.129920562218025,0.508778,-127.3193158277391,-0.298166,-83.98969467411393,-1.486456,-20.183339436772492
0.1,-1.570618,-0.014005,-99.10831277879153,-0.011513,-99.26697643857385,-0.00911,-99.41997353907826,-0.006762,-99.56946883328727,-0.004493,-99.71393426027207,-0.002249,-99.85680795712261,-7.2e-5,-99.99541581721336,0.002054,-100.13077654783022,0.087457,-105.56831769405417,0.083533,-105.31847973218187,0.078789,-105.01643302190602,-0.167007,-89.36679701875313,-0.966274,-38.47810225019706,0.431533,-127.47536320098203,-0.26159,-83.3447725672315,-1.343526,-14.458767185910263
0.12,-0.945626,0.007913,-100.83680017258408,0.00984,-101.04058052549317,0.011711,-101.23843887541165,0.01355,-101.43291322362118,0.015339,-101.62210006916052,0.017118,-101.81022941416585,0.018854,-101.9938115068748,0.020559,-102.17411534792824,0.054138,-105.7250963911737,0.053702,-105.67898936788964,0.050527,-105.34323294833263,-0.111697,-88.18803628495832,-0.652023,-31.048532929509125,0.294134,-131.10468620786654,-0.160867,-82.98830615909462,-0.815676,-13.742219439820818
0.14,-0.916691,0.008728,-100.95212018008249,0.010634,-101.16004193343231,0.012485,-101.36196384605063,0.014306,-101.56061311826996,0.016076,-101.75369890181096,0.017838,-101.94591198124559,0.019558,-102.13354336412159,0.021248,-102.31790210659864,0.052249,-105.69973960691226,0.053779,-105.86664426726126,0.052138,-105.68763083743595,-0.11535,-87.41669766584378,-0.636159,-30.602678547078565,0.299448,-132.66618740666155,-0.164126,-82.09582072912247,-0.857729,-6.43204744019523
0.16,-1.3139,-0.005868,-99.55339066900069,-0.003586,-99.72707207550042,-0.00138,-99.89496917573636,7.79e-4,-100.0592891392039,0.00287,-100.21843367075118,0.004941,-100.37605601643962,0.006954,-100.52926402313722,0.008924,-100.6791993302382,0.080241,-106.10708577517313,0.078175,-105.94984397594946,0.078809,-105.99809726767637,-0.171495,-86.94763680645407,-1.01008,-23.123525382449195,0.448299,-134.11971991780197,-0.255811,-80.5304056625314,-1.347933,-2.5902275667859027
0.18,-1.307577,-0.005943,-99.54549521749006,-0.003659,-99.72016944317619,-0.001451,-99.88903139165035,7.09e-4,-100.05422242820117,0.002802,-100.21428948352565,0.004875,-100.37282699221537,0.00689,-100.5269288156644,0.008861,-100.677665636517,0.086271,-106.59777588623844,0.082355,-106.29829065515834,0.085035,-106.50324990421214,-0.174899,-86.62419115662023,-1.029933,-21.233472292645097,0.478706,-136.61015756624658,-0.266282,-79.63546315054485,-1.414959,-8.212288836527417
